929.8333333333334
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 4 | F-sharp in octave 4} Half,D4-interval class 4,2.0,76.0
Chord {C-sharp in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),C#4-interval class 3,2/3,79.0
Chord {B in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),B3-interval class 3,2/3,80.0
Chord {A in octave 3 | C-sharp in octave 4} Quarter Triplet (2/3 QL),A3-interval class 4,2/3,81.0
Chord {B in octave 3 | D in octave 4} Eighth Triplet (1/3 QL),B3-interval class 3,1/3,82.0
Chord {B in octave 3 | D in octave 4} Quarter,B3-interval class 3,1.0,84.0
Chord {A in octave 3 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-interval class 4,1.25,85.5
Chord {G in octave 3 | B in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),G3-interval class 4,7/3,87.0
Chord {G in octave 3 | B in octave 3} Eighth,G3-interval class 4,0.5,90.0
Chord {A in octave 3 | C-sharp in octave 4} Eighth,A3-interval class 4,0.5,272/3
Chord {B in octave 3 | D in octave 4} Eighth,B3-interval class 3,0.5,274/3
Chord {C-sharp in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-interval class 3,1.25,92.0
Chord {B-flat in octave 3 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-interval class 3,1.25,94.0
Chord {C in octave 4 | E-flat in octave 4} Quarter Triplet (2/3 QL),C4-interval class 3,2/3,97.0
Chord {C-sharp in octave 4 | E in octave 4} Quarter,C#4-interval class 3,1.0,98.0
Chord {C in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),C4-interval class 3,1/3,99.5
Chord {C in octave 4 | E-flat in octave 4} Half Triplet (1 1/3 QL),C4-interval class 3,4/3,100.0
Chord {F-sharp in octave 4 | D in octave 4 | A in octave 4} Half Triplet (1 1/3 QL),D4-major triad,4/3,108.0
Chord {D in octave 4 | B in octave 3 | F-sharp in octave 4} Half Triplet (1 1/3 QL),B3-minor triad,4/3,110.0
Chord {G in octave 3 | E in octave 3 | B in octave 3} Eighth,E3-minor triad,0.5,114.0
Chord {B in octave 3 | G in octave 3 | D in octave 4} Eighth,G3-major triad,0.5,344/3
Chord {D in octave 4 | A in octave 3 | F-sharp in octave 4} Eighth,D4-major triad,0.5,346/3
Chord {D in octave 4 | A in octave 3 | F-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-major triad,1.25,116.0
Chord {E in octave 4 | B in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),E4-minor triad,1/3,118.0
Chord {F-sharp in octave 4 | D in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D4-major triad,1/3,356/3
Chord {F-sharp in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 4,1/3,358/3
Chord {C in octave 4 | G in octave 3 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-major triad,1.25,120.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} Quarter Triplet (2/3 QL),C4-major triad,2/3,123.0
Chord {C in octave 4 | A in octave 3 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-minor triad,1.25,124.0
Chord {B in octave 3 | A in octave 3 | D in octave 4} Quarter tied to 16th (1 1/4 total QL),B3-incomplete minor-seventh chord,1.25,126.0
