561.6666666666666
3/4
FullName,CommonName,Len,Offset
Chord {F in octave 4 | A in octave 4} Zero,F4-interval class 4,0.0,12.5
Chord {G in octave 4 | A in octave 4} 16th,A4-interval class 2,0.25,13.25
Chord {G in octave 4 | B in octave 4} 16th,G4-interval class 4,0.25,14.25
Chord {A in octave 4 | G in octave 4} Zero,A4-interval class 2,0.0,16.0
Chord {B in octave 4 | E in octave 4} Imperfect Longa Tuplet of 48/29ths (9 2/3 QL),E4-interval class 5,29/3,27.0
Chord {B in octave 4 | E in octave 5 | F in octave 3} Eighth Triplet (1/3 QL),E5-tritone-fourth,1/3,49.0
Chord {D in octave 5 | G in octave 4 | B-flat in octave 3 | D in octave 4 | E in octave 3} Dotted Half,E3-half-diminished seventh chord,3.0,51.0
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3} Dotted Half,E3-incomplete half-diminished seventh chord,3.0,57.0
Chord {C in octave 5 | G in octave 5 | C in octave 6 | E in octave 3} Quarter Triplet (2/3 QL),C5-major triad,2/3,61.0
Chord {E in octave 4 | F in octave 5 | B in octave 3 | B in octave 4 | B in octave 5 | F in octave 3} Whole tied to Half tied to Eighth (6 1/2 total QL),E4-tritone-fourth,6.5,63.0
Chord {F-sharp in octave 3 | C in octave 5 | C in octave 4 | F in octave 4} Whole,F#3-tritone-fourth,4.0,75.0
Chord {F-sharp in octave 5 | F-sharp in octave 4 | C-sharp in octave 5} Dotted Quarter,F#5-interval class 5,1.5,81.0
Chord {F in octave 4 | C in octave 4} Double Dotted Quarter,F4-interval class 5,1.75,84.0
Chord {B in octave 4 | F in octave 3 | B in octave 3 | E in octave 4 | E in octave 5} Half tied to 16th (2 1/4 total QL),E4-tritone-fourth,2.25,87.0
Chord {G in octave 4 | B in octave 4 | F in octave 3 | E in octave 4 | B in octave 3} Double Dotted Quarter,E4-all-interval tetrachord,1.75,96.0
Chord {B in octave 4 | G in octave 4 | B in octave 3 | E in octave 4 | F in octave 3} Breve Tuplet of 24/13ths (4 1/3 QL),E4-all-interval tetrachord,13/3,99.0
Chord {D in octave 5 | A in octave 4} Dotted Eighth,D5-interval class 5,0.75,110.0
Chord {B in octave 3 | F in octave 3 | E in octave 4} Dotted Quarter,E4-tritone-fourth,1.5,111.0
Chord {D in octave 5 | B in octave 3} Dotted Quarter,B3-interval class 3,1.5,126.0
Chord {E in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),C5-interval class 4,2/3,128.0
Chord {F in octave 5 | B in octave 3} Quarter tied to 16th (1 1/4 total QL),B3-tritone,1.25,132.0
Chord {E in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),C5-interval class 4,2/3,134.0
Chord {D in octave 5 | B in octave 4} Quarter tied to 16th (1 1/4 total QL),B4-interval class 3,1.25,135.0
Chord {C in octave 5 | E in octave 5} Eighth,C5-interval class 4,0.5,140.0
Chord {E in octave 4 | F in octave 3} Triple Dotted Half (3 3/4 QL),F3-interval class 1,3.75,141.0
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,146.0
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,152.0
Chord {F in octave 5 | D in octave 5} Eighth,D5-interval class 3,0.5,156.0
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,158.0
Chord {B in octave 4 | D in octave 5 | G in octave 4} Eighth,G4-major triad,0.5,162.0
Chord {D in octave 5 | G in octave 4 | B in octave 4} Quarter Triplet (2/3 QL),G4-major triad,2/3,165.0
Chord {C-sharp in octave 5 | F in octave 4 | C-sharp in octave 4} Half Triplet (1 1/3 QL),F4-interval class 4,4/3,177.25
Chord {A in octave 4 | F-sharp in octave 3 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),F#3-diminished triad,5/3,180.0
Chord {F in octave 4 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F4-interval class 4,5/3,189.0
Chord {B in octave 3 | G in octave 2 | A in octave 3 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),G2-whole-tone tetramirror,1.25,195.0
Chord {E in octave 5 | B in octave 4 | F in octave 3 | E in octave 4 | B in octave 3} 16th,E5-tritone-fourth,0.25,199.0
Chord {B in octave 4 | B in octave 3 | E in octave 4} Half tied to 16th (2 1/4 total QL),E4-interval class 5,2.25,201.0
Chord {C in octave 4 | A in octave 3} Eighth,A3-interval class 3,0.5,209.0
Chord {F in octave 3 | G in octave 3} 16th,G3-interval class 2,0.25,211.0
