298.1666666666667
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 2 | D in octave 5 | E in octave 5 | B in octave 4 | C in octave 5} Eighth,C2-phrygian tetrachord,0.5,8.0
Chord {B in octave 1 | C in octave 5} Quarter Triplet (2/3 QL),C5-interval class 1,2/3,11.0
Chord {B in octave 1 | A in octave 4} Eighth Triplet (1/3 QL),B1-interval class 2,1/3,35/3
Chord {G in octave 1 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,38/3
Chord {C in octave 2 | C in octave 5} Eighth,C2-unison,0.5,16.0
Chord {C in octave 2 | E in octave 5 | C in octave 6 | B-flat in octave 4 | G in octave 5} Eighth Triplet (1/3 QL),C2-dominant seventh chord,1/3,50/3
Chord {C in octave 3 | C-sharp in octave 3 | E in octave 2 | B in octave 1} 16th,C3-minor third tetracluster,0.25,53/3
Chord {B-flat in octave 2 | E in octave 2} 16th,E2-tritone,0.25,56/3
Chord {C in octave 2 | C in octave 5 | B-flat in octave 4 | E in octave 5} Eighth Triplet (1/3 QL),C2-incomplete dominant-seventh chord,1/3,62/3
Chord {C in octave 3 | B in octave 1 | E-flat in octave 3} 16th,C3-major-minor trichord,0.25,65/3
Chord {B-flat in octave 2 | E-flat in octave 3} 16th,E-3-interval class 5,0.25,68/3
Chord {G in octave 2 | B in octave 1 | E-flat in octave 3} 16th,E-3-augmented triad,0.25,71/3
Chord {C in octave 3 | B in octave 3 | G in octave 4 | E in octave 4} Eighth,C3-major seventh chord,0.5,24.0
Chord {C in octave 3 | C in octave 5 | B in octave 4 | G in octave 5 | E in octave 5 | D in octave 5} Eighth Triplet (1/3 QL),C3-major-ninth chord,1/3,74/3
Chord {A in octave 2 | A in octave 5} Quarter Triplet (2/3 QL),A2-unison,2/3,26.0
Chord {C in octave 2 | B in octave 1 | E-flat in octave 3 | C in octave 5} 16th,C2-major-minor trichord,0.25,86/3
Chord {E in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-phrygian trichord,0.25,33.0
Chord {G in octave 1 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,110/3
Chord {B-flat in octave 1 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 2,1/3,119/3
Chord {C in octave 2 | E in octave 5 | C in octave 5 | B-flat in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),C2-whole-tone tetramirror,1/3,122/3
Chord {C in octave 3 | G in octave 5} 16th,C3-interval class 5,0.25,125/3
Chord {B-flat in octave 2 | E in octave 2} 16th,E2-tritone,0.25,128/3
Chord {G in octave 2 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,131/3
Chord {F in octave 1 | A in octave 4 | C in octave 5 | E-flat in octave 5 | F in octave 5} Eighth,F1-dominant seventh chord,0.5,44.0
Chord {G in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,134/3
Chord {C in octave 2 | E in octave 5 | G in octave 5 | B-flat in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),C2-dominant seventh chord,1/3,146/3
Chord {C in octave 3 | B in octave 1 | E-flat in octave 3} 16th,C3-major-minor trichord,0.25,149/3
Chord {B-flat in octave 2 | E-flat in octave 3} 16th,E-3-interval class 5,0.25,152/3
Chord {G in octave 2 | B in octave 1 | E-flat in octave 3} 16th,E-3-augmented triad,0.25,155/3
Chord {C in octave 2 | C in octave 6} Eighth Triplet (1/3 QL),C2-unison,1/3,158/3
Chord {C in octave 2 | E in octave 2 | B in octave 1 | E-flat in octave 3} 16th,C2-Arabian tetramirror,0.25,161/3
Chord {F in octave 1 | B-flat in octave 4 | E-flat in octave 5 | D in octave 5} Eighth Triplet (1/3 QL),B-4-perfect-fourth major tetrachord,1/3,164/3
Chord {B-flat in octave 1 | B-flat in octave 4 | C-sharp in octave 5 | G in octave 4} Eighth,C#5-diminished triad,0.5,55.0
Chord {E in octave 1 | B-flat in octave 4} Eighth Triplet (1/3 QL),E1-tritone,1/3,167/3
Chord {B-flat in octave 1 | E-flat in octave 5 | G in octave 5 | B-flat in octave 4} Quarter Triplet (2/3 QL),E-5-major triad,2/3,58.0
Chord {B-flat in octave 1 | B-flat in octave 4 | G in octave 5 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-5-major triad,1/3,176/3
Chord {B-flat in octave 1 | A in octave 4 | F in octave 5 | E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),F5-Kumoi pentachord,1/3,182/3
Chord {B-flat in octave 1 | E-flat in octave 5 | G in octave 5 | D in octave 5 | B-flat in octave 4} Quarter Triplet (2/3 QL),E-5-major seventh chord,2/3,62.0
Chord {G-sharp in octave 1 | B-flat in octave 4 | G in octave 5 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-5-perfect-fourth major tetrachord,1/3,188/3
Chord {D in octave 2 | E in octave 2 | B in octave 1 | E-flat in octave 3} 16th,E2-minor third tetracluster,0.25,206/3
Chord {A in octave 1 | A in octave 4 | C-sharp in octave 5 | G in octave 4} Eighth,A1-incomplete dominant-seventh chord,0.5,70.0
Chord {C in octave 2 | C in octave 5} Quarter Triplet (2/3 QL),C2-unison,2/3,74.0
Chord {C in octave 2 | C-sharp in octave 5} Quarter Triplet (2/3 QL),C2-interval class 1,2/3,75.0
Chord {C in octave 2 | G in octave 4} Eighth Triplet (1/3 QL),C2-interval class 5,1/3,248/3
Chord {E in octave 2 | B-flat in octave 4} Quarter Triplet (2/3 QL),E2-tritone,2/3,83.0
Chord {G in octave 1 | B in octave 3 | F in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),G1-dominant seventh chord,1/3,86.0
Chord {C in octave 2 | B-flat in octave 4 | G in octave 4 | E in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C2-dominant seventh chord,1/3,266/3
Chord {B-flat in octave 2 | E in octave 2} 16th,E2-tritone,0.25,272/3
Chord {G in octave 2 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,275/3
Chord {C in octave 2 | A in octave 4 | G in octave 5 | E-flat in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A4-half-diminished seventh chord,1/3,284/3
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,290/3
Chord {A in octave 1 | E-flat in octave 3} 16th,A1-tritone,0.25,308/3
Chord {F-sharp in octave 2 | C-sharp in octave 5 | E in octave 5 | B-flat in octave 4} Eighth,C#5-dominant seventh chord,0.5,103.0
Chord {C-sharp in octave 2 | C in octave 5} Eighth Triplet (1/3 QL),C#2-interval class 1,1/3,311/3
Chord {F in octave 1 | F in octave 4 | E-flat in octave 5 | C in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),F1-dominant seventh chord,1/3,314/3
Chord {F in octave 2 | E in octave 2 | B in octave 1 | E-flat in octave 3} 16th,E2-major third testacluster,0.25,317/3
Chord {E-flat in octave 2 | E in octave 2 | E-flat in octave 3} 16th,E-2-interval class 1,0.25,320/3
Chord {C in octave 2 | B in octave 1 | E-flat in octave 3} 16th,C2-major-minor trichord,0.25,323/3
Chord {B-flat in octave 1 | B-flat in octave 3 | E-flat in octave 4 | G in octave 4} Eighth,E-4-major triad,0.5,110.0
Chord {C in octave 2 | B in octave 1 | E-flat in octave 3} 16th,C2-major-minor trichord,0.25,338/3
Chord {E in octave 1 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,350/3
Chord {A in octave 1 | G in octave 3 | C-sharp in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),A1-incomplete dominant-seventh chord,1/3,118.0
Chord {D in octave 2 | A in octave 4 | F in octave 5 | D in octave 5 | C in octave 5 | G in octave 5} Eighth Triplet (1/3 QL),D2-major pentatonic,1/3,362/3
Chord {D in octave 3 | B in octave 1 | E-flat in octave 3} 16th,E-3-major-minor trichord,0.25,365/3
Chord {C in octave 3 | E-flat in octave 3} 16th,C3-interval class 3,0.25,368/3
Chord {A in octave 2 | B in octave 1 | E-flat in octave 3} 16th,A2-incomplete dominant-seventh chord,0.25,371/3
Chord {G in octave 1 | G-sharp in octave 4} 16th,G1-interval class 1,0.25,380/3
Chord {C in octave 2 | E in octave 2} 16th,C2-interval class 4,0.25,127.0
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,130.0
Chord {E in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-phrygian trichord,0.25,131.0
Chord {F in octave 1 | E-flat in octave 5} Eighth Triplet (1/3 QL),F1-interval class 2,1/3,395/3
Chord {C in octave 2 | E-flat in octave 3} 16th,C2-interval class 3,0.25,398/3
Chord {C in octave 2 | B-flat in octave 4 | G in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),C2-dominant seventh chord,1/3,410/3
Chord {C in octave 3 | B in octave 1 | E-flat in octave 3} 16th,C3-major-minor trichord,0.25,413/3
Chord {B-flat in octave 2 | E-flat in octave 3} 16th,E-3-interval class 5,0.25,416/3
Chord {G in octave 2 | B in octave 1 | E-flat in octave 3} 16th,E-3-augmented triad,0.25,419/3
Chord {C in octave 2 | B-flat in octave 4 | E in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C2-incomplete dominant-seventh chord,1/3,434/3
Chord {C in octave 3 | B in octave 1 | E-flat in octave 3} 16th,C3-major-minor trichord,0.25,437/3
Chord {B-flat in octave 2 | E-flat in octave 3} 16th,E-3-interval class 5,0.25,440/3
Chord {G in octave 2 | B in octave 1 | E-flat in octave 3} 16th,E-3-augmented triad,0.25,443/3
Chord {G in octave 1 | E in octave 2 | B in octave 1 | E-flat in octave 3} 16th,E2-minor-augmented tetrachord,0.25,446/3
