604.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 2 | C in octave 4} 16th,C2-unison,0.25,43.75
Chord {D in octave 4 | F in octave 4} 16th,D4-interval class 3,0.25,46.25
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,46.5
Chord {F in octave 4 | G-sharp in octave 4} 16th,G#4-interval class 3,0.25,46.75
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,47.0
Chord {D in octave 4 | F in octave 4} 16th,D4-interval class 3,0.25,47.25
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,47.5
Chord {F in octave 4 | G-sharp in octave 4} 16th,G#4-interval class 3,0.25,47.75
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,48.25
Chord {C in octave 5 | E-flat in octave 5} 16th,C5-interval class 3,0.25,49.25
Chord {B-flat in octave 4 | D in octave 5} 16th,B-4-interval class 4,0.25,49.75
Chord {G in octave 4 | B-flat in octave 4} 16th,G4-interval class 3,0.25,50.75
Chord {F in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),G#4-interval class 3,2/3,51.25
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,52.0
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,52.75
Chord {D in octave 4 | F in octave 4} 16th,D4-interval class 3,0.25,53.0
Chord {C in octave 4 | E-flat in octave 4} 16th,C4-interval class 3,0.25,53.25
Chord {E-flat in octave 4 | G in octave 4} 16th,E-4-interval class 4,0.25,53.5
Chord {D in octave 4 | F in octave 4} 16th,D4-interval class 3,0.25,53.75
Chord {C in octave 4 | E-flat in octave 4} 16th,C4-interval class 3,0.25,54.0
Chord {B in octave 3 | D in octave 4} 16th,B3-interval class 3,0.25,54.25
Chord {D in octave 4 | F in octave 4} 16th,D4-interval class 3,0.25,54.5
Chord {G in octave 3 | C in octave 4} 16th,C4-interval class 5,0.25,55.0
Chord {B-flat in octave 3 | D in octave 4} 16th,B-3-interval class 4,0.25,55.25
Chord {C in octave 4 | E-flat in octave 4} 16th,C4-interval class 3,0.25,55.75
Chord {E-flat in octave 3 | G in octave 3} 16th,E-3-interval class 4,0.25,56.5
Chord {G-sharp in octave 3 | C in octave 4} 16th,C4-interval class 4,0.25,57.5
Chord {F in octave 3 | A in octave 3} 16th,F3-interval class 4,0.25,58.0
Chord {G in octave 3 | B in octave 3} 16th,G3-interval class 4,0.25,58.75
Chord {C in octave 3 | C in octave 4 | C in octave 5} 16th,C3-unison,0.25,62.75
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4} Breve,G3-minor triad,8.0,64.0
Chord {E-flat in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Whole,E-3-quartal trichord,4.0,72.0
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,78.25
Chord {B in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 4,1.25,78.75
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4} Breve,G3-minor triad,8.0,80.0
Chord {E-flat in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Whole,E-3-quartal trichord,4.0,88.0
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,94.25
Chord {B in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 4,1.25,94.75
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4} Breve,G3-minor triad,8.0,96.0
Chord {E-flat in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Whole,E-3-quartal trichord,4.0,104.0
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,110.25
Chord {B in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 4,1.25,110.75
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4} Breve,G3-minor triad,8.0,112.0
Chord {E-flat in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Whole,E-3-quartal trichord,4.0,120.0
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,126.25
Chord {B in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 4,1.25,126.75
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4} Breve,G3-minor triad,8.0,160.0
Chord {E-flat in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Whole,E-3-quartal trichord,4.0,168.0
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,174.25
Chord {B in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 4,1.25,174.75
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4} Breve,G3-minor triad,8.0,176.0
Chord {E-flat in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F in octave 4} Whole,E-3-quartal trichord,4.0,184.0
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,190.25
Chord {B in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 4,1.25,190.75
Chord {C in octave 4 | C in octave 5} 16th,C4-unison,0.25,243.75
Chord {A in octave 3 | A in octave 4} 16th,A3-unison,0.25,244.25
Chord {F in octave 3 | F in octave 4} 16th,F3-unison,0.25,244.75
Chord {E-flat in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-3-unison,1.25,245.25
Chord {F in octave 4 | F in octave 5} 16th,F4-unison,0.25,247.75
Chord {D in octave 4 | D in octave 5} 16th,D4-unison,0.25,248.25
Chord {B-flat in octave 3 | B-flat in octave 4} 16th,B-3-unison,0.25,248.75
Chord {G-sharp in octave 3 | G-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),G#3-unison,1.25,249.25
Chord {F in octave 4 | F in octave 5} 16th,F4-unison,0.25,250.75
Chord {G in octave 3 | G in octave 4} 16th,G3-unison,0.25,251.25
Chord {F-sharp in octave 3 | F-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),F#3-unison,1.25,251.75
Chord {F-sharp in octave 3 | F-sharp in octave 4} 16th,F#3-unison,0.25,253.25
Chord {F in octave 3 | F in octave 4} Dotted Eighth,F3-unison,0.75,253.75
Chord {D in octave 4 | D in octave 5} 16th,D4-unison,0.25,254.75
Chord {F in octave 3 | F in octave 4} 16th,F3-unison,0.25,255.25
Chord {E-flat in octave 3 | E-flat in octave 4} Dotted Eighth,E-3-unison,0.75,255.75
