448.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 3 | E in octave 3} Whole,C3-interval class 4,4.0,11.5
Chord {F in octave 3 | C in octave 4} Half,F3-interval class 5,2.0,19.5
Chord {G-sharp in octave 3 | F in octave 3} Half,G#3-interval class 3,2.0,21.5
Chord {F-sharp in octave 3 | D in octave 3} Half,D3-interval class 4,2.0,39.5
Chord {D in octave 3 | C in octave 4} Half,D3-interval class 2,2.0,41.5
Chord {D in octave 3 | B in octave 3} Half,B3-interval class 3,2.0,43.5
Chord {A in octave 2 | G in octave 3} Half,A2-interval class 2,2.0,45.5
Chord {E in octave 2 | G in octave 3} Half,E2-interval class 3,2.0,51.5
Chord {D in octave 3 | C in octave 4} Half,D3-interval class 2,2.0,55.5
Chord {A in octave 3 | D in octave 4 | G in octave 4 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),A3-quartal tetramirror,5/3,64.0
Chord {A in octave 3 | D in octave 4 | G in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),A3-quartal tetramirror,2/3,66.0
Chord {A in octave 3 | D in octave 4 | G in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A3-quartal tetramirror,1/3,202/3
Chord {B-flat in octave 3 | E in octave 4 | G in octave 4 | C-sharp in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),C#5-diminished seventh chord,5/3,70.0
Chord {D in octave 4 | F in octave 4 | A in octave 4 | D in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor triad,5/3,72.0
Chord {D in octave 4 | F in octave 4 | A in octave 4 | D in octave 5} Quarter Triplet (2/3 QL),D4-minor triad,2/3,74.0
Chord {D in octave 4 | F in octave 4 | A in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),D4-minor triad,1/3,226/3
Chord {B-flat in octave 3 | E in octave 4 | A in octave 4 | D in octave 5} Quarter Triplet (2/3 QL),B-3-minor-second quartal tetrachord,2/3,76.0
Chord {D in octave 5 | A in octave 4 | E in octave 4 | B-flat in octave 3} Half Triplet (1 1/3 QL),B-3-minor-second quartal tetrachord,4/3,232/3
Chord {B-flat in octave 3 | E in octave 4 | G-sharp in octave 4 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#5-half-diminished seventh chord,1/3,238/3
Chord {F in octave 3 | A in octave 3 | D in octave 4 | G in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),D4-major pentatonic,2/3,80.0
