475.75
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 4 | D in octave 5 | F-sharp in octave 5} 16th,B4-minor triad,0.25,36.75
Chord {A in octave 3 | E in octave 4 | E in octave 3 | C-sharp in octave 4} Double Dotted Quarter,A3-major triad,1.75,38.0
Chord {D in octave 4 | E in octave 3 | B in octave 3} Double Dotted Quarter,E3-incomplete dominant-seventh chord,1.75,40.0
Chord {C-sharp in octave 4 | A in octave 3 | E in octave 3} Double Dotted Quarter,A3-major triad,1.75,42.0
Chord {B in octave 3 | E in octave 3 | G in octave 4 | D in octave 4} Double Dotted Quarter,E3-minor seventh chord,1.75,44.0
Chord {E in octave 4 | A in octave 3 | C-sharp in octave 4 | E in octave 3} Double Dotted Quarter,A3-major triad,1.75,46.0
Chord {B in octave 3 | E in octave 3 | E in octave 4 | D in octave 4} Double Dotted Quarter,E3-incomplete dominant-seventh chord,1.75,48.0
Chord {C-sharp in octave 4 | A in octave 3 | E in octave 3} Double Dotted Quarter,A3-major triad,1.75,50.0
Chord {E in octave 3 | G in octave 4 | B in octave 3 | D in octave 4} Double Dotted Quarter,E3-minor seventh chord,1.75,52.0
Chord {C-sharp in octave 5 | A in octave 4 | E in octave 5} Quarter Triplet (2/3 QL),A4-major triad,2/3,54.0
Chord {E in octave 5 | C-sharp in octave 5 | A in octave 4} 16th,A4-major triad,0.25,54.75
Chord {E in octave 3 | B in octave 3 | E in octave 4 | D in octave 4} Double Dotted Quarter,E3-incomplete dominant-seventh chord,1.75,56.0
Chord {E in octave 3 | C-sharp in octave 4 | A in octave 3} Double Dotted Quarter,A3-major triad,1.75,58.0
Chord {E in octave 3 | B in octave 3 | D in octave 4 | G in octave 4} Double Dotted Quarter,E3-minor seventh chord,1.75,60.0
Chord {E in octave 4 | C-sharp in octave 4 | E in octave 3 | A in octave 3} Double Dotted Quarter,A3-major triad,1.75,62.0
Chord {E in octave 3 | B in octave 3 | D in octave 4 | E in octave 4} Double Dotted Quarter,E3-incomplete dominant-seventh chord,1.75,64.0
Chord {E in octave 3 | C-sharp in octave 4 | A in octave 3 | E in octave 4} Double Dotted Quarter,A3-major triad,1.75,66.0
Chord {D in octave 5 | B in octave 4 | F-sharp in octave 5} Quarter Triplet (2/3 QL),B4-minor triad,2/3,76.0
Chord {B in octave 4 | F-sharp in octave 5 | D in octave 5} 16th,B4-minor triad,0.25,76.75
Chord {E in octave 4 | E in octave 3 | C-sharp in octave 4 | A in octave 3} Double Dotted Quarter,A3-major triad,1.75,78.0
Chord {B in octave 3 | E in octave 3 | E in octave 4 | D in octave 4} Double Dotted Quarter,E3-incomplete dominant-seventh chord,1.75,80.0
Chord {A in octave 3 | C-sharp in octave 4 | E in octave 4 | E in octave 3} Double Dotted Quarter,A3-major triad,1.75,82.0
Chord {E in octave 3 | B in octave 3 | B in octave 4 | G in octave 4 | D in octave 4} Quadruple Dotted Whole (7 3/4 QL),E3-minor seventh chord,7.75,84.0
Chord {B in octave 3 | F-sharp in octave 4 | E in octave 4} Quadruple Dotted Whole (7 3/4 QL),E4-quartal trichord,7.75,92.0
Chord {B in octave 4 | D in octave 5 | F-sharp in octave 5} 16th,B4-minor triad,0.25,100.75
Chord {A in octave 3 | E in octave 4 | C-sharp in octave 4 | E in octave 3} Double Dotted Quarter,A3-major triad,1.75,102.0
Chord {E in octave 4 | B in octave 3 | D in octave 4 | E in octave 3} Double Dotted Quarter,E4-incomplete dominant-seventh chord,1.75,104.0
Chord {E in octave 3 | A in octave 3 | C-sharp in octave 4} Double Dotted Quarter,A3-major triad,1.75,106.0
Chord {B in octave 3 | G in octave 4 | E in octave 3 | D in octave 4} Double Dotted Quarter,E3-minor seventh chord,1.75,108.0
Chord {E in octave 4 | A in octave 3 | E in octave 3 | C-sharp in octave 4} Double Dotted Quarter,A3-major triad,1.75,110.0
Chord {E in octave 3 | B in octave 3 | E in octave 4 | D in octave 4} Double Dotted Quarter,E3-incomplete dominant-seventh chord,1.75,112.0
Chord {E in octave 3 | E in octave 4 | A in octave 3 | C-sharp in octave 4} Double Dotted Quarter,A3-major triad,1.75,114.0
Chord {E in octave 3 | G in octave 4 | B in octave 3 | D in octave 4} Double Dotted Quarter,E3-minor seventh chord,1.75,124.0
Chord {E in octave 5 | C-sharp in octave 5 | A in octave 4} Quarter Triplet (2/3 QL),A4-major triad,2/3,126.0
Chord {C-sharp in octave 5 | E in octave 5 | A in octave 4} 16th,A4-major triad,0.25,126.75
Chord {D in octave 4 | E in octave 4 | B in octave 3 | E in octave 3} Double Dotted Quarter,E4-incomplete dominant-seventh chord,1.75,128.0
Chord {E in octave 3 | C-sharp in octave 4 | A in octave 3 | E in octave 4} Double Dotted Quarter,A3-major triad,1.75,130.0
Chord {B in octave 3 | F-sharp in octave 4 | E in octave 4} Quadruple Dotted Whole (7 3/4 QL),E4-quartal trichord,7.75,140.0
Chord {G in octave 4 | E in octave 4 | F-sharp in octave 5 | D in octave 5 | B in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),E4-minor-ninth chord,11/3,148.0
Chord {C in octave 4 | B in octave 4 | E in octave 5 | E in octave 4 | G in octave 4} Double Dotted Half,C4-major seventh chord,3.5,156.0
Chord {B in octave 4 | F-sharp in octave 5 | G in octave 4 | E in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),E4-major-second minor tetrachord,11/3,164.0
Chord {A in octave 4 | D in octave 4 | C in octave 5} Triple Dotted Half (3 3/4 QL),D4-incomplete dominant-seventh chord,3.75,168.0
Chord {E in octave 5 | B in octave 4 | E in octave 4 | C in octave 4 | G in octave 4} Double Dotted Half,C4-major seventh chord,3.5,172.0
Chord {F-sharp in octave 4 | B in octave 3 | B in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),B3-interval class 5,3.25,176.0
Chord {B in octave 3 | F-sharp in octave 4 | B in octave 4} Eighth,B3-interval class 5,0.5,180.0
Chord {E in octave 4 | F-sharp in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),E4-quartal trichord,1/3,180.75
Chord {E in octave 4 | F-sharp in octave 4 | B in octave 3 | B in octave 4} Eighth,E4-quartal trichord,0.5,181.5
Chord {D in octave 4 | G in octave 4 | B in octave 3 | E in octave 3} Double Dotted Quarter,E3-minor seventh chord,1.75,184.0
Chord {A in octave 3 | E in octave 4 | C-sharp in octave 4 | E in octave 3} Double Dotted Quarter,A3-major triad,1.75,186.0
Chord {B in octave 3 | E in octave 3 | D in octave 4} Double Dotted Quarter,E3-incomplete dominant-seventh chord,1.75,188.0
Chord {E in octave 3 | C-sharp in octave 4 | A in octave 3} Double Dotted Quarter,A3-major triad,1.75,190.0
Chord {E in octave 3 | B in octave 3 | G in octave 4 | D in octave 4} Double Dotted Quarter,E3-minor seventh chord,1.75,192.0
Chord {A in octave 3 | C-sharp in octave 4 | E in octave 3 | E in octave 4} Double Dotted Quarter,A3-major triad,1.75,194.0
Chord {E in octave 3 | D in octave 4 | B in octave 3} Double Dotted Quarter,E3-incomplete dominant-seventh chord,1.75,196.0
Chord {A in octave 3 | E in octave 3 | A in octave 4 | C-sharp in octave 4 | E in octave 4} Double Dotted Quarter,A3-major triad,1.75,198.0
Chord {G in octave 5 | B in octave 5} Triple Dotted Half (3 3/4 QL),G5-interval class 4,3.75,200.0
Chord {G in octave 4 | E in octave 3 | D in octave 4 | B in octave 3} Double Dotted Quarter,E3-minor seventh chord,1.75,208.0
Chord {C-sharp in octave 5 | E in octave 5 | A in octave 4} Quarter Triplet (2/3 QL),A4-major triad,2/3,210.0
