448.0
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 3 | C in octave 2} Half,C2-interval class 4,2.0,52.0
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,92.0
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,100.0
Chord {A in octave 3 | F in octave 2} Whole tied to Eighth (4 1/2 total QL),F2-interval class 4,4.5,101.5
Chord {A in octave 1 | C-sharp in octave 3} Eighth,A1-interval class 4,0.5,243.5
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,244.0
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,252.0
Chord {A in octave 3 | F in octave 2} Whole tied to Eighth (4 1/2 total QL),F2-interval class 4,4.5,253.5
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,412.0
Chord {E in octave 3 | C in octave 2} Dotted Quarter,C2-interval class 4,1.5,420.0
Chord {A in octave 2 | F in octave 1} Breve Tuplet of 24/19ths (6 1/3 QL),F1-interval class 4,19/3,421.5
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,428.0
Chord {E in octave 3 | C in octave 2} Half,C2-interval class 4,2.0,52.0
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,92.0
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,100.0
Chord {A in octave 3 | F in octave 2} Whole tied to Eighth (4 1/2 total QL),F2-interval class 4,4.5,101.5
Chord {A in octave 1 | C-sharp in octave 3} Eighth,A1-interval class 4,0.5,243.5
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,244.0
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,252.0
Chord {A in octave 3 | F in octave 2} Whole tied to Eighth (4 1/2 total QL),F2-interval class 4,4.5,253.5
Chord {D in octave 2 | F-sharp in octave 3} Dotted Quarter,D2-interval class 4,1.5,412.0
Chord {E in octave 3 | C in octave 2} Dotted Quarter,C2-interval class 4,1.5,420.0
