291.5
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-unison,1/3,374/3
Chord {E in octave 4 | E in octave 5} Dotted Quarter,E4-unison,1.5,383/3
Chord {C in octave 6 | C in octave 5} Quarter,C6-unison,1.0,443/3
Chord {C in octave 5 | C in octave 6} Eighth Triplet (1/3 QL),C5-unison,1/3,446/3
Chord {B in octave 4 | B in octave 5} Quarter Triplet (2/3 QL),B4-unison,2/3,149.0
Chord {B in octave 4 | B in octave 5} Eighth Triplet (1/3 QL),B4-unison,1/3,449/3
Chord {A in octave 4 | A in octave 5} Quarter Triplet (2/3 QL),A4-unison,2/3,150.0
Chord {G in octave 4 | G in octave 5} Eighth Triplet (1/3 QL),G4-unison,1/3,452/3
Chord {G in octave 5 | G in octave 4} Quarter,G5-unison,1.0,158.0
Chord {E in octave 4 | E in octave 5} 16th,E4-unison,0.25,159.5
Chord {F in octave 4 | F in octave 5} Eighth,F4-unison,0.5,204.0
Chord {E in octave 6 | G in octave 5 | B in octave 5 | E in octave 5} Whole Tuplet of 6/5ths (3 1/3 QL),E6-minor triad,10/3,626/3
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,638/3
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,641/3
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,644/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,647/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,650/3
Chord {D in octave 5 | B in octave 4} 16th,B4-interval class 3,0.25,653/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,656/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,659/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,662/3
Chord {D in octave 5 | B in octave 4} 16th,B4-interval class 3,0.25,665/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,668/3
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,671/3
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,674/3
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,677/3
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,680/3
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,686/3
Chord {E in octave 5 | C in octave 5} 16th,C5-interval class 4,0.25,689/3
Chord {C in octave 5 | E in octave 5} 16th,C5-interval class 4,0.25,692/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,695/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,698/3
Chord {D in octave 5 | B in octave 4} 16th,B4-interval class 3,0.25,701/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,704/3
Chord {B in octave 4 | D in octave 5} 16th,B4-interval class 3,0.25,707/3
Chord {A in octave 4 | C in octave 5} 16th,A4-interval class 3,0.25,710/3
Chord {C in octave 5 | A in octave 4} 16th,A4-interval class 3,0.25,713/3
Chord {A in octave 4 | C in octave 5} 16th,A4-interval class 3,0.25,716/3
Chord {C in octave 5 | A in octave 4} 16th,A4-interval class 3,0.25,719/3
Chord {A in octave 4 | C in octave 5} 16th,A4-interval class 3,0.25,722/3
Chord {C in octave 5 | A in octave 4} 16th,A4-interval class 3,0.25,725/3
Chord {A in octave 4 | C in octave 5} 16th,A4-interval class 3,0.25,728/3
Chord {C in octave 5 | A in octave 4} 16th,A4-interval class 3,0.25,731/3
Chord {E in octave 5 | C in octave 5 | C in octave 6} Quarter,C5-interval class 4,1.0,737/3
Chord {D in octave 5 | B in octave 5} 16th,B5-interval class 3,0.25,740/3
Chord {C in octave 5 | A in octave 4} Eighth,A4-interval class 3,0.5,247.0
Chord {G in octave 5 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),G5-unison,10/3,743/3
Chord {B-flat in octave 5 | D in octave 5 | G-sharp in octave 4} Eighth,G#4-incomplete dominant-seventh chord,0.5,758/3
Chord {F in octave 4 | G in octave 5 | B-flat in octave 4} Eighth,G5-incomplete minor-seventh chord,0.5,760/3
Chord {B-flat in octave 5 | D in octave 5 | G-sharp in octave 4} Eighth,G#4-incomplete dominant-seventh chord,0.5,254.0
Chord {F in octave 4 | G in octave 5 | B-flat in octave 4} Eighth,G5-incomplete minor-seventh chord,0.5,764/3
Chord {B-flat in octave 5 | D in octave 5} Eighth,B-5-interval class 4,0.5,766/3
Chord {B-flat in octave 5 | C-sharp in octave 6} Eighth,C#6-interval class 3,0.5,770/3
Chord {G in octave 5 | B-flat in octave 5} Eighth,G5-interval class 3,0.5,772/3
Chord {B-flat in octave 5 | C-sharp in octave 6} Eighth,C#6-interval class 3,0.5,258.0
Chord {G in octave 5 | B-flat in octave 5} Eighth,G5-interval class 3,0.5,776/3
Chord {B-flat in octave 5 | C-sharp in octave 6} Eighth,C#6-interval class 3,0.5,778/3
Chord {A in octave 4 | A in octave 5} Eighth,A4-unison,0.5,263.0
Chord {C in octave 5 | C in octave 6} Double Dotted Quarter,C5-unison,1.75,263.5
Chord {B in octave 5 | B in octave 4} 16th,B5-unison,0.25,796/3
Chord {A in octave 4 | A in octave 5} 16th,A4-unison,0.25,797/3
Chord {B in octave 4 | B in octave 5} Eighth,B4-unison,0.5,266.0
Chord {C in octave 5 | C in octave 6} Eighth,C5-unison,0.5,270.0
Chord {C in octave 5 | C in octave 6 | G in octave 5} 16th,C5-interval class 5,0.25,812/3
Chord {B-flat in octave 4 | B-flat in octave 5} Quarter Triplet (2/3 QL),B-4-unison,2/3,273.0
Chord {B-flat in octave 4 | B-flat in octave 5 | F in octave 5} Eighth,B-4-interval class 5,0.5,274.0
Chord {C in octave 5 | C in octave 6 | G in octave 5} 16th,C5-interval class 5,0.25,824/3
Chord {F in octave 4 | F in octave 5} 16th,F4-unison,0.25,788/3
Chord {G in octave 5 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),C5-interval class 5,1.25,815/3
Chord {E-flat in octave 5 | G-sharp in octave 4 | G-sharp in octave 5} 16th,E-5-interval class 5,0.25,821/3
Chord {A in octave 3 | E in octave 4} Eighth,A3-interval class 5,0.5,389/3
Chord {C in octave 4 | C in octave 5} Quarter,C4-unison,1.0,443/3
Chord {C in octave 4 | C in octave 5} 16th,C4-unison,0.25,446/3
Chord {G in octave 4 | G in octave 3} 16th,G4-unison,0.25,155.0
Chord {B in octave 3 | B in octave 4} Quarter,B3-unison,1.0,156.0
Chord {A in octave 4 | C in octave 4} Quarter,A4-interval class 3,1.0,157.0
Chord {D in octave 4 | G in octave 4} Quarter,G4-interval class 5,1.0,158.0
Chord {G in octave 4 | B in octave 3 | E in octave 4} Double Dotted Half,E4-minor triad,3.5,208.75
Chord {B in octave 4 | D in octave 4} 16th,B4-interval class 3,0.25,740/3
Chord {C in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),A4-interval class 3,2/3,247.0
Chord {G in octave 4 | G in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),G4-unison,3.25,743/3
Chord {D in octave 5 | F in octave 4} Eighth,D5-interval class 3,0.5,758/3
Chord {B-flat in octave 4 | D in octave 4} Eighth,B-4-interval class 4,0.5,760/3
Chord {D in octave 5 | F in octave 4} Eighth,D5-interval class 3,0.5,254.0
Chord {B-flat in octave 4 | D in octave 4} Eighth,B-4-interval class 4,0.5,764/3
Chord {D in octave 5 | F in octave 4} Eighth,D5-interval class 3,0.5,766/3
Chord {F in octave 4 | C-sharp in octave 5} Eighth,F4-interval class 4,0.5,770/3
Chord {B-flat in octave 4 | C-sharp in octave 4} Eighth,C#4-interval class 3,0.5,772/3
Chord {C-sharp in octave 5 | F in octave 4} Eighth,F4-interval class 4,0.5,258.0
Chord {B-flat in octave 4 | C-sharp in octave 4} Eighth,C#4-interval class 3,0.5,776/3
Chord {C-sharp in octave 5 | F in octave 4} Eighth,F4-interval class 4,0.5,778/3
Chord {A in octave 3 | A in octave 4} Eighth Triplet (1/3 QL),A3-unison,1/3,785/3
Chord {A in octave 3 | A in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),A3-interval class 3,2/3,263.0
Chord {B in octave 3 | B in octave 4 | D in octave 5} 16th,B3-interval class 3,0.25,796/3
Chord {A in octave 3 | A in octave 4 | C in octave 5} 16th,A3-interval class 3,0.25,797/3
Chord {B in octave 3 | D in octave 5} Eighth,B3-interval class 3,0.5,266.0
Chord {C in octave 4 | C in octave 5 | E in octave 5} 16th,C4-interval class 4,0.25,800/3
Chord {C in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,270.0
Chord {C in octave 4 | G-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-interval class 4,1.25,815/3
Chord {B-flat in octave 3 | F in octave 4} Quarter Triplet (2/3 QL),B-3-interval class 5,2/3,273.0
Chord {E in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),A4-interval class 5,2/3,262.0
Chord {C in octave 4 | E in octave 5} Double Dotted Quarter,C4-interval class 4,1.75,791/3
Chord {B in octave 4 | D in octave 5} Quarter Triplet (2/3 QL),B4-interval class 3,2/3,266.0
Chord {G-sharp in octave 4 | C in octave 4} 16th,C4-interval class 4,0.25,812/3
Chord {G-sharp in octave 3 | E-flat in octave 4} 16th,E-4-interval class 5,0.25,821/3
Chord {F in octave 3 | F in octave 4 | B in octave 4} 16th,B4-tritone,0.25,788/3
Chord {C in octave 4 | G-sharp in octave 4} 16th,C4-interval class 4,0.25,824/3
Chord {G in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-unison,1/3,374/3
Chord {E in octave 4 | E in octave 5} Dotted Quarter,E4-unison,1.5,383/3
Chord {F in octave 4 | F in octave 5} Eighth,F4-unison,0.5,204.0
Chord {E in octave 6 | G in octave 5 | B in octave 5 | E in octave 5} Whole Tuplet of 6/5ths (3 1/3 QL),E6-minor triad,10/3,626/3
Chord {E in octave 5 | G in octave 4 | B in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E5-minor triad,2.75,242/3
Chord {E in octave 5 | C in octave 5 | G in octave 4} 16th,C5-major triad,0.25,251/3
Chord {G in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-unison,1/3,374/3
Chord {A in octave 0 | C in octave 2 | D in octave 2} Zero,D2-incomplete dominant-seventh chord,0.0,140.0
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,421/3
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,422/3
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,141.0
Chord {D in octave 2 | A in octave 0} 16th,D2-interval class 5,0.25,424/3
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,425/3
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,142.0
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,427/3
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,428/3
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,143.0
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,430/3
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,431/3
Chord {A in octave 0 | D in octave 2 | C in octave 2} 16th,D2-incomplete dominant-seventh chord,0.25,144.0
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,433/3
Chord {A in octave 0 | D in octave 2} 16th,D2-interval class 5,0.25,434/3
