654.5
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 1 | B-flat in octave 2} Whole Tuplet of 12/7ths (2 1/3 QL),B-1-unison,7/3,30.25
Chord {F in octave 1 | F in octave 3} Eighth Triplet (1/3 QL),F1-unison,1/3,34.75
Chord {G in octave 1 | G in octave 2} Eighth Triplet (1/3 QL),G1-unison,1/3,41.25
Chord {D in octave 4 | G in octave 4} Zero,G4-interval class 5,0.0,43.25
Chord {C in octave 4 | E-flat in octave 4} 16th,C4-interval class 3,0.25,43.25
Chord {G-sharp in octave 3 | F in octave 4} Zero,G#3-interval class 3,0.0,160/3
Chord {B-flat in octave 3 | F in octave 4} Zero,B-3-interval class 5,0.0,53.75
Chord {G-sharp in octave 3 | D in octave 4} Eighth,G#3-tritone,0.5,56.0
Chord {G in octave 4 | G-sharp in octave 4} Zero,G4-interval class 1,0.0,86.25
Chord {B-flat in octave 2 | B-flat in octave 1} 16th,B-2-unison,0.25,95.75
Chord {A in octave 2 | A in octave 1} 16th,A2-unison,0.25,96.25
Chord {G in octave 4 | G in octave 2} 16th,G4-unison,0.25,97.0
Chord {E in octave 4 | D in octave 5} Zero,E4-interval class 2,0.0,311/3
Chord {D in octave 6 | B in octave 5 | F in octave 5} Zero,B5-diminished triad,0.0,121.5
Chord {C in octave 2 | G-sharp in octave 4} Zero,C2-interval class 4,0.0,132.25
Chord {G-sharp in octave 3 | B-flat in octave 3} 16th,G#3-interval class 2,0.25,132.25
Chord {A in octave 3 | E in octave 4 | C-sharp in octave 4} Zero,A3-major triad,0.0,134.0
Chord {C-sharp in octave 2 | G-sharp in octave 3} 16th,C#2-interval class 5,0.25,134.5
Chord {G in octave 3 | C-sharp in octave 4} Eighth,C#4-tritone,0.5,135.5
Chord {E-flat in octave 2 | G in octave 3} Zero,E-2-interval class 4,0.0,138.0
Chord {G-sharp in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-interval class 1,1/3,142.5
Chord {B-flat in octave 1 | B-flat in octave 2} 16th,B-1-unison,0.25,454/3
Chord {A in octave 1 | A in octave 2} 16th,A1-unison,0.25,152.0
Chord {G in octave 2 | G in octave 1} 16th,G2-unison,0.25,152.5
Chord {C in octave 4 | D in octave 4} Zero,D4-interval class 2,0.0,154.25
Chord {E in octave 4 | D in octave 5} Quarter,E4-interval class 2,1.0,158.5
Chord {B-flat in octave 4 | B-flat in octave 3} Zero,B-4-unison,0.0,160.75
Chord {B-flat in octave 4 | D in octave 5} Zero,B-4-interval class 4,0.0,162.0
Chord {C-sharp in octave 4 | B-flat in octave 3} Zero,C#4-interval class 3,0.0,165.25
Chord {E in octave 4 | A in octave 4} Zero,A4-interval class 5,0.0,165.25
Chord {B-flat in octave 3 | A in octave 4 | D in octave 4 | F in octave 4} Zero,B-3-major seventh chord,0.0,186.0
Chord {F in octave 4 | D in octave 5} Zero,D5-interval class 3,0.0,196.75
Chord {D in octave 4 | F in octave 4 | A in octave 4} Zero,D4-minor triad,0.0,203.0
Chord {A in octave 3 | D in octave 4} 16th,D4-interval class 5,0.25,210.0
Chord {F in octave 3 | D in octave 4 | F in octave 4} 16th,D4-interval class 3,0.25,212.75
Chord {D in octave 5 | D in octave 4} 16th,D5-unison,0.25,661/3
Chord {C in octave 4 | C in octave 5} Eighth,C4-unison,0.5,668/3
Chord {C in octave 5 | E in octave 4} Eighth,C5-interval class 4,0.5,223.75
Chord {A in octave 4 | F-sharp in octave 4 | C in octave 4} Zero,F#4-diminished triad,0.0,227.0
Chord {A in octave 3 | A in octave 4} Eighth Triplet (1/3 QL),A3-unison,1/3,235.25
Chord {C-sharp in octave 5 | A in octave 4} 16th,A4-interval class 4,0.25,244.25
Chord {C in octave 1 | D in octave 5} Zero,D5-interval class 2,0.0,252.0
Chord {A in octave 5 | A in octave 4} 16th,A5-unison,0.25,763/3
Chord {D in octave 4 | D in octave 5} Zero,D4-unison,0.0,261.25
Chord {F in octave 1 | F in octave 2} Quarter tied to 16th (1 1/4 total QL),F1-unison,1.25,787/3
Chord {C in octave 5 | C in octave 6} Zero,C5-unison,0.0,794/3
Chord {C-sharp in octave 5 | C-sharp in octave 6} Zero,C#5-unison,0.0,265.25
Chord {E-flat in octave 1 | D in octave 6} 16th,E-1-interval class 1,0.25,265.25
Chord {D in octave 1 | D in octave 2} Half Triplet (1 1/3 QL),D1-unison,4/3,265.75
Chord {G in octave 1 | G in octave 2} Double Dotted Quarter,G1-unison,1.75,269.25
Chord {D in octave 5 | E in octave 5} Zero,E5-interval class 2,0.0,271.5
Chord {A in octave 3 | F in octave 4} Dotted Eighth,F4-interval class 4,0.75,277.5
Chord {D in octave 4 | A in octave 3 | F in octave 4 | C in octave 4} Zero,D4-minor seventh chord,0.0,278.5
Chord {G in octave 1 | G in octave 2} Zero,G1-unison,0.0,283.25
Chord {F in octave 2 | F in octave 5} 16th,F2-unison,0.25,292.0
Chord {A in octave 5 | E in octave 5} 16th,A5-interval class 5,0.25,299.25
Chord {D in octave 2 | D in octave 3} Quarter Triplet (2/3 QL),D2-unison,2/3,303.75
Chord {G in octave 5 | D in octave 6} 16th,G5-interval class 5,0.25,306.5
Chord {D in octave 5 | C in octave 5} Zero,D5-interval class 2,0.0,312.75
Chord {E in octave 5 | F in octave 4} Zero,F4-interval class 1,0.0,319.75
Chord {E-flat in octave 2 | E-flat in octave 1 | E-flat in octave 5} Zero,E-2-unison,0.0,961/3
Chord {G in octave 5 | C in octave 5} Zero,C5-interval class 5,0.0,326.75
Chord {G-sharp in octave 4 | G-sharp in octave 5} Zero,G#4-unison,0.0,982/3
Chord {C in octave 2 | C in octave 3} Zero,C2-unison,0.0,328.0
Chord {G in octave 5 | C in octave 6 | C in octave 5} Zero,C6-interval class 5,0.0,329.0
Chord {A in octave 5 | D in octave 6 | D in octave 5} Zero,D6-interval class 5,0.0,330.25
Chord {C in octave 4 | E in octave 4} Eighth,C4-interval class 4,0.5,332.5
Chord {G in octave 2 | A in octave 4} Zero,A4-interval class 2,0.0,339.75
Chord {F in octave 1 | F in octave 4} Zero,F1-unison,0.0,344.75
Chord {C in octave 4 | C in octave 2} 16th,C4-unison,0.25,350.0
Chord {E-flat in octave 5 | C-sharp in octave 2} Zero,C#2-interval class 2,0.0,1060/3
Chord {F in octave 5 | D in octave 2} Eighth,D2-interval class 3,0.5,358.5
Chord {G in octave 5 | G in octave 4} Zero,G5-unison,0.0,361.0
Chord {G in octave 4 | F in octave 4} Zero,G4-interval class 2,0.0,363.75
Chord {F in octave 2 | F in octave 3} 16th,F2-unison,0.25,373.75
Chord {E-flat in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,374.75
Chord {G-sharp in octave 4 | G-sharp in octave 5} 16th,G#4-unison,0.25,375.5
Chord {C-sharp in octave 5 | C-sharp in octave 6} 16th,C#5-unison,0.25,378.25
Chord {D in octave 5 | D in octave 6} Zero,D5-unison,0.0,382.0
Chord {G-sharp in octave 4 | G-sharp in octave 5} 16th,G#4-unison,0.25,1153/3
Chord {A in octave 4 | A in octave 5} Zero,A4-unison,0.0,385.0
Chord {A in octave 3 | F in octave 4} Zero,F4-interval class 4,0.0,1165/3
Chord {B-flat in octave 3 | F in octave 4} Zero,B-3-interval class 5,0.0,388.75
Chord {B-flat in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),B-3-interval class 5,1/3,389.5
Chord {B-flat in octave 3 | F in octave 4} Eighth,B-3-interval class 5,0.5,390.0
Chord {G-sharp in octave 3 | D in octave 4} 16th,G#3-tritone,0.25,391.0
Chord {C in octave 4 | F in octave 4} 16th,F4-interval class 5,0.25,394.5
Chord {A in octave 3 | F in octave 4 | F in octave 2} 16th,F4-interval class 4,0.25,395.0
Chord {E-flat in octave 6 | D in octave 6} 16th,E-6-interval class 1,0.25,408.75
Chord {G-sharp in octave 6 | D in octave 7} 16th,G#6-tritone,0.25,416.5
Chord {B-flat in octave 2 | D in octave 5} Quarter,B-2-interval class 4,1.0,420.75
Chord {F in octave 6 | B-flat in octave 5} Zero,B-5-interval class 5,0.0,1291/3
Chord {G in octave 5 | E in octave 5} Eighth,E5-interval class 3,0.5,439.5
Chord {D in octave 4 | D in octave 5} Eighth,D4-unison,0.5,1337/3
Chord {F in octave 4 | B-flat in octave 4} Zero,B-4-interval class 5,0.0,447.25
Chord {A in octave 1 | A in octave 4} Zero,A1-unison,0.0,449.75
Chord {B-flat in octave 4 | B-flat in octave 5} Zero,B-4-unison,0.0,1351/3
Chord {C in octave 2 | C in octave 5} Zero,C2-unison,0.0,1354/3
Chord {B-flat in octave 5 | D in octave 5} 16th,B-5-interval class 4,0.25,452.5
Chord {A in octave 1 | G-sharp in octave 5} 16th,A1-interval class 1,0.25,1370/3
Chord {C in octave 6 | A in octave 5} 16th,A5-interval class 3,0.25,460.0
