442.8333333333333
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 6 | C-sharp in octave 4} Zero,C6-interval class 1,0.0,0.0
Chord {C-sharp in octave 6 | D in octave 4 | D in octave 6} Zero,D4-interval class 1,0.0,0.0
Chord {E-flat in octave 4 | E-flat in octave 6} Eighth,E-4-unison,0.5,0.25
Chord {E-flat in octave 6 | E-flat in octave 4} Quarter Triplet (2/3 QL),E-6-unison,2/3,0.75
Chord {D in octave 6 | D in octave 4} Eighth Triplet (1/3 QL),D6-unison,1/3,1.5
Chord {F in octave 4 | C-sharp in octave 4 | C in octave 4} Eighth,F4-incomplete major-seventh chord,0.5,46/3
Chord {C-sharp in octave 4 | F in octave 4} Zero,F4-interval class 4,0.0,16.5
Chord {G in octave 4 | D in octave 4 | E-flat in octave 4} Dotted Quarter,E-4-incomplete major-seventh chord,1.5,20.0
Chord {C in octave 5 | A in octave 4 | C-sharp in octave 4 | F in octave 4 | G in octave 3} Eighth,F4-enigmatic pentachord,0.5,33.0
Chord {A in octave 4 | F in octave 4 | C-sharp in octave 4 | C in octave 5} Eighth,F4-augmented major tetrachord,0.5,33.5
Chord {C-sharp in octave 4 | A in octave 4 | F in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F4-augmented major tetrachord,1/3,34.25
Chord {G-sharp in octave 4 | E in octave 4 | C in octave 5} Quarter Triplet (2/3 QL),C5-augmented triad,2/3,34.75
Chord {B-flat in octave 0 | B-flat in octave 1} Quarter Triplet (2/3 QL),B-0-unison,2/3,57.0
Chord {G-sharp in octave 6 | B-flat in octave 6} Zero,G#6-interval class 2,0.0,60.75
Chord {F in octave 3 | F in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),F3-interval class 5,1/3,68.5
Chord {D in octave 1 | D in octave 2} Eighth Triplet (1/3 QL),D1-unison,1/3,69.25
Chord {G in octave 4 | E-flat in octave 1} Eighth,E-1-interval class 4,0.5,70.25
Chord {E-flat in octave 6 | E-flat in octave 5} Eighth,E-6-unison,0.5,71.25
Chord {E-flat in octave 6 | E-flat in octave 5} Quarter Triplet (2/3 QL),E-6-unison,2/3,72.25
Chord {E-flat in octave 6 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-6-unison,1/3,73.0
Chord {G-sharp in octave 4 | G in octave 6} Zero,G#4-interval class 1,0.0,80.0
Chord {D in octave 6 | D in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),D6-unison,5/3,105.0
Chord {F-sharp in octave 4 | D in octave 4 | A in octave 3} Dotted Eighth,D4-major triad,0.75,331/3
Chord {F-sharp in octave 3 | D in octave 3} Dotted Eighth,D3-interval class 4,0.75,418/3
Chord {F-sharp in octave 3 | C in octave 4} Whole Triplet (2 2/3 QL),F#3-tritone,8/3,141.0
Chord {F-sharp in octave 2 | F-sharp in octave 1} 16th,F#2-unison,0.25,157.25
Chord {B-flat in octave 4 | E-flat in octave 4} 16th,E-4-interval class 5,0.25,162.0
Chord {G-sharp in octave 4 | E-flat in octave 5} 16th,E-5-interval class 5,0.25,487/3
Chord {E in octave 5 | G in octave 5} Zero,E5-interval class 3,0.0,167.0
Chord {F in octave 4 | F in octave 3} 16th,F4-unison,0.25,169.0
Chord {C-sharp in octave 4 | F-sharp in octave 4 | D in octave 2 | F-sharp in octave 3 | D in octave 1} Eighth,D2-incomplete major-seventh chord,0.5,169.5
Chord {G in octave 4 | D in octave 4 | E-flat in octave 1 | E-flat in octave 2} Eighth,E-1-incomplete major-seventh chord,0.5,170.25
Chord {C-sharp in octave 4 | C in octave 4 | E-flat in octave 6 | F in octave 4 | E-flat in octave 5 | B-flat in octave 5 | G in octave 3 | B-flat in octave 3} Eighth Triplet (1/3 QL),C#4-dorian hexachord,1/3,514/3
Chord {E-flat in octave 6 | E-flat in octave 5 | B-flat in octave 5 | C-sharp in octave 4 | C in octave 4 | F in octave 4 | G in octave 3 | B-flat in octave 3} Eighth,C#4-dorian hexachord,0.5,172.0
Chord {C-sharp in octave 6 | G-sharp in octave 5} Eighth,C#6-interval class 5,0.5,172.75
Chord {C-sharp in octave 6 | C-sharp in octave 5 | G-sharp in octave 5} Half tied to 16th (2 1/4 total QL),C#6-interval class 5,2.25,173.5
Chord {E-flat in octave 4 | G-sharp in octave 4} Dotted Eighth,E-4-interval class 5,0.75,182.5
Chord {G in octave 5 | A in octave 5} Zero,A5-interval class 2,0.0,192.25
Chord {C-sharp in octave 7 | E-flat in octave 7} Zero,C#7-interval class 2,0.0,192.75
Chord {G in octave 7 | A in octave 7} Zero,A7-interval class 2,0.0,193.25
Chord {D in octave 4 | F in octave 4} Eighth,D4-interval class 3,0.5,197.5
Chord {F in octave 1 | D in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-incomplete dominant-seventh chord,1/3,199.75
