630.25
12/8
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 3 | C in octave 4} Quarter,F#3-tritone,1.0,6.0
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,7.0
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,8.5
Chord {F in octave 3 | B in octave 3} Eighth,B3-tritone,0.5,9.0
Chord {F in octave 3 | B in octave 3} Quarter,B3-tritone,1.0,10.5
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,11.5
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,14.5
Chord {F-sharp in octave 3 | C in octave 4} Quarter,F#3-tritone,1.0,18.0
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,19.0
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,20.5
Chord {F in octave 3 | B in octave 3} Eighth,B3-tritone,0.5,21.0
Chord {F in octave 3 | B in octave 3} Quarter,B3-tritone,1.0,22.5
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,23.5
Chord {F-sharp in octave 3 | C in octave 4} Quarter,F#3-tritone,1.0,30.0
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,31.0
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,32.5
Chord {F in octave 3 | B in octave 3} Eighth,B3-tritone,0.5,33.0
Chord {F in octave 3 | B in octave 3} Quarter,B3-tritone,1.0,34.5
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,35.5
Chord {F-sharp in octave 3 | C in octave 4} Eighth,F#3-tritone,0.5,37.0
Chord {F in octave 3 | B in octave 3} Eighth,B3-tritone,0.5,38.5
Chord {E in octave 3 | B-flat in octave 3} Eighth,E3-tritone,0.5,40.0
Chord {E-flat in octave 3 | A in octave 3} Quarter,A3-tritone,1.0,41.5
Chord {C-sharp in octave 4 | E in octave 3 | G in octave 3} Eighth,C#4-diminished triad,0.5,53.5
Chord {F in octave 3 | G-sharp in octave 3 | D in octave 4} Dotted Eighth,G#3-diminished triad,0.75,54.0
Chord {G-sharp in octave 3 | F in octave 3 | D in octave 4} Dotted Eighth,G#3-diminished triad,0.75,55.5
Chord {G-sharp in octave 3 | F in octave 3 | D in octave 4} Dotted Eighth,G#3-diminished triad,0.75,57.0
Chord {G-sharp in octave 3 | F in octave 3 | D in octave 4} Dotted Eighth,G#3-diminished triad,0.75,58.5
Chord {G in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Dotted Eighth,C#4-incomplete dominant-seventh chord,0.75,60.0
Chord {E-flat in octave 3 | G in octave 3 | C-sharp in octave 4} Dotted Eighth,C#4-incomplete dominant-seventh chord,0.75,61.5
Chord {C-sharp in octave 4 | G in octave 3 | E-flat in octave 3} Dotted Eighth,C#4-incomplete dominant-seventh chord,0.75,63.0
Chord {E-flat in octave 3 | G in octave 3 | C-sharp in octave 4} Dotted Eighth,C#4-incomplete dominant-seventh chord,0.75,64.5
Chord {G in octave 3 | E-flat in octave 3 | C in octave 4} Dotted Eighth,C4-minor triad,0.75,66.0
Chord {G in octave 3 | E-flat in octave 3 | C in octave 4} Dotted Eighth,C4-minor triad,0.75,67.5
