290.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),C3-interval class 4,1/3,20.0
Chord {C in octave 3 | E-flat in octave 3} 16th,C3-interval class 3,0.25,21.0
Chord {E-flat in octave 3 | G-sharp in octave 3 | F in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,64/3
Chord {C in octave 3 | E-flat in octave 3} 16th,C3-interval class 3,0.25,21.75
Chord {E-flat in octave 3 | G-sharp in octave 3 | F in octave 3} Eighth Triplet (1/3 QL),E-3-incomplete minor-seventh chord,1/3,22.0
Chord {G-sharp in octave 3 | E-flat in octave 3} Quarter,E-3-interval class 5,1.0,22.75
Chord {C in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),C3-interval class 4,1/3,24.0
Chord {E-flat in octave 3 | C in octave 3} 16th,C3-interval class 3,0.25,73/3
Chord {C in octave 3 | G-sharp in octave 2} 16th,C3-interval class 4,0.25,24.75
Chord {C in octave 3 | E-flat in octave 3} 16th,C3-interval class 3,0.25,25.0
Chord {G-sharp in octave 3 | E-flat in octave 3 | F in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,76/3
Chord {G-sharp in octave 3 | F in octave 3 | E-flat in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,26.0
Chord {G-sharp in octave 3 | E-flat in octave 3 | F in octave 3} Quarter,E-3-incomplete minor-seventh chord,1.0,26.75
Chord {G-sharp in octave 3 | F in octave 3} 16th,G#3-interval class 3,0.25,85/3
Chord {G-sharp in octave 3 | F in octave 3} 16th,G#3-interval class 3,0.25,29.0
Chord {B in octave 3 | G-sharp in octave 3} 16th,G#3-interval class 3,0.25,88/3
Chord {B in octave 3 | G-sharp in octave 3} 16th,G#3-interval class 3,0.25,30.0
Chord {C in octave 3 | E-flat in octave 3} 16th,C3-interval class 3,0.25,97/3
Chord {F in octave 3 | G-sharp in octave 3} 16th,G#3-interval class 3,0.25,100/3
Chord {G-sharp in octave 3 | F in octave 3} 16th,G#3-interval class 3,0.25,34.0
Chord {C in octave 3 | E-flat in octave 3} Eighth Triplet (1/3 QL),C3-interval class 3,1/3,34.5
Chord {B-flat in octave 3 | C-sharp in octave 4} 16th,C#4-interval class 3,0.25,36.5
Chord {C-sharp in octave 4 | B-flat in octave 3} Quarter,C#4-interval class 3,1.0,38.75
Chord {C in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),C3-interval class 4,1/3,44.0
Chord {G-sharp in octave 3 | F in octave 3 | E-flat in octave 3} Eighth Triplet (1/3 QL),E-3-incomplete minor-seventh chord,1/3,44.5
Chord {C in octave 3 | E-flat in octave 3} 16th,C3-interval class 3,0.25,45.0
Chord {E-flat in octave 3 | G-sharp in octave 3 | F in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,136/3
Chord {C in octave 3 | E-flat in octave 3} 16th,C3-interval class 3,0.25,45.75
Chord {E-flat in octave 3 | G-sharp in octave 3 | F in octave 3} Eighth Triplet (1/3 QL),E-3-incomplete minor-seventh chord,1/3,46.0
Chord {G-sharp in octave 3 | E-flat in octave 3} Quarter,E-3-interval class 5,1.0,46.75
Chord {C in octave 3 | G-sharp in octave 2} Eighth Triplet (1/3 QL),C3-interval class 4,1/3,48.0
Chord {G-sharp in octave 3 | E-flat in octave 3 | F in octave 3} Eighth Triplet (1/3 QL),E-3-incomplete minor-seventh chord,1/3,48.5
Chord {C in octave 3 | E-flat in octave 3} 16th,C3-interval class 3,0.25,49.0
Chord {G-sharp in octave 3 | E-flat in octave 3 | F in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,148/3
Chord {G-sharp in octave 3 | F in octave 3 | E-flat in octave 3} 16th,E-3-incomplete minor-seventh chord,0.25,50.0
