583.0
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | G in octave 3} Imperfect Maxima tied to Double Dotted Quarter (33 3/4 total QL),C4-interval class 5,33.75,6.25
Chord {G in octave 4 | G in octave 3} 16th,G4-unison,0.25,196/3
Chord {C in octave 4 | C in octave 3} Whole tied to Dotted Quarter (5 1/2 total QL),C4-unison,5.5,197/3
Chord {A in octave 4 | A in octave 3} Quarter Triplet (2/3 QL),A4-unison,2/3,71.25
Chord {A in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),A4-unison,1/3,72.0
Chord {A in octave 4 | A in octave 3} Eighth,A4-unison,0.5,72.5
Chord {F in octave 3 | F in octave 4} Eighth Triplet (1/3 QL),F3-unison,1/3,73.0
Chord {F in octave 4 | F in octave 3} Eighth Triplet (1/3 QL),F4-unison,1/3,220/3
Chord {B in octave 3 | B in octave 2} Whole tied to Dotted Quarter (5 1/2 total QL),B3-unison,5.5,73.75
Chord {G in octave 2 | G in octave 3} Dotted Eighth,G2-unison,0.75,79.25
Chord {B in octave 3 | B in octave 2 | F in octave 3 | F in octave 2} Dotted Eighth,B3-tritone,0.75,80.0
Chord {C in octave 3 | C in octave 4 | E in octave 3 | E in octave 2} Double Dotted Whole,C3-interval class 4,7.0,80.75
Chord {E-flat in octave 3 | F-sharp in octave 2} Zero,F#2-interval class 3,0.0,87.75
Chord {F-sharp in octave 2 | E-flat in octave 3} Zero,F#2-interval class 3,0.0,92.5
Chord {B in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),B4-interval class 3,1/3,97.0
Chord {F in octave 4 | A in octave 3} Whole tied to Quarter (5 total QL),F4-interval class 4,5.0,293/3
Chord {B in octave 4 | D in octave 4} Eighth,B4-interval class 3,0.5,104.0
Chord {B in octave 4 | D in octave 4} Eighth,B4-interval class 3,0.5,104.5
Chord {B in octave 3 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,105.0
Chord {G in octave 4 | F in octave 3} Eighth,G4-interval class 2,0.5,316/3
Chord {E-flat in octave 3 | F-sharp in octave 2} Zero,F#2-interval class 3,0.0,108.5
Chord {A in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,112.0
Chord {A in octave 4 | C in octave 4} Eighth,A4-interval class 3,0.5,337/3
Chord {E-flat in octave 3 | F-sharp in octave 2} Zero,F#2-interval class 3,0.0,116.5
Chord {F in octave 3 | B in octave 3 | D in octave 4} Dotted Eighth,B3-diminished triad,0.75,120.0
Chord {E-flat in octave 3 | F-sharp in octave 2} Zero,F#2-interval class 3,0.0,127.75
Chord {B in octave 3 | D in octave 2 | G in octave 3 | E in octave 4} Whole,E4-minor seventh chord,4.0,152.0
Chord {F in octave 4 | F in octave 5 | F in octave 2 | D in octave 2 | F in octave 5} 16th,D2-interval class 3,0.25,156.0
Chord {G in octave 5 | G in octave 4 | G in octave 2 | G in octave 5 | D in octave 2} 16th,G5-interval class 5,0.25,156.5
Chord {A in octave 4 | A in octave 5 | A in octave 2 | A in octave 5 | D in octave 2} 16th,D2-interval class 5,0.25,156.75
Chord {G in octave 5 | G in octave 4 | G in octave 2 | G in octave 5 | D in octave 2} 16th,G5-interval class 5,0.25,157.25
Chord {F in octave 5 | F in octave 4 | F in octave 2 | F in octave 5} 16th,F5-unison,0.25,157.5
Chord {A in octave 4 | A in octave 5 | A in octave 2 | A in octave 5} 16th,A4-unison,0.25,157.75
Chord {G in octave 4 | G in octave 5 | G in octave 2 | G in octave 5 | D in octave 2} 16th,G4-interval class 5,0.25,158.0
Chord {G in octave 4 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),G4-unison,1.25,158.5
Chord {E in octave 4 | D in octave 4 | G in octave 4 | G in octave 3} 16th,E4-incomplete minor-seventh chord,0.25,159.75
Chord {G in octave 4 | D in octave 4 | E in octave 4 | G in octave 3} 16th,E4-incomplete minor-seventh chord,0.25,168.0
Chord {G in octave 4 | D in octave 4 | G in octave 3 | E in octave 4} 16th,E4-incomplete minor-seventh chord,0.25,168.25
Chord {F-sharp in octave 2 | E in octave 3 | E-flat in octave 3 | C-sharp in octave 3} Zero,F#2-minor tetramirror,0.0,168.5
Chord {D in octave 6 | D in octave 5} 16th,D6-unison,0.25,176.0
Chord {G in octave 5 | G in octave 4} 16th,G5-unison,0.25,176.5
Chord {D in octave 6 | D in octave 5} 16th,D6-unison,0.25,177.0
Chord {F-sharp in octave 2 | E-flat in octave 3} Zero,F#2-interval class 3,0.0,177.25
Chord {G in octave 5 | G in octave 4} 16th,G5-unison,0.25,177.5
Chord {E-flat in octave 3 | F-sharp in octave 2} Zero,F#2-interval class 3,0.0,177.75
Chord {D in octave 6 | D in octave 5} 16th,D6-unison,0.25,178.0
