574.0
4/4
FullName,CommonName,Len,Offset
Chord {F-sharp in octave 3 | B-flat in octave 3} Half,B-3-interval class 4,2.0,21.5
Chord {F in octave 3 | C in octave 4} Half,F3-interval class 5,2.0,36.0
Chord {F in octave 3 | G in octave 3 | B-flat in octave 3} Eighth,G3-incomplete minor-seventh chord,0.5,38.0
Chord {G-sharp in octave 3 | C in octave 4 | C-sharp in octave 4 | F in octave 4} Quarter,F4-major seventh chord,1.0,41.0
Chord {G in octave 3 | C in octave 4 | F in octave 4} Quarter,F4-quartal trichord,1.0,42.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | C in octave 4} Eighth,B-3-incomplete half-diminished seventh chord,0.5,43.0
Chord {F in octave 3 | A in octave 3 | B-flat in octave 3 | D in octave 4} Half tied to Eighth (2 1/2 total QL),B-3-major seventh chord,2.5,43.5
Chord {E in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,E3-incomplete half-diminished seventh chord,1.0,46.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | C in octave 4} Quarter,B-3-incomplete half-diminished seventh chord,1.0,47.0
Chord {G-sharp in octave 3 | C in octave 4 | C-sharp in octave 4 | F in octave 4} Quarter,F4-major seventh chord,1.0,49.0
Chord {G in octave 3 | C in octave 4 | F in octave 4} Quarter,F4-quartal trichord,1.0,50.0
Chord {D in octave 4 | C in octave 4 | F-sharp in octave 3 | B-flat in octave 3} Eighth,B-3-augmented seventh chord,0.5,51.0
Chord {E-flat in octave 3 | G in octave 3 | B-flat in octave 3 | C in octave 4} Dotted Quarter,C4-minor seventh chord,1.5,51.5
Chord {D in octave 3 | G-sharp in octave 3 | C in octave 4} Quarter,C4-incomplete half-diminished seventh chord,1.0,53.0
Chord {C in octave 4 | G in octave 3 | C-sharp in octave 3} Quarter,C4-tritone-fourth,1.0,54.0
Chord {B-flat in octave 3 | F-sharp in octave 3 | C in octave 3} Quarter,B-3-incomplete half-diminished seventh chord,1.0,55.0
Chord {G-sharp in octave 3 | C in octave 4 | C-sharp in octave 4 | F in octave 4} Quarter,F4-major seventh chord,1.0,57.0
Chord {G in octave 3 | C in octave 4 | F in octave 4} Quarter,F4-quartal trichord,1.0,58.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | C in octave 4} Eighth,B-3-incomplete half-diminished seventh chord,0.5,59.0
Chord {F in octave 3 | A in octave 3 | B-flat in octave 3 | D in octave 4} Half tied to Eighth (2 1/2 total QL),B-3-major seventh chord,2.5,59.5
Chord {E in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,E3-incomplete half-diminished seventh chord,1.0,62.0
Chord {C in octave 4 | F-sharp in octave 3 | B-flat in octave 3} Quarter,B-3-incomplete half-diminished seventh chord,1.0,63.0
Chord {F in octave 3 | B-flat in octave 3 | C in octave 4} Quarter,B-3-quartal trichord,1.0,64.0
Chord {E in octave 3 | G-sharp in octave 3 | B-flat in octave 3 | C in octave 4} Quarter,C4-augmented seventh chord,1.0,65.0
Chord {E-flat in octave 3 | F in octave 3 | B-flat in octave 3 | C in octave 4} Quarter,C4-quartal tetramirror,1.0,66.0
Chord {D in octave 3 | G-sharp in octave 3 | C in octave 4} Quarter,C4-incomplete half-diminished seventh chord,1.0,67.0
Chord {C-sharp in octave 3 | G in octave 3 | C in octave 4} Half,C#3-tritone-fourth,2.0,68.0
Chord {C in octave 3 | F-sharp in octave 3 | B-flat in octave 3} Quarter,B-3-incomplete half-diminished seventh chord,1.0,70.0
Chord {F in octave 3 | F in octave 4 | C in octave 4} Quarter,F3-interval class 5,1.0,71.0
Chord {G-sharp in octave 3 | C in octave 4 | C-sharp in octave 4 | F in octave 4} Quarter,F4-major seventh chord,1.0,73.0
Chord {G in octave 3 | C in octave 4 | F in octave 4} Quarter,F4-quartal trichord,1.0,74.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | C in octave 4} Eighth,B-3-incomplete half-diminished seventh chord,0.5,75.0
Chord {F in octave 3 | A in octave 3 | B-flat in octave 3 | D in octave 4} Half tied to Eighth (2 1/2 total QL),B-3-major seventh chord,2.5,75.5
Chord {E in octave 3 | B-flat in octave 3 | D in octave 4} Quarter,E3-incomplete half-diminished seventh chord,1.0,78.0
Chord {F-sharp in octave 3 | B-flat in octave 3 | C in octave 4} Quarter,B-3-incomplete half-diminished seventh chord,1.0,79.0
Chord {G-sharp in octave 3 | C in octave 4 | C-sharp in octave 4 | F in octave 4} Quarter,F4-major seventh chord,1.0,81.0
Chord {G in octave 3 | C in octave 4 | F in octave 4} Quarter,F4-quartal trichord,1.0,82.0
Chord {D in octave 4 | C in octave 4 | F-sharp in octave 3 | B-flat in octave 3} Eighth,B-3-augmented seventh chord,0.5,83.0
Chord {E-flat in octave 3 | G in octave 3 | B-flat in octave 3 | C in octave 4} Dotted Quarter,C4-minor seventh chord,1.5,83.5
