299.5
3/4
FullName,CommonName,Len,Offset
Chord {A in octave 3 | F in octave 3} 16th,F3-interval class 4,0.25,2.25
Chord {E in octave 4 | G in octave 3} Zero,E4-interval class 3,0.0,41/3
Chord {B-flat in octave 3 | E in octave 3 | G in octave 3} 16th,E3-diminished triad,0.25,41/3
Chord {B-flat in octave 3 | F in octave 4 | F in octave 3 | D in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),G3-minor seventh chord,1/3,14.0
Chord {G in octave 4 | D in octave 4 | E in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),E4-quartal tetramirror,1/3,15.0
Chord {D in octave 4 | B-flat in octave 3 | G in octave 3} Quarter Triplet (2/3 QL),G3-minor triad,2/3,16.0
Chord {C in octave 4 | E in octave 4 | A in octave 3} Zero,A3-minor triad,0.0,35.0
Chord {B-flat in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),G3-interval class 3,1/3,38.0
Chord {D in octave 1 | F-sharp in octave 3} Eighth Triplet (1/3 QL),D1-interval class 4,1/3,39.0
Chord {D in octave 4 | C in octave 4} Eighth,D4-interval class 2,0.5,122/3
Chord {G-sharp in octave 4 | C-sharp in octave 3} Quarter Triplet (2/3 QL),C#3-interval class 5,2/3,43.5
Chord {B-flat in octave 3 | G in octave 4 | D in octave 4 | C in octave 3 | F in octave 4} Zero,G4-major pentatonic,0.0,45.0
Chord {G in octave 3 | F in octave 4} Zero,G3-interval class 2,0.0,45.0
Chord {C in octave 4 | C-sharp in octave 4} Zero,C4-interval class 1,0.0,46.0
Chord {D in octave 4 | E in octave 2} 16th,E2-interval class 2,0.25,47.75
Chord {A in octave 3 | C in octave 4} Eighth,A3-interval class 3,0.5,48.0
Chord {D in octave 3 | B-flat in octave 3} Dotted Eighth,B-3-interval class 4,0.75,50.0
Chord {G-sharp in octave 3 | F in octave 4 | C-sharp in octave 3} 16th,F4-major triad,0.25,50.75
