520.0
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 5 | A in octave 3} 16th,A5-unison,0.25,10/3
Chord {C-sharp in octave 4 | F-sharp in octave 4} Quarter Triplet (2/3 QL),F#4-interval class 5,2/3,11.5
Chord {C in octave 6 | C in octave 5} Eighth,C6-unison,0.5,74/3
Chord {E-flat in octave 5 | E-flat in octave 6} Quarter Triplet (2/3 QL),E-5-unison,2/3,26.5
Chord {C in octave 5 | A in octave 4} Quarter Triplet (2/3 QL),A4-interval class 3,2/3,100/3
Chord {A in octave 5 | E in octave 6} Eighth,A5-interval class 5,0.5,109/3
Chord {C-sharp in octave 6 | A in octave 4} Zero,A4-interval class 4,0.0,37.0
Chord {E in octave 5 | C-sharp in octave 5} Dotted Eighth,C#5-interval class 3,0.75,118/3
Chord {B in octave 4 | E-flat in octave 4 | F-sharp in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-major-diminished tetrachord,2/3,48.25
Chord {C in octave 5 | E in octave 4 | C-sharp in octave 4 | G in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),C5-flat-ninth pentachord,1/3,66.25
Chord {D in octave 5 | E-flat in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D5-tritone-fourth,1/3,67.25
Chord {B-flat in octave 4 | E-flat in octave 5} Eighth,E-5-interval class 5,0.5,68.0
Chord {C-sharp in octave 6 | A in octave 5 | C-sharp in octave 5 | G in octave 6} 16th,A5-incomplete dominant-seventh chord,0.25,76.0
Chord {E in octave 7 | E in octave 5} Dotted Eighth,E7-unison,0.75,77.0
Chord {C-sharp in octave 7 | C-sharp in octave 5} 16th,C#7-unison,0.25,78.0
Chord {G-sharp in octave 4 | E-flat in octave 4} Half tied to 16th (2 1/4 total QL),E-4-interval class 5,2.25,111.25
Chord {C-sharp in octave 5 | B-flat in octave 3} Half Triplet (1 1/3 QL),C#5-interval class 3,4/3,114.5
Chord {E-flat in octave 4 | F-sharp in octave 1} Eighth Triplet (1/3 QL),F#1-interval class 3,1/3,352/3
Chord {E in octave 3 | F-sharp in octave 1 | E-flat in octave 4 | B-flat in octave 3 | F-sharp in octave 2} Eighth Triplet (1/3 QL),E3-all-interval tetrachord,1/3,355/3
Chord {F-sharp in octave 1 | F-sharp in octave 2 | E in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),E3-quartal trichord,1/3,120.75
Chord {E-flat in octave 4 | E in octave 3} Eighth,E-4-interval class 1,0.5,121.75
Chord {F-sharp in octave 1 | F-sharp in octave 2 | E in octave 3} Eighth,F#1-interval class 2,0.5,122.75
Chord {E-flat in octave 4 | F-sharp in octave 2 | E in octave 3 | G-sharp in octave 3} Eighth Triplet (1/3 QL),E-4-phrygian tetrachord,1/3,124.75
Chord {E-flat in octave 4 | F-sharp in octave 2} Half Tuplet of 6/5ths (1 2/3 QL),F#2-interval class 3,5/3,125.75
Chord {D in octave 6 | D in octave 5} Eighth,D6-unison,0.5,129.25
Chord {D in octave 6 | D in octave 5} Eighth,D6-unison,0.5,129.75
Chord {D in octave 6 | D in octave 5} Eighth,D6-unison,0.5,392/3
Chord {B in octave 4 | D in octave 3} Half Triplet (1 1/3 QL),B4-interval class 3,4/3,407/3
Chord {E-flat in octave 4 | B-flat in octave 3} Quarter,E-4-interval class 5,1.0,143.0
Chord {F-sharp in octave 4 | A in octave 3 | E in octave 2 | E in octave 1} Quarter,F#4-incomplete minor-seventh chord,1.0,164.0
Chord {D in octave 4 | D in octave 6} Dotted Half,D4-unison,3.0,195.0
Chord {E in octave 4 | G in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),E4-minor triad,1/3,199.25
Chord {E in octave 2 | E in octave 1} Half tied to Eighth (2 1/2 total QL),E2-unison,2.5,200.25
Chord {E in octave 5 | C-sharp in octave 3} 16th,C#3-interval class 3,0.25,716/3
Chord {E-flat in octave 4 | B-flat in octave 3} Eighth,E-4-interval class 5,0.5,730/3
Chord {E-flat in octave 4 | B in octave 3 | F-sharp in octave 3} Eighth,E-4-major triad,0.5,244.75
Chord {E-flat in octave 4 | B in octave 3} 16th,E-4-interval class 4,0.25,737/3
Chord {C-sharp in octave 3 | C-sharp in octave 2} Eighth,C#3-unison,0.5,246.5
Chord {E-flat in octave 4 | B-flat in octave 3} Eighth,E-4-interval class 5,0.5,250.25
Chord {E-flat in octave 4 | B-flat in octave 3} Eighth,E-4-interval class 5,0.5,251.25
Chord {D in octave 6 | D in octave 5} Eighth Triplet (1/3 QL),D6-unison,1/3,761/3
Chord {D in octave 6 | D in octave 5} 16th,D6-unison,0.25,254.25
Chord {D in octave 6 | D in octave 5} 16th,D6-unison,0.25,254.75
Chord {A in octave 5 | C in octave 5} 16th,A5-interval class 3,0.25,259.0
Chord {G in octave 4 | B-flat in octave 4} Dotted Eighth,G4-interval class 3,0.75,273.0
Chord {D in octave 6 | C in octave 4 | B in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),B3-phrygian trichord,5/3,284.0
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,286.0
Chord {G-sharp in octave 5 | C in octave 4} Zero,C4-interval class 4,0.0,286.5
Chord {B in octave 5 | E in octave 4} Eighth,E4-interval class 5,0.5,287.0
Chord {C in octave 4 | E in octave 4 | B in octave 3 | G in octave 3} 16th,C4-major seventh chord,0.25,289.5
Chord {E in octave 4 | C in octave 4 | B in octave 3} Zero,C4-incomplete major-seventh chord,0.0,290.5
Chord {E in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,294.5
Chord {D in octave 4 | A in octave 3} Quarter Triplet (2/3 QL),D4-interval class 5,2/3,887/3
Chord {G in octave 4 | B-flat in octave 3} Eighth,G4-interval class 3,0.5,298.0
Chord {B in octave 4 | G in octave 4 | D in octave 4} 16th,G4-major triad,0.25,299.5
Chord {D in octave 5 | E-flat in octave 4 | G in octave 4} Dotted Eighth,E-4-incomplete major-seventh chord,0.75,300.0
Chord {G in octave 4 | E-flat in octave 4 | E-flat in octave 7} 16th,E-4-interval class 4,0.25,307.0
