397.6666666666667
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | A in octave 4 | C in octave 5 | E in octave 5} Imperfect Maxima tied to Quadruple Dotted Whole (39 3/4 QL) (39 3/4 total QL),A4-minor seventh chord,39.75,4.0
Chord {G in octave 5 | A in octave 5} Imperfect Longa tied to Breve tied to Triple Dotted Half (27 3/4 QL) (27 3/4 total QL),A5-interval class 2,27.75,16.0
Chord {E in octave 5 | G in octave 4 | A in octave 4 | C in octave 5} Imperfect Maxima tied to Dotted Eighth (32 3/4 total QL),A4-minor seventh chord,32.75,11.75
Chord {A in octave 2 | A in octave 3} Duplex-Maxima Tuplet of 48/37ths (49 1/3 QL),A2-unison,148/3,52.0
Chord {E in octave 5 | C in octave 5 | A in octave 4} Half tied to 16th (2 1/4 total QL),A4-minor triad,2.25,102.0
Chord {C in octave 5 | A in octave 4} Dotted Eighth,A4-interval class 3,0.75,104.5
Chord {B in octave 4 | G in octave 4 | D in octave 5} Eighth Triplet (1/3 QL),G4-major triad,1/3,317/3
Chord {B in octave 4 | G in octave 4 | D in octave 5} Half,G4-major triad,2.0,106.0
Chord {A in octave 4 | E in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),A4-minor triad,2/3,108.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} 16th,G4-major triad,0.25,109.5
Chord {A in octave 4 | C in octave 5 | E in octave 5} Half tied to 16th (2 1/4 total QL),A4-minor triad,2.25,110.0
Chord {A in octave 4 | C in octave 5 | F in octave 4} Dotted Eighth,F4-major triad,0.75,338/3
Chord {B in octave 4 | G in octave 4 | D in octave 5} 16th,G4-major triad,0.25,341/3
Chord {G in octave 3 | F in octave 3} Zero,G3-interval class 2,0.0,116.0
Chord {E in octave 5 | C in octave 5 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),A4-minor triad,1.25,118.0
Chord {A in octave 4 | E in octave 5 | C in octave 5} 16th,A4-minor triad,0.25,119.5
Chord {F in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,120.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} 16th,G4-major triad,0.25,121.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} Double Dotted Quarter,G4-major triad,1.75,122.0
Chord {D in octave 5 | B in octave 4} 16th,B4-interval class 3,0.25,124.0
Chord {A in octave 4 | E in octave 5 | C in octave 5} Eighth,A4-minor triad,0.5,124.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} 16th,G4-major triad,0.25,125.5
Chord {A in octave 4 | E in octave 5 | C in octave 5} Dotted Eighth,A4-minor triad,0.75,126.0
Chord {B in octave 4 | G in octave 4 | D in octave 5} 16th,G4-major triad,0.25,127.0
Chord {A in octave 4 | C in octave 5 | E in octave 5} Dotted Eighth,A4-minor triad,0.75,127.5
Chord {C in octave 5 | A in octave 4} Dotted Eighth,A4-interval class 3,0.75,128.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} 16th,G4-major triad,0.25,129.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} Half,G4-major triad,2.0,130.0
Chord {A in octave 4 | E in octave 5 | C in octave 5} Eighth,A4-minor triad,0.5,132.5
Chord {G in octave 4 | B in octave 4 | D in octave 5} 16th,G4-major triad,0.25,133.5
Chord {A in octave 4 | C in octave 5 | E in octave 5} Dotted Eighth,A4-minor triad,0.75,134.0
Chord {G in octave 4 | B in octave 4 | D in octave 5} 16th,G4-major triad,0.25,135.0
Chord {A in octave 4 | E in octave 5 | C in octave 5} Quarter Triplet (2/3 QL),A4-minor triad,2/3,135.5
