391.6666666666667
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,0.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,0.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,1.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,1.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,2.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,2.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,3.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,3.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,4.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,4.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,5.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,5.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,6.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,6.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,7.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,7.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,8.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,8.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,9.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,9.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,10.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,10.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,11.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,11.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,12.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,12.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,13.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,13.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,14.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,14.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,15.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,15.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,16.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,16.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,17.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,17.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,18.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,18.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,19.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,19.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,20.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,20.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,21.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,21.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,22.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,22.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,23.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,23.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,24.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,24.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,25.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,25.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,26.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,26.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,27.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,27.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,28.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,28.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,29.0
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,29.5
Chord {A in octave 4 | F-sharp in octave 2 | C in octave 2} Eighth,F#2-diminished triad,0.5,30.0
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,30.5
Chord {A in octave 4 | F-sharp in octave 2} Eighth,F#2-interval class 3,0.5,31.0
