588.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 6 | B-flat in octave 5 | G in octave 5 | F in octave 6} Eighth,G5-minor seventh chord,0.5,4.0
Chord {A in octave 5 | E in octave 6 | C in octave 6 | G in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),A5-minor seventh chord,5/3,17/3
Chord {F in octave 6 | B-flat in octave 5 | D in octave 6 | G in octave 5} Quarter Triplet (2/3 QL),G5-minor seventh chord,2/3,8.0
Chord {E in octave 6 | C in octave 6 | A in octave 5 | G in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),A5-minor seventh chord,5/3,29/3
Chord {B-flat in octave 5 | F in octave 6 | G in octave 5 | D in octave 6} Quarter Triplet (2/3 QL),G5-minor seventh chord,2/3,12.0
Chord {E in octave 6 | C in octave 6 | G in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),C6-major triad,5/3,41/3
Chord {B-flat in octave 5 | A in octave 5 | F in octave 6 | D in octave 6} Eighth,B-5-major seventh chord,0.5,16.0
Chord {E in octave 6 | C in octave 6 | A in octave 5 | G in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),A5-minor seventh chord,5/3,53/3
Chord {F in octave 5 | D in octave 5 | B-flat in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-minor seventh chord,2/3,20.0
Chord {A in octave 4 | E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,65/3
Chord {F in octave 5 | B-flat in octave 4 | D in octave 5 | G in octave 4} Eighth,G4-minor seventh chord,0.5,24.0
Chord {E in octave 5 | C in octave 5 | A in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,77/3
Chord {B-flat in octave 4 | F in octave 5 | G in octave 4 | D in octave 5} Quarter Triplet (2/3 QL),G4-minor seventh chord,2/3,28.0
Chord {E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C5-major triad,5/3,89/3
Chord {B-flat in octave 4 | A in octave 4 | F in octave 5 | D in octave 5} Quarter Triplet (2/3 QL),B-4-major seventh chord,2/3,32.0
Chord {E in octave 5 | A in octave 4 | G in octave 4 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,101/3
Chord {F in octave 5 | G in octave 4 | B-flat in octave 4 | D in octave 5} Eighth,G4-minor seventh chord,0.5,36.0
Chord {A in octave 4 | E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,113/3
Chord {F in octave 5 | B-flat in octave 4 | D in octave 5 | G in octave 4} Quarter Triplet (2/3 QL),G4-minor seventh chord,2/3,40.0
Chord {E in octave 5 | C in octave 5 | A in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,125/3
Chord {B-flat in octave 4 | F in octave 5 | G in octave 4 | D in octave 5} Eighth,G4-minor seventh chord,0.5,44.0
Chord {E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C5-major triad,5/3,137/3
Chord {B-flat in octave 4 | A in octave 4 | F in octave 5 | D in octave 5} Quarter Triplet (2/3 QL),B-4-major seventh chord,2/3,48.0
Chord {E in octave 5 | C in octave 5 | A in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,149/3
Chord {A in octave 4 | E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,161/3
Chord {F in octave 5 | B-flat in octave 4 | D in octave 5 | G in octave 4} Eighth,G4-minor seventh chord,0.5,56.0
Chord {E in octave 5 | C in octave 5 | A in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,173/3
Chord {B-flat in octave 4 | F in octave 5 | G in octave 4 | D in octave 5} Quarter Triplet (2/3 QL),G4-minor seventh chord,2/3,60.0
Chord {E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C5-major triad,5/3,185/3
Chord {F in octave 5 | D in octave 5 | B-flat in octave 4 | A in octave 4 | D in octave 8} Eighth,B-4-major seventh chord,0.5,64.0
Chord {F in octave 5 | D in octave 5 | B-flat in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-minor seventh chord,2/3,68.0
Chord {A in octave 4 | E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,209/3
Chord {F in octave 5 | B-flat in octave 4 | D in octave 5 | G in octave 4} Quarter Triplet (2/3 QL),G4-minor seventh chord,2/3,72.0
Chord {E in octave 5 | C in octave 5 | A in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,221/3
Chord {F in octave 5 | D in octave 5 | B-flat in octave 4 | G in octave 4 | D in octave 7} Quarter Triplet (2/3 QL),G4-minor seventh chord,2/3,76.0
Chord {G in octave 6 | B-flat in octave 6} 16th,G6-interval class 3,0.25,232/3
Chord {E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C5-major triad,5/3,233/3
Chord {A in octave 6 | F in octave 6} 16th,F6-interval class 4,0.25,238/3
Chord {F in octave 5 | D in octave 5 | B-flat in octave 4 | A in octave 4} Eighth,B-4-major seventh chord,0.5,80.0
Chord {A in octave 6 | C in octave 7} Quarter Triplet (2/3 QL),A6-interval class 3,2/3,81.0
Chord {D in octave 7 | B-flat in octave 6} Dotted Quarter,B-6-interval class 4,1.5,82.0
Chord {B-flat in octave 4 | G in octave 5 | D in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-minor triad,1/3,90.0
Chord {B-flat in octave 4 | G in octave 4 | G in octave 5 | D in octave 5} Eighth Triplet (1/3 QL),G4-minor triad,1/3,290/3
Chord {B-flat in octave 4 | D in octave 5 | G in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-minor triad,1/3,98.0
Chord {B-flat in octave 4 | D in octave 5 | G in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-minor triad,1/3,106.0
Chord {C in octave 5 | E-flat in octave 5 | G in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),C5-minor seventh chord,1/3,326/3
Chord {C in octave 5 | G in octave 5 | E-flat in octave 5 | B-flat in octave 4} Eighth Triplet (1/3 QL),C5-minor seventh chord,1/3,109.25
Chord {C in octave 5 | G in octave 5 | B-flat in octave 4 | E-flat in octave 5} Eighth Triplet (1/3 QL),C5-minor seventh chord,1/3,110.0
Chord {C in octave 5 | D in octave 5 | A in octave 4 | F-sharp in octave 5} Eighth Triplet (1/3 QL),D5-dominant seventh chord,1/3,338/3
Chord {C in octave 5 | F-sharp in octave 5 | D in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),D5-dominant seventh chord,1/3,113.25
Chord {C in octave 5 | A in octave 4 | D in octave 5 | F-sharp in octave 5} Eighth Triplet (1/3 QL),D5-dominant seventh chord,1/3,114.0
Chord {G in octave 5 | B-flat in octave 4 | D in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-minor triad,1/3,347/3
Chord {D in octave 5 | B-flat in octave 4 | G in octave 4 | F in octave 5} Eighth,G4-minor seventh chord,0.5,144.0
Chord {A in octave 4 | E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,437/3
Chord {D in octave 5 | B-flat in octave 4 | G in octave 4 | F in octave 5} Eighth,G4-minor seventh chord,0.5,148.0
Chord {A in octave 4 | E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,449/3
Chord {F in octave 5 | B-flat in octave 4 | D in octave 5 | G in octave 4} Eighth,G4-minor seventh chord,0.5,152.0
Chord {E in octave 5 | C in octave 5 | A in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,461/3
Chord {F in octave 5 | D in octave 5 | B-flat in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-minor seventh chord,2/3,156.0
Chord {E in octave 5 | C in octave 5 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C5-major triad,5/3,473/3
Chord {F in octave 5 | D in octave 5 | B-flat in octave 4 | A in octave 4} Eighth,B-4-major seventh chord,0.5,160.0
Chord {E in octave 5 | C in octave 5 | A in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-minor seventh chord,5/3,485/3
