604.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,11.0
Chord {G in octave 4 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),G4-half-diminished seventh chord,1/3,15.0
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),A4-minor seventh chord,7/3,16.0
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,19.0
Chord {C-sharp in octave 4 | F in octave 4 | B-flat in octave 3} Quarter,B-3-minor triad,1.0,20.0
Chord {G in octave 4 | F in octave 4 | C-sharp in octave 4 | B-flat in octave 4} Whole tied to Dotted Quarter (5 1/2 total QL),G4-half-diminished seventh chord,5.5,33.75
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Whole tied to Dotted Quarter (5 1/2 total QL),A4-minor seventh chord,5.5,41.75
Chord {F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D4-minor seventh chord,7/3,56.0
Chord {F in octave 4 | D in octave 4 | C in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),D4-minor seventh chord,1/3,59.0
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,63.0
Chord {F-sharp in octave 4 | B-flat in octave 4 | D in octave 4} Quarter,B-4-augmented triad,1.0,66.0
Chord {E in octave 4 | G in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E4-interval class 3,2.75,72.0
Chord {F in octave 4 | C in octave 4 | A in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),F4-major triad,7/3,80.0
Chord {F in octave 4 | C in octave 4 | A in octave 3} Eighth Triplet (1/3 QL),F4-major triad,1/3,83.0
Chord {F in octave 4 | G in octave 4 | C in octave 3 | B-flat in octave 3 | D in octave 4} Half,G4-major pentatonic,2.0,84.0
Chord {E in octave 4 | G in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E4-interval class 3,2.75,88.0
Chord {F in octave 4 | A in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),F4-interval class 4,2.75,120.0
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,127.0
Chord {C in octave 4 | E-flat in octave 4 | D in octave 3 | G in octave 3 | A in octave 3} Half,A3-Kumoi pentachord,2.0,128.0
Chord {F-sharp in octave 4 | B-flat in octave 4 | D in octave 4} Quarter,B-4-augmented triad,1.0,130.0
Chord {E in octave 4 | D in octave 4} Dotted Half,E4-interval class 2,3.0,136.0
Chord {F in octave 4 | C in octave 4 | A in octave 3} Whole tied to Dotted Quarter (5 1/2 total QL),F4-major triad,5.5,145.75
Chord {D in octave 4 | G-sharp in octave 3 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G#3-diminished triad,5/3,156.0
Chord {E-flat in octave 4 | G in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E-4-interval class 4,2.75,164.0
Chord {E-flat in octave 4 | C in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),C4-interval class 3,2.75,168.0
Chord {D in octave 4 | F in octave 4 | B-flat in octave 2 | G-sharp in octave 3 | B in octave 3} Half,G#3-flat-ninth pentachord,2.0,174.0
Chord {F in octave 4 | G in octave 4 | D in octave 4} Quarter,G4-incomplete dominant-seventh chord,1.0,182.0
Chord {F in octave 4 | B-flat in octave 3 | C-sharp in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G4-half-diminished seventh chord,5/3,184.0
Chord {E in octave 4 | C in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),C4-interval class 4,2.75,188.0
Chord {F in octave 4 | E-flat in octave 4 | C in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),C4-minor seventh chord,1/3,195.0
Chord {F in octave 4 | G-sharp in octave 4 | C-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Half,C#3-dominant-ninth,2.0,198.0
Chord {C-sharp in octave 4 | E in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),C#4-interval class 3,2.75,212.0
Chord {C in octave 4 | G in octave 3 | A in octave 3 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A3-minor seventh chord,5/3,252.0
Chord {C in octave 4 | E-flat in octave 4 | A in octave 3} Quarter,A3-diminished triad,1.0,256.0
Chord {F-sharp in octave 4 | B-flat in octave 4 | D in octave 3 | C in octave 4 | D in octave 4} Half,B-4-augmented seventh chord,2.0,258.0
Chord {E in octave 4 | D in octave 4 | B-flat in octave 3 | A in octave 4} Eighth Triplet (1/3 QL),B-3-minor-second quartal tetrachord,1/3,267.0
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),A4-minor seventh chord,7/3,272.0
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,275.0
Chord {C-sharp in octave 4 | F in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),F4-interval class 4,2.75,276.0
