520.0
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 2 | B in octave 3 | D in octave 3 | F in octave 3} Half,G#2-diminished seventh chord,2.0,14.0
Chord {F in octave 4 | G in octave 3 | D in octave 3 | B-flat in octave 3} 16th,G3-minor seventh chord,0.25,50/3
Chord {B-flat in octave 2 | F in octave 3 | D in octave 3 | D in octave 4} 16th,B-2-major triad,0.25,56/3
Chord {G in octave 3 | B-flat in octave 3 | E in octave 4 | C in octave 3} 16th,C3-dominant seventh chord,0.25,20.0
Chord {E in octave 3 | C in octave 3 | B-flat in octave 3 | G in octave 4} 16th,C3-dominant seventh chord,0.25,65/3
Chord {E in octave 3 | C in octave 3 | B-flat in octave 3 | G in octave 4} Quarter,C3-dominant seventh chord,1.0,68/3
Chord {A in octave 4 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,25.0
Chord {D in octave 4 | G in octave 4 | C in octave 4} Eighth,C4-quartal trichord,0.5,26.0
Chord {C in octave 4 | D in octave 4 | A in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,80/3
Chord {D in octave 4 | A in octave 4 | C in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,83/3
Chord {A in octave 4 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,29.0
Chord {D in octave 4 | G in octave 4 | C in octave 4} Eighth,C4-quartal trichord,0.5,30.0
Chord {C in octave 4 | D in octave 4 | A in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,92/3
Chord {C in octave 4 | D in octave 4 | A in octave 4 | C in octave 5} 16th,D4-incomplete dominant-seventh chord,0.25,95/3
Chord {F in octave 4 | A in octave 3 | D in octave 3 | B in octave 3} 16th,B3-half-diminished seventh chord,0.25,98/3
Chord {B in octave 3 | F in octave 4 | G in octave 3 | E-flat in octave 3} 16th,E-3-augmented seventh chord,0.25,35.0
Chord {F in octave 3 | G in octave 2 | D in octave 3} Dotted Eighth,G2-incomplete dominant-seventh chord,0.75,36.0
Chord {G in octave 2 | D in octave 3 | B-flat in octave 3 | F in octave 3} 16th,G2-minor seventh chord,0.25,37.0
Chord {B-flat in octave 3 | D in octave 3 | F in octave 3 | D in octave 4} 16th,B-3-major triad,0.25,113/3
Chord {G in octave 4 | B-flat in octave 4 | E in octave 4} Dotted Eighth,E4-diminished triad,0.75,38.0
Chord {B-flat in octave 3 | G in octave 4 | E in octave 4} Dotted Eighth,E4-diminished triad,0.75,39.0
Chord {D in octave 4 | C in octave 4 | A in octave 4 | F in octave 3} Dotted Half,D4-minor seventh chord,3.0,41.0
Chord {F in octave 3 | A in octave 4 | C in octave 4 | D in octave 4} Half,D4-minor seventh chord,2.0,44.0
Chord {G-sharp in octave 2 | B in octave 3 | D in octave 3 | F in octave 3} Half,G#2-diminished seventh chord,2.0,46.0
Chord {F in octave 4 | G in octave 3 | D in octave 3 | B-flat in octave 3} 16th,G3-minor seventh chord,0.25,146/3
Chord {B-flat in octave 2 | F in octave 3 | D in octave 3 | D in octave 4} 16th,B-2-major triad,0.25,152/3
Chord {G in octave 3 | B-flat in octave 3 | E in octave 4 | C in octave 3} 16th,C3-dominant seventh chord,0.25,52.0
Chord {E in octave 3 | C in octave 3 | B-flat in octave 3 | G in octave 4} 16th,C3-dominant seventh chord,0.25,161/3
Chord {E in octave 3 | C in octave 3 | B-flat in octave 3 | G in octave 4} Quarter,C3-dominant seventh chord,1.0,164/3
Chord {G in octave 4 | B-flat in octave 3 | E in octave 3 | C in octave 3} 16th,C3-dominant seventh chord,0.25,167/3
Chord {A in octave 4 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,57.0
Chord {D in octave 4 | G in octave 4 | C in octave 4} Eighth,C4-quartal trichord,0.5,58.0
Chord {C in octave 4 | D in octave 4 | A in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,176/3
Chord {D in octave 4 | A in octave 4 | C in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,179/3
Chord {A in octave 4 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,61.0
Chord {D in octave 4 | G in octave 4 | C in octave 4} Eighth,C4-quartal trichord,0.5,62.0
Chord {C in octave 4 | D in octave 4 | A in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,188/3
Chord {C in octave 4 | D in octave 4 | A in octave 4 | C in octave 5} 16th,D4-incomplete dominant-seventh chord,0.25,191/3
Chord {E-flat in octave 4 | B-flat in octave 4 | C in octave 4 | G in octave 3} 16th,C4-minor seventh chord,0.25,65.0
Chord {E-flat in octave 3 | B-flat in octave 3 | G in octave 3 | G in octave 4} 16th,E-3-major triad,0.25,200/3
Chord {F in octave 3 | C in octave 4 | A in octave 4 | E-flat in octave 4} Zero,F3-dominant seventh chord,0.0,68.0
Chord {A in octave 4 | C in octave 4 | E-flat in octave 4} Eighth,A4-diminished triad,0.5,68.0
Chord {E-flat in octave 5 | C in octave 5 | A in octave 5 | F in octave 4} 16th,F4-dominant seventh chord,0.25,206/3
Chord {A in octave 4 | C in octave 5 | E-flat in octave 5 | C in octave 4} Dotted Eighth,A4-diminished triad,0.75,69.0
Chord {A in octave 3 | E-flat in octave 4 | A in octave 4 | C in octave 5} Dotted Eighth,A3-diminished triad,0.75,70.0
Chord {A in octave 4 | C in octave 5 | E-flat in octave 5 | E-flat in octave 4 | F in octave 3} Eighth,F3-dominant seventh chord,0.5,71.0
Chord {E-flat in octave 5 | C in octave 5 | A in octave 5 | E-flat in octave 4 | F in octave 3} 16th,F3-dominant seventh chord,0.25,215/3
Chord {G in octave 4 | D in octave 4 | G in octave 3 | F in octave 4} 16th,G4-incomplete dominant-seventh chord,0.25,218/3
Chord {F in octave 3 | G in octave 3 | B-flat in octave 2 | D in octave 4} Half,G3-minor seventh chord,2.0,74.0
Chord {C-sharp in octave 4 | B-flat in octave 2 | G in octave 3 | F in octave 3} Triple Dotted Half (3 3/4 QL),G3-half-diminished seventh chord,3.75,76.0
Chord {D in octave 5 | A in octave 4 | D in octave 4 | C in octave 5} 16th,D5-incomplete dominant-seventh chord,0.25,242/3
Chord {C in octave 5 | D in octave 4 | D in octave 5 | A in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,82.0
Chord {C in octave 5 | D in octave 5 | D in octave 4 | A in octave 4} 16th,D5-incomplete dominant-seventh chord,0.25,254/3
Chord {C in octave 5 | A in octave 4 | D in octave 4 | D in octave 5} 16th,D4-incomplete dominant-seventh chord,0.25,86.0
Chord {A in octave 5 | C in octave 5 | D in octave 5 | A in octave 4} 16th,D5-incomplete dominant-seventh chord,0.25,260/3
Chord {C in octave 5 | D in octave 5 | A in octave 5 | A in octave 4} 16th,D5-incomplete dominant-seventh chord,0.25,263/3
Chord {E in octave 4 | C in octave 4 | G in octave 4} Zero,C4-major triad,0.0,272/3
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,275/3
Chord {F-sharp in octave 4 | A in octave 4 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),F#4-diminished triad,5/3,92.0
Chord {F-sharp in octave 4 | C in octave 4 | A in octave 4} Eighth,F#4-diminished triad,0.5,94.0
Chord {F-sharp in octave 4 | C in octave 4 | A in octave 3} 16th,F#4-diminished triad,0.25,284/3
Chord {F in octave 4 | B-flat in octave 3 | F in octave 3 | D in octave 4} 16th,B-3-major triad,0.25,290/3
Chord {D in octave 3 | F in octave 3 | G in octave 2 | B-flat in octave 3} Half,G2-minor seventh chord,2.0,98.0
Chord {E in octave 4 | C in octave 3 | B-flat in octave 3 | G in octave 3} Zero,C3-dominant seventh chord,0.0,100.0
Chord {E in octave 4 | G in octave 3 | B-flat in octave 3} Eighth,E4-diminished triad,0.5,100.0
Chord {B-flat in octave 4 | G in octave 4 | E in octave 5 | D in octave 4} 16th,E5-half-diminished seventh chord,0.25,302/3
Chord {E in octave 4 | G in octave 4 | B-flat in octave 4} Dotted Eighth,E4-diminished triad,0.75,101.0
Chord {E in octave 3 | B-flat in octave 3 | E in octave 4 | G in octave 4} Dotted Eighth,E3-diminished triad,0.75,102.0
Chord {E in octave 4 | G in octave 4 | B-flat in octave 4 | B-flat in octave 3 | C in octave 3} Eighth,C3-dominant seventh chord,0.5,103.0
Chord {B-flat in octave 4 | G in octave 4 | E in octave 5 | B-flat in octave 3 | C in octave 3} 16th,C3-dominant seventh chord,0.25,311/3
Chord {D in octave 4 | C in octave 4 | A in octave 4 | F in octave 3} Dotted Half,D4-minor seventh chord,3.0,105.0
Chord {F in octave 3 | A in octave 4 | C in octave 4 | D in octave 4} Half,D4-minor seventh chord,2.0,108.0
Chord {G-sharp in octave 2 | B in octave 3 | D in octave 3 | F in octave 3} Half,G#2-diminished seventh chord,2.0,110.0
Chord {F in octave 4 | G in octave 3 | D in octave 3 | B-flat in octave 3} 16th,G3-minor seventh chord,0.25,338/3
Chord {B-flat in octave 2 | F in octave 3 | D in octave 3 | D in octave 4} 16th,B-2-major triad,0.25,344/3
Chord {G in octave 3 | B-flat in octave 3 | E in octave 4 | C in octave 3} 16th,C3-dominant seventh chord,0.25,116.0
Chord {E in octave 3 | C in octave 3 | B-flat in octave 3 | G in octave 4} 16th,C3-dominant seventh chord,0.25,353/3
Chord {E in octave 3 | C in octave 3 | B-flat in octave 3 | G in octave 4} Quarter,C3-dominant seventh chord,1.0,356/3
Chord {A in octave 4 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,121.0
Chord {D in octave 4 | G in octave 4 | C in octave 4} Eighth,C4-quartal trichord,0.5,122.0
Chord {C in octave 4 | D in octave 4 | A in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,368/3
Chord {D in octave 4 | A in octave 4 | C in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,371/3
Chord {A in octave 4 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,125.0
Chord {D in octave 4 | G in octave 4 | C in octave 4} Eighth,C4-quartal trichord,0.5,126.0
Chord {C in octave 4 | D in octave 4 | A in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,380/3
Chord {C in octave 4 | D in octave 4 | A in octave 4 | C in octave 5} 16th,D4-incomplete dominant-seventh chord,0.25,383/3
Chord {G in octave 3 | B-flat in octave 3} Eighth,G3-interval class 3,0.5,130.0
Chord {B-flat in octave 3 | G in octave 3 | E-flat in octave 4} 16th,E-4-major triad,0.25,392/3
Chord {G in octave 4 | B-flat in octave 3 | E-flat in octave 4} Eighth,E-4-major triad,0.5,131.0
Chord {B-flat in octave 3 | E-flat in octave 4 | G in octave 3} Zero,E-4-major triad,0.0,395/3
Chord {E-flat in octave 4 | F in octave 3 | C in octave 4} Dotted Eighth,F3-incomplete dominant-seventh chord,0.75,132.0
Chord {F in octave 3 | C in octave 4 | A in octave 4 | E-flat in octave 4} 16th,F3-dominant seventh chord,0.25,133.0
Chord {A in octave 4 | C in octave 4 | E-flat in octave 4 | C in octave 5} 16th,A4-diminished triad,0.25,401/3
Chord {A in octave 4 | C in octave 4 | E-flat in octave 4 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),A4-diminished triad,1.25,404/3
Chord {G in octave 3 | F in octave 3 | D in octave 4 | B-flat in octave 2} Dotted Half,G3-minor seventh chord,3.0,137.0
Chord {E-flat in octave 3 | G in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),C#4-dominant seventh chord,2.5,140.0
Chord {B-flat in octave 4 | C-sharp in octave 4 | G in octave 4 | B-flat in octave 3} 16th,C#4-diminished triad,0.25,428/3
Chord {B-flat in octave 3 | C-sharp in octave 4 | G in octave 4 | B-flat in octave 4} 16th,C#4-diminished triad,0.25,431/3
Chord {F in octave 5 | F in octave 4 | C in octave 4 | A in octave 4} 16th,F5-major triad,0.25,434/3
Chord {C-sharp in octave 4 | B-flat in octave 3 | G in octave 4 | E-flat in octave 3} Quarter,C#4-dominant seventh chord,1.0,147.0
Chord {A in octave 3 | C in octave 4 | F-sharp in octave 4 | D in octave 3} 16th,D3-dominant seventh chord,0.25,148.0
Chord {F-sharp in octave 3 | D in octave 3 | C in octave 4 | A in octave 4} 16th,D3-dominant seventh chord,0.25,449/3
Chord {F-sharp in octave 3 | D in octave 3 | C in octave 4 | A in octave 4} Quarter,D3-dominant seventh chord,1.0,452/3
Chord {A in octave 4 | C in octave 4 | F-sharp in octave 3 | D in octave 3} 16th,D3-dominant seventh chord,0.25,455/3
Chord {B-flat in octave 3 | D in octave 3 | F in octave 3} 16th,B-3-major triad,0.25,153.0
Chord {C in octave 4 | E in octave 3 | G in octave 3} 16th,C4-major triad,0.25,155.0
Chord {D in octave 4 | F in octave 3 | G in octave 3} 16th,G3-incomplete dominant-seventh chord,0.25,157.0
Chord {E in octave 4 | G in octave 3 | B-flat in octave 3} 16th,E4-diminished triad,0.25,159.0
Chord {A in octave 4 | D in octave 5 | F in octave 4 | C in octave 4} 16th,D5-minor seventh chord,0.25,161.0
Chord {A in octave 3 | D in octave 4 | C in octave 4 | C in octave 5} 16th,D4-incomplete dominant-seventh chord,0.25,488/3
Chord {D in octave 4 | F in octave 3 | C in octave 4} Dotted Eighth,D4-incomplete minor-seventh chord,0.75,164.0
Chord {F in octave 3 | C in octave 4 | A in octave 4 | D in octave 4} 16th,D4-minor seventh chord,0.25,165.0
Chord {A in octave 4 | C in octave 4 | D in octave 4 | C in octave 5} 16th,D4-incomplete dominant-seventh chord,0.25,497/3
Chord {A in octave 4 | C in octave 4 | D in octave 4 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),D4-incomplete dominant-seventh chord,1.25,500/3
Chord {F in octave 3 | D in octave 3 | B-flat in octave 3 | G in octave 2} Dotted Half,G2-minor seventh chord,3.0,169.0
Chord {C in octave 3 | G in octave 3 | E in octave 4 | B-flat in octave 3} Zero,C3-dominant seventh chord,0.0,172.0
Chord {E in octave 4 | G in octave 3 | B-flat in octave 3} Eighth,E4-diminished triad,0.5,172.0
Chord {B-flat in octave 4 | G in octave 4 | E in octave 5 | D in octave 4} 16th,E5-half-diminished seventh chord,0.25,518/3
Chord {E in octave 4 | G in octave 4 | B-flat in octave 4 | G in octave 3} Dotted Eighth,E4-diminished triad,0.75,173.0
Chord {E in octave 3 | B-flat in octave 3 | E in octave 4 | G in octave 4} Dotted Eighth,E3-diminished triad,0.75,174.0
Chord {E in octave 4 | G in octave 4 | B-flat in octave 4 | B-flat in octave 3 | C in octave 3} Eighth,C3-dominant seventh chord,0.5,175.0
Chord {B-flat in octave 4 | G in octave 4 | E in octave 5 | B-flat in octave 3 | C in octave 3} 16th,C3-dominant seventh chord,0.25,527/3
Chord {E-flat in octave 4 | B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4} 16th,C#4-incomplete dominant-seventh chord,0.25,530/3
Chord {C-sharp in octave 3 | E-flat in octave 3 | F-sharp in octave 2 | B-flat in octave 3} Half,C#3-minor seventh chord,2.0,178.0
Chord {B-flat in octave 3 | F-sharp in octave 2 | E-flat in octave 3 | C-sharp in octave 3} Half,C#3-minor seventh chord,2.0,180.0
Chord {B in octave 3 | G-sharp in octave 2 | F in octave 3 | D in octave 3} Half,G#2-diminished seventh chord,2.0,182.0
Chord {F in octave 4 | B-flat in octave 3 | F in octave 3 | D in octave 4} 16th,B-3-major triad,0.25,554/3
Chord {D in octave 4 | F in octave 3 | F in octave 4 | B-flat in octave 3} 16th,B-3-major triad,0.25,186.0
Chord {G in octave 4 | B-flat in octave 4 | B-flat in octave 3 | E in octave 4} 16th,E4-diminished triad,0.25,566/3
Chord {G in octave 4 | E in octave 4 | B-flat in octave 3 | B-flat in octave 4} 16th,E4-diminished triad,0.25,190.0
Chord {E in octave 5 | G in octave 4 | B-flat in octave 4 | E in octave 4} 16th,E5-diminished triad,0.25,572/3
Chord {G in octave 4 | B-flat in octave 4 | E in octave 5 | E in octave 4} 16th,E5-diminished triad,0.25,575/3
Chord {C in octave 5 | A in octave 4 | D in octave 5} Zero,D5-incomplete dominant-seventh chord,0.0,584/3
Chord {A in octave 4 | C in octave 5} 16th,A4-interval class 3,0.25,587/3
Chord {A in octave 4 | C in octave 5 | D in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),D5-incomplete dominant-seventh chord,5/3,196.0
Chord {A in octave 4 | D in octave 4 | C in octave 5} Eighth,D4-incomplete dominant-seventh chord,0.5,198.0
Chord {A in octave 4 | D in octave 4 | C in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,596/3
Chord {F in octave 4 | B in octave 3 | F in octave 3 | D in octave 4} 16th,B3-diminished triad,0.25,602/3
Chord {F in octave 3 | B-flat in octave 4 | B-flat in octave 3 | D in octave 4 | F in octave 4} 16th,B-4-major triad,0.25,204.0
Chord {F in octave 4 | D in octave 4 | B-flat in octave 4 | G in octave 3} 16th,G3-minor seventh chord,0.25,614/3
Chord {B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 3} Dotted Eighth,G4-minor seventh chord,0.75,205.0
Chord {B-flat in octave 3 | E in octave 5 | E in octave 4 | G in octave 4 | B-flat in octave 4} 16th,E5-diminished triad,0.25,206.0
Chord {B-flat in octave 4 | G in octave 4 | E in octave 5 | D in octave 4} 16th,E5-half-diminished seventh chord,0.25,620/3
Chord {E in octave 4 | D in octave 5 | B-flat in octave 4 | G in octave 3} Dotted Eighth,E4-half-diminished seventh chord,0.75,207.0
Chord {D in octave 5 | A in octave 4 | D in octave 4 | C in octave 5} 16th,D5-incomplete dominant-seventh chord,0.25,626/3
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Half,D4-minor seventh chord,2.0,210.0
Chord {A in octave 4 | F in octave 3 | D in octave 4 | C in octave 4} Half,D4-minor seventh chord,2.0,212.0
Chord {B in octave 3 | G-sharp in octave 2 | F in octave 3 | D in octave 3} Half,G#2-diminished seventh chord,2.0,214.0
Chord {F in octave 4 | B-flat in octave 3 | F in octave 3 | D in octave 4} 16th,B-3-major triad,0.25,650/3
Chord {D in octave 4 | F in octave 3 | F in octave 4 | B-flat in octave 3} 16th,B-3-major triad,0.25,218.0
Chord {G in octave 4 | B-flat in octave 4 | B-flat in octave 3 | E in octave 4} 16th,E4-diminished triad,0.25,662/3
Chord {G in octave 4 | E in octave 4 | B-flat in octave 3 | B-flat in octave 4} 16th,E4-diminished triad,0.25,222.0
Chord {E in octave 5 | G in octave 4 | B-flat in octave 4 | E in octave 4} 16th,E5-diminished triad,0.25,668/3
Chord {G in octave 4 | B-flat in octave 4 | E in octave 5 | E in octave 4} 16th,E5-diminished triad,0.25,671/3
Chord {D in octave 5 | A in octave 4 | D in octave 4 | C in octave 5} 16th,D5-incomplete dominant-seventh chord,0.25,674/3
Chord {C in octave 4 | F in octave 3} Whole tied to Double Dotted Quarter (5 3/4 total QL),F3-interval class 5,5.75,226.0
Chord {C in octave 2 | C in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),C2-unison,2.75,232.0
Chord {C in octave 4 | G in octave 2} Zero,C4-interval class 5,0.0,235.0
Chord {D in octave 4 | A in octave 2} Zero,D4-interval class 5,0.0,235.0
Chord {E-flat in octave 4 | B-flat in octave 2} Zero,E-4-interval class 5,0.0,235.0
Chord {F in octave 4 | C in octave 3} Zero,F4-interval class 5,0.0,235.25
Chord {G in octave 4 | D in octave 3} Zero,G4-interval class 5,0.0,235.25
Chord {A in octave 4 | E-flat in octave 3} Zero,A4-tritone,0.0,706/3
Chord {C in octave 5 | G in octave 3} Zero,C5-interval class 5,0.0,235.5
Chord {D in octave 5 | A in octave 3} Zero,D5-interval class 5,0.0,235.5
Chord {G in octave 4 | B-flat in octave 3 | E-flat in octave 5 | E-flat in octave 4} 16th,E-5-major triad,0.25,707/3
Chord {C in octave 5 | E-flat in octave 5 | E-flat in octave 4 | A in octave 4} 16th,A4-diminished triad,0.25,710/3
Chord {C in octave 5 | A in octave 4 | E-flat in octave 4 | E-flat in octave 5} 16th,A4-diminished triad,0.25,238.0
Chord {A in octave 5 | C in octave 5 | E-flat in octave 5 | A in octave 4} 16th,A5-diminished triad,0.25,716/3
Chord {C in octave 5 | E-flat in octave 5 | A in octave 5 | A in octave 4} 16th,A5-diminished triad,0.25,719/3
Chord {G in octave 4 | D in octave 4 | G in octave 3 | F in octave 4} 16th,G4-incomplete dominant-seventh chord,0.25,722/3
Chord {F in octave 3 | G in octave 3 | B-flat in octave 2 | D in octave 4} Half,G3-minor seventh chord,2.0,242.0
Chord {C-sharp in octave 4 | B-flat in octave 2 | G in octave 3 | F in octave 3} Triple Dotted Half (3 3/4 QL),G3-half-diminished seventh chord,3.75,244.0
Chord {D in octave 5 | A in octave 4 | D in octave 4 | C in octave 5} 16th,D5-incomplete dominant-seventh chord,0.25,746/3
Chord {C in octave 5 | D in octave 4 | D in octave 5 | A in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,250.0
Chord {C in octave 5 | D in octave 5 | D in octave 4 | A in octave 4} 16th,D5-incomplete dominant-seventh chord,0.25,758/3
Chord {C in octave 5 | A in octave 4 | D in octave 4 | D in octave 5} 16th,D4-incomplete dominant-seventh chord,0.25,254.0
Chord {A in octave 5 | C in octave 5 | D in octave 5 | A in octave 4} 16th,D5-incomplete dominant-seventh chord,0.25,764/3
Chord {C in octave 5 | D in octave 5 | A in octave 5 | A in octave 4} 16th,D5-incomplete dominant-seventh chord,0.25,767/3
Chord {G in octave 4 | C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,770/3
Chord {E in octave 3 | G in octave 3 | A in octave 2 | C in octave 4} Half,A2-minor seventh chord,2.0,258.0
Chord {F-sharp in octave 4 | A in octave 4 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),F#4-diminished triad,5/3,260.0
Chord {F-sharp in octave 4 | C in octave 4 | A in octave 4} Eighth,F#4-diminished triad,0.5,262.0
Chord {F-sharp in octave 4 | C in octave 4 | A in octave 3} 16th,F#4-diminished triad,0.25,788/3
Chord {F in octave 4 | B-flat in octave 3 | F in octave 3 | D in octave 4} 16th,B-3-major triad,0.25,794/3
Chord {D in octave 3 | F in octave 3 | G in octave 2 | B-flat in octave 3} Half,G2-minor seventh chord,2.0,266.0
Chord {B-flat in octave 3 | E in octave 5 | E in octave 4 | G in octave 4 | B-flat in octave 4} 16th,E5-diminished triad,0.25,268.0
Chord {B-flat in octave 4 | G in octave 4 | E in octave 5 | D in octave 4} 16th,E5-half-diminished seventh chord,0.25,806/3
Chord {E in octave 4 | D in octave 5 | B-flat in octave 4 | G in octave 3} Dotted Eighth,E4-half-diminished seventh chord,0.75,269.0
Chord {E in octave 3 | D in octave 4 | B-flat in octave 4 | G in octave 4} Dotted Eighth,E3-half-diminished seventh chord,0.75,270.0
Chord {E in octave 4 | G in octave 4 | B-flat in octave 3 | C in octave 3} Dotted Eighth,C3-dominant seventh chord,0.75,271.0
Chord {D in octave 5 | A in octave 4 | D in octave 4 | C in octave 5} 16th,D5-incomplete dominant-seventh chord,0.25,818/3
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Half,D4-minor seventh chord,2.0,274.0
Chord {A in octave 4 | F in octave 3 | D in octave 4 | C in octave 4} Half,D4-minor seventh chord,2.0,276.0
Chord {B in octave 3 | G-sharp in octave 2 | F in octave 3 | D in octave 3} Half,G#2-diminished seventh chord,2.0,278.0
Chord {F in octave 4 | B-flat in octave 3 | F in octave 3 | D in octave 4} 16th,B-3-major triad,0.25,842/3
Chord {D in octave 4 | F in octave 3 | F in octave 4 | B-flat in octave 3} 16th,B-3-major triad,0.25,282.0
Chord {G in octave 4 | B-flat in octave 4 | B-flat in octave 3 | E in octave 4} 16th,E4-diminished triad,0.25,854/3
Chord {G in octave 4 | E in octave 4 | B-flat in octave 3 | B-flat in octave 4} 16th,E4-diminished triad,0.25,286.0
Chord {E in octave 5 | G in octave 4 | B-flat in octave 4 | E in octave 4} 16th,E5-diminished triad,0.25,860/3
Chord {G in octave 4 | B-flat in octave 4 | E in octave 5 | E in octave 4} 16th,E5-diminished triad,0.25,863/3
Chord {D in octave 5 | A in octave 4 | D in octave 4 | C in octave 5} 16th,D5-incomplete dominant-seventh chord,0.25,866/3
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Whole tied to Double Dotted Quarter (5 3/4 total QL),D4-minor seventh chord,5.75,290.0
Chord {E-flat in octave 4 | C in octave 3 | B-flat in octave 3 | G in octave 3} Triple Dotted Half (3 3/4 QL),C3-minor seventh chord,3.75,296.0
Chord {C in octave 5 | E-flat in octave 5 | E-flat in octave 4 | A in octave 4} 16th,A4-diminished triad,0.25,902/3
Chord {C in octave 5 | A in octave 4 | E-flat in octave 4 | E-flat in octave 5} 16th,A4-diminished triad,0.25,302.0
Chord {A in octave 5 | C in octave 5 | E-flat in octave 5 | A in octave 4} 16th,A5-diminished triad,0.25,908/3
Chord {C in octave 5 | E-flat in octave 5 | A in octave 5 | A in octave 4} 16th,A5-diminished triad,0.25,911/3
Chord {G in octave 4 | D in octave 4 | G in octave 3 | F in octave 4} 16th,G4-incomplete dominant-seventh chord,0.25,914/3
Chord {F in octave 3 | G in octave 3 | B-flat in octave 2 | D in octave 4} Half,G3-minor seventh chord,2.0,306.0
Chord {G in octave 4 | E-flat in octave 3 | C-sharp in octave 4 | B-flat in octave 3} Triple Dotted Half (3 3/4 QL),C#4-dominant seventh chord,3.75,308.0
Chord {F in octave 5 | A in octave 4 | F in octave 4 | C in octave 5} 16th,F5-major triad,0.25,938/3
Chord {C-sharp in octave 5 | G in octave 4 | C-sharp in octave 4 | B-flat in octave 4} 16th,C#5-diminished triad,0.25,944/3
Chord {A in octave 4 | C in octave 5 | C in octave 4 | F-sharp in octave 4} 16th,F#4-diminished triad,0.25,950/3
Chord {A in octave 4 | F-sharp in octave 4 | C in octave 4 | C in octave 5} 16th,F#4-diminished triad,0.25,318.0
Chord {F-sharp in octave 5 | A in octave 4 | C in octave 5 | F-sharp in octave 4} 16th,F#5-diminished triad,0.25,956/3
Chord {A in octave 4 | C in octave 5 | F-sharp in octave 5 | F-sharp in octave 4} 16th,F#5-diminished triad,0.25,959/3
Chord {F in octave 4 | B-flat in octave 3 | F in octave 3 | D in octave 4} 16th,B-3-major triad,0.25,962/3
Chord {D in octave 4 | F in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G4-incomplete dominant-seventh chord,5/3,324.0
