335.9166666666667
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,13.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,15.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,17.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,19.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,21.0
Chord {G-sharp in octave 2 | E-flat in octave 3} 16th,E-3-interval class 5,0.25,23.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,25.0
Chord {E-flat in octave 3 | G-sharp in octave 2} 16th,E-3-interval class 5,0.25,27.0
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,29.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,89/3
Chord {C-sharp in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,31.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,95/3
Chord {E-flat in octave 3 | C-sharp in octave 2 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,33.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,101/3
Chord {C-sharp in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,35.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,107/3
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,36.0
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,37.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,113/3
Chord {E-flat in octave 3 | E in octave 2} 16th,E-3-interval class 1,0.25,38.0
Chord {C-sharp in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,39.0
Chord {E-flat in octave 3 | E in octave 2} 16th,E-3-interval class 1,0.25,40.0
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,41.0
Chord {E in octave 2 | E-flat in octave 3} 16th,E2-interval class 1,0.25,125/3
Chord {E-flat in octave 3 | C-sharp in octave 2 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,43.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,131/3
Chord {F-sharp in octave 2 | E-flat in octave 3 | C-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,45.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,46.0
Chord {C-sharp in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,47.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,48.0
Chord {C-sharp in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,49.0
Chord {C-sharp in octave 2 | E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,51.0
Chord {E-flat in octave 3 | A in octave 2} 16th,A2-tritone,0.25,155/3
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,52.0
Chord {C-sharp in octave 2 | E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,53.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,161/3
Chord {E-flat in octave 3 | E in octave 2} 16th,E-3-interval class 1,0.25,54.0
Chord {C-sharp in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,55.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,167/3
Chord {C-sharp in octave 2 | E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,57.0
Chord {E in octave 2 | B-flat in octave 2 | B in octave 1} 16th,E2-tritone-fourth,0.25,173/3
Chord {E-flat in octave 3 | C-sharp in octave 2 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,59.0
Chord {F-sharp in octave 2 | E-flat in octave 3 | C-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,61.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,185/3
Chord {E-flat in octave 3 | F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,63.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,191/3
Chord {C-sharp in octave 2 | E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,65.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,197/3
Chord {C-sharp in octave 2 | E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,67.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,203/3
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,68.0
Chord {F-sharp in octave 2 | E-flat in octave 3 | C-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,69.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,209/3
Chord {B in octave 1 | E in octave 2 | E-flat in octave 3} 16th,E2-incomplete major-seventh chord,0.25,70.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,212/3
Chord {F-sharp in octave 2 | C-sharp in octave 3 | C-sharp in octave 2 | B in octave 1} 16th,B1-quartal trichord,0.25,71.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,215/3
Chord {B in octave 1 | D in octave 2} 16th,B1-interval class 3,0.25,72.0
Chord {D in octave 2 | B in octave 1} 16th,B1-interval class 3,0.25,73.0
Chord {D in octave 2 | B in octave 1} 16th,B1-interval class 3,0.25,74.0
Chord {B in octave 1 | D in octave 2} 16th,B1-interval class 3,0.25,75.0
Chord {E-flat in octave 3 | C-sharp in octave 3} 16th,C#3-interval class 2,0.25,76.0
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,77.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,233/3
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,78.0
Chord {C-sharp in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,79.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,84.0
Chord {C-sharp in octave 2 | E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,85.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,86.0
Chord {E-flat in octave 3 | F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,87.0
Chord {F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-interval class 3,0.25,89.0
Chord {F in octave 2 | F-sharp in octave 2} 16th,F2-interval class 1,0.25,91.0
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,275/3
Chord {B in octave 1 | C-sharp in octave 3 | E-flat in octave 3} 16th,C#3-whole-tone trichord,0.25,92.0
Chord {F-sharp in octave 2 | E-flat in octave 3 | C-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,93.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,94.0
Chord {F-sharp in octave 2 | C-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,95.0
Chord {C-sharp in octave 2 | E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,101.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,305/3
Chord {C-sharp in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,103.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,311/3
Chord {C in octave 3 | F-sharp in octave 2} 16th,F#2-tritone,0.25,107.0
Chord {C-sharp in octave 3 | E-flat in octave 3} 16th,C#3-interval class 2,0.25,108.0
Chord {C-sharp in octave 2 | F-sharp in octave 2 | E-flat in octave 3} 16th,F#2-incomplete minor-seventh chord,0.25,109.0
Chord {E-flat in octave 3 | D in octave 2} 16th,E-3-interval class 1,0.25,110.0
Chord {E-flat in octave 3 | C-sharp in octave 2 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,111.0
Chord {B in octave 1 | E-flat in octave 3} 16th,E-3-interval class 4,0.25,112.0
Chord {E-flat in octave 3 | C-sharp in octave 2 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,113.0
Chord {D in octave 2 | E-flat in octave 3} 16th,E-3-interval class 1,0.25,341/3
Chord {C-sharp in octave 2 | E-flat in octave 3 | F-sharp in octave 2} 16th,F#2-incomplete minor-seventh chord,0.25,115.0
Chord {E-flat in octave 3 | B in octave 1} 16th,E-3-interval class 4,0.25,116.0
