236.5
3/4
FullName,CommonName,Len,Offset
Chord {B in octave 3 | E in octave 4 | C in octave 4} Half,C4-incomplete major-seventh chord,2.0,25.0
Chord {E in octave 4 | C in octave 4 | B in octave 3} Whole Triplet (2 2/3 QL),C4-incomplete major-seventh chord,8/3,27.25
Chord {E in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,36.25
Chord {E in octave 4 | C in octave 4 | B in octave 3} Dotted Quarter,C4-incomplete major-seventh chord,1.5,37.0
Chord {C in octave 6 | E in octave 5} 16th,C6-interval class 4,0.25,39.0
Chord {C in octave 6 | E in octave 5} Eighth Triplet (1/3 QL),C6-interval class 4,1/3,40.0
Chord {B in octave 5 | D in octave 5} 16th,B5-interval class 3,0.25,122/3
Chord {E in octave 5 | C in octave 6} 16th,C6-interval class 4,0.25,41.0
Chord {C in octave 4 | E in octave 4} 16th,C4-interval class 4,0.25,41.25
Chord {A in octave 5 | C in octave 5} 16th,A5-interval class 3,0.25,125/3
Chord {E in octave 5 | G-sharp in octave 3 | C in octave 5} Quarter Triplet (2/3 QL),C5-augmented triad,2/3,47.0
Chord {F-sharp in octave 4 | D in octave 4 | E in octave 6 | G in octave 3 | E in octave 5 | B in octave 3} Eighth,E6-minor-ninth chord,0.5,149/3
Chord {F-sharp in octave 5 | F-sharp in octave 6 | F-sharp in octave 4 | G in octave 3} 16th,G3-interval class 1,0.25,151/3
Chord {G in octave 3 | E in octave 6 | E in octave 5} Zero,E6-interval class 3,0.0,152/3
Chord {F-sharp in octave 4 | B in octave 3} Zero,B3-interval class 5,0.0,51.0
Chord {E-flat in octave 5 | E-flat in octave 6 | B in octave 3 | C-sharp in octave 6} Zero,C#6-whole-tone trichord,0.0,51.0
Chord {F-sharp in octave 4 | C-sharp in octave 4 | G in octave 3} Eighth Triplet (1/3 QL),F#4-tritone-fourth,1/3,51.0
Chord {F-sharp in octave 6 | F-sharp in octave 5 | C-sharp in octave 4 | G in octave 3} 16th,F#6-tritone-fourth,0.25,155/3
Chord {F-sharp in octave 4 | G in octave 3} Half Triplet (1 1/3 QL),G3-interval class 1,4/3,52.25
Chord {F-sharp in octave 3 | E in octave 4} Whole Triplet (2 2/3 QL),F#3-interval class 2,8/3,54.0
Chord {B in octave 3 | F in octave 3} Half tied to Eighth (2 1/2 total QL),B3-tritone,2.5,57.0
