886.3333333333334
4/4
FullName,CommonName,Len,Offset
Chord {A in octave 4 | A in octave 3} Eighth,A4-unison,0.5,3.0
Chord {E in octave 5 | C in octave 5 | G in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),A4-minor seventh chord,2/3,4.25
Chord {D in octave 4 | A in octave 3 | A in octave 2} Eighth,D4-interval class 5,0.5,23.0
Chord {C in octave 5 | F in octave 4 | A in octave 4 | A in octave 3} Quarter Triplet (2/3 QL),F4-major triad,2/3,27.25
Chord {E in octave 5 | G in octave 4} Quarter Triplet (2/3 QL),E5-interval class 3,2/3,28.25
Chord {E-flat in octave 5 | G-sharp in octave 5} Eighth,E-5-interval class 5,0.5,107/3
Chord {A in octave 5 | F in octave 5} Eighth Triplet (1/3 QL),F5-interval class 4,1/3,36.5
Chord {F in octave 5 | C-sharp in octave 5 | E in octave 4} Eighth,F5-major-minor trichord,0.5,112/3
Chord {E in octave 6 | E in octave 4} Eighth,E6-unison,0.5,52.25
Chord {E in octave 6 | E in octave 4} Eighth,E6-unison,0.5,53.0
Chord {G in octave 3 | E in octave 3} Zero,E3-interval class 3,0.0,164/3
Chord {F in octave 3 | B in octave 3} Zero,B3-tritone,0.0,54.75
Chord {C in octave 4 | A in octave 3} Zero,A3-interval class 3,0.0,55.0
Chord {F-sharp in octave 5 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#5-unison,1/3,62.25
Chord {F in octave 5 | F in octave 4} Eighth,F5-unison,0.5,63.0
Chord {D in octave 4 | C in octave 3} Eighth Triplet (1/3 QL),D4-interval class 2,1/3,215/3
Chord {A in octave 4 | B-flat in octave 3 | F in octave 4} 16th,B-3-incomplete major-seventh chord,0.25,74.25
Chord {D in octave 4 | B-flat in octave 3} Eighth,B-3-interval class 4,0.5,77.5
Chord {F in octave 4 | C in octave 3} Quarter tied to 16th (1 1/4 total QL),F4-interval class 5,1.25,79.25
Chord {C in octave 3 | C in octave 5} Zero,C3-unison,0.0,84.25
Chord {E in octave 6 | E in octave 5} 16th,E6-unison,0.25,91.25
Chord {C-sharp in octave 4 | A in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A4-major triad,1/3,100.25
Chord {F in octave 4 | C in octave 5} Eighth,F4-interval class 5,0.5,107.5
Chord {C in octave 6 | E in octave 5 | G in octave 5 | B-flat in octave 5} Eighth Triplet (1/3 QL),C6-dominant seventh chord,1/3,332/3
Chord {A in octave 5 | C-sharp in octave 5 | B-flat in octave 4 | A in octave 4 | E in octave 5} Dotted Eighth,A5-major-diminished tetrachord,0.75,111.75
Chord {C-sharp in octave 5 | B-flat in octave 4} Eighth,C#5-interval class 3,0.5,113.0
Chord {C-sharp in octave 4 | E in octave 5} Eighth,C#4-interval class 3,0.5,119.75
Chord {C in octave 5 | F in octave 4} Eighth,F4-interval class 5,0.5,126.5
Chord {A in octave 4 | D in octave 4 | F in octave 4} 16th,D4-minor triad,0.25,404/3
Chord {A in octave 1 | G in octave 3 | C in octave 4} Eighth,A1-incomplete minor-seventh chord,0.5,136.25
Chord {A in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),A4-interval class 5,2/3,163.0
Chord {C in octave 5 | A in octave 4 | G in octave 4} 16th,A4-incomplete minor-seventh chord,0.25,164.25
Chord {D in octave 5 | F in octave 4 | G-sharp in octave 4} Eighth Triplet (1/3 QL),G#4-diminished triad,1/3,164.75
Chord {E in octave 5 | G in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),E5-minor triad,1/3,165.25
Chord {D in octave 5 | B in octave 4 | A in octave 4} 16th,B4-incomplete minor-seventh chord,0.25,165.75
Chord {C in octave 5 | E in octave 4} 16th,C5-interval class 4,0.25,499/3
Chord {B in octave 2 | A in octave 4} Eighth,B2-interval class 2,0.5,167.0
Chord {A in octave 5 | F in octave 5} Eighth Triplet (1/3 QL),F5-interval class 4,1/3,508/3
Chord {G in octave 5 | E in octave 5} 16th,E5-interval class 3,0.25,169.75
Chord {E in octave 5 | G in octave 5} Eighth,E5-interval class 3,0.5,170.25
