270.75
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | E in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-interval class 4,3.25,0.0
Chord {C in octave 4 | D in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),D4-interval class 2,3.25,4.0
Chord {G-sharp in octave 4 | D in octave 4} Dotted Eighth,G#4-tritone,0.75,19.0
Chord {C-sharp in octave 4 | F in octave 4} Dotted Eighth,F4-interval class 4,0.75,35.0
Chord {C in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),C4-interval class 4,1.25,44.0
Chord {B in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,45.5
Chord {A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,46.0
Chord {C in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,46.5
Chord {G in octave 4 | E in octave 4} Dotted Eighth,E4-interval class 3,0.75,47.0
Chord {G-sharp in octave 4 | D in octave 4} Dotted Eighth,G#4-tritone,0.75,51.0
Chord {F in octave 4 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-interval class 5,1.25,52.0
Chord {C-sharp in octave 4 | F in octave 4} Dotted Eighth,F4-interval class 4,0.75,67.0
Chord {G in octave 4 | E in octave 4} Dotted Eighth,E4-interval class 3,0.75,74.0
Chord {E-flat in octave 4 | A in octave 4} Dotted Eighth,A4-tritone,0.75,75.0
Chord {F in octave 4 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F4-interval class 4,5/3,80.0
Chord {B in octave 4 | F in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G4-incomplete dominant-seventh chord,5/3,82.0
Chord {G in octave 4 | B in octave 4} Dotted Eighth,G4-interval class 4,0.75,88.0
Chord {B in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,89.0
Chord {C in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,89.5
Chord {D in octave 5 | B in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B4-diminished triad,5/3,90.0
Chord {G in octave 4 | B in octave 4} Dotted Eighth,G4-interval class 4,0.75,92.0
Chord {B in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,93.0
Chord {A in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,93.5
Chord {B in octave 4 | D in octave 5} Dotted Eighth,B4-interval class 3,0.75,94.0
Chord {C in octave 5 | A in octave 4} Eighth Triplet (1/3 QL),A4-interval class 3,1/3,95.0
Chord {B in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,95.5
Chord {G in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E4-interval class 3,5/3,98.0
Chord {F in octave 4 | A in octave 4 | B in octave 4} Dotted Eighth,B4-incomplete half-diminished seventh chord,0.75,104.0
Chord {C in octave 4 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-major triad,1/3,105.0
Chord {G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-interval class 3,1/3,105.5
Chord {C in octave 4 | F in octave 4 | D in octave 4} Dotted Eighth,D4-incomplete minor-seventh chord,0.75,106.0
