423.1666666666667
4/4
FullName,CommonName,Len,Offset
Chord {G-sharp in octave 3 | B-flat in octave 3} 16th,G#3-interval class 2,0.25,64.0
Chord {B in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),B4-unison,1/3,323.25
Chord {A in octave 4 | B in octave 4} 16th,B4-interval class 2,0.25,340.25
Chord {B in octave 3 | B-flat in octave 3} Zero,B3-interval class 1,0.0,62.0
Chord {B-flat in octave 3 | C-sharp in octave 4} Dotted Eighth,C#4-interval class 3,0.75,84.0
Chord {G-sharp in octave 3 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,85.0
Chord {C-sharp in octave 4 | B-flat in octave 3} Dotted Eighth,C#4-interval class 3,0.75,92.0
Chord {E-flat in octave 4 | C in octave 4} Dotted Eighth,C4-interval class 3,0.75,93.0
Chord {C-sharp in octave 4 | F in octave 4} Quarter,F4-interval class 4,1.0,94.0
Chord {C in octave 4 | E-flat in octave 4} Whole,C4-interval class 3,4.0,95.5
Chord {C in octave 4 | G-sharp in octave 3} Half Triplet (1 1/3 QL),C4-interval class 4,4/3,104.0
Chord {B in octave 3 | E-flat in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E-4-interval class 4,7/3,113.5
Chord {G-sharp in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 5,1.25,120.0
Chord {B-flat in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B-3-interval class 4,5/3,121.5
Chord {B-flat in octave 3 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-interval class 3,1.25,124.0
Chord {C in octave 4 | E-flat in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),C4-interval class 3,2.75,125.5
Chord {B-flat in octave 3 | C-sharp in octave 4} Dotted Eighth,C#4-interval class 3,0.75,180.0
Chord {G-sharp in octave 3 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,181.0
Chord {C-sharp in octave 4 | B-flat in octave 3} Dotted Eighth,C#4-interval class 3,0.75,188.0
Chord {E-flat in octave 4 | C in octave 4} Dotted Eighth,C4-interval class 3,0.75,189.0
Chord {C-sharp in octave 4 | F in octave 4} Quarter,F4-interval class 4,1.0,190.0
Chord {C in octave 4 | E-flat in octave 4} Whole,C4-interval class 3,4.0,191.5
Chord {C in octave 4 | G-sharp in octave 3} Half Triplet (1 1/3 QL),C4-interval class 4,4/3,200.0
Chord {B in octave 3 | E-flat in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),E-4-interval class 4,7/3,209.5
Chord {G-sharp in octave 3 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 5,1.25,216.0
Chord {B-flat in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B-3-interval class 4,5/3,217.5
Chord {B-flat in octave 3 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-interval class 3,1.25,220.0
Chord {C in octave 4 | E-flat in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),C4-interval class 3,2.75,221.5
Chord {B-flat in octave 3 | B-flat in octave 4 | F in octave 4 | C-sharp in octave 4} Whole Triplet (2 2/3 QL),B-3-minor triad,8/3,244.0
Chord {B-flat in octave 4 | B-flat in octave 3} 16th,B-4-unison,0.25,247.0
Chord {G-sharp in octave 4 | E-flat in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),E-4-interval class 5,3.25,247.5
Chord {C-sharp in octave 4 | B-flat in octave 3 | F-sharp in octave 4 | F-sharp in octave 3 | E-flat in octave 4} 16th,C#4-minor seventh chord,0.25,251.0
Chord {C-sharp in octave 4 | F-sharp in octave 4} Whole Triplet (2 2/3 QL),F#4-interval class 5,8/3,251.5
