443.4166666666667
4/4
FullName,CommonName,Len,Offset
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-minor triad,10/3,48.0
Chord {F in octave 4 | C in octave 4 | D in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,52.0
Chord {C in octave 4 | G in octave 4 | E-flat in octave 4} Half,C4-minor triad,2.0,56.0
Chord {F in octave 4 | G in octave 3 | B-flat in octave 3} Dotted Half,G3-incomplete minor-seventh chord,3.0,60.0
Chord {E-flat in octave 4 | C in octave 4 | G in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor triad,11/3,64.0
Chord {D in octave 4 | F in octave 4 | C in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,68.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-minor triad,3.25,72.0
Chord {F in octave 4 | B-flat in octave 3 | D in octave 4} Dotted Half,B-3-major triad,3.0,76.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Double Dotted Half,C4-minor triad,3.5,80.0
Chord {C in octave 4 | D in octave 4 | F in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,83.75
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-minor triad,3.25,88.0
Chord {B-flat in octave 3 | G in octave 3 | F in octave 4 | D in octave 4} Dotted Half,G3-minor seventh chord,3.0,92.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-minor triad,10/3,96.0
Chord {C in octave 4 | D in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),D4-interval class 2,10/3,100.0
Chord {C in octave 4 | G in octave 4 | E-flat in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-minor triad,3.25,104.0
Chord {F in octave 4 | D in octave 4 | B-flat in octave 3 | G in octave 3} Dotted Quarter,G3-minor seventh chord,1.5,107.75
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-minor triad,10/3,152.0
Chord {F in octave 4 | C in octave 4 | D in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,156.0
Chord {C in octave 4 | G in octave 4 | E-flat in octave 4} Half,C4-minor triad,2.0,160.0
Chord {F in octave 4 | G in octave 3 | B-flat in octave 3} Dotted Half,G3-incomplete minor-seventh chord,3.0,164.0
Chord {E-flat in octave 4 | C in octave 4 | G in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor triad,11/3,168.0
Chord {D in octave 4 | F in octave 4 | C in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,172.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-minor triad,3.25,176.0
Chord {F in octave 4 | B-flat in octave 3 | D in octave 4} Dotted Half,B-3-major triad,3.0,180.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-minor triad,10/3,216.0
Chord {F in octave 4 | C in octave 4 | D in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,220.0
Chord {C in octave 4 | G in octave 4 | E-flat in octave 4} Half,C4-minor triad,2.0,224.0
Chord {F in octave 4 | G in octave 3 | B-flat in octave 3} Dotted Half,G3-incomplete minor-seventh chord,3.0,228.0
Chord {E-flat in octave 4 | C in octave 4 | G in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor triad,11/3,232.0
Chord {D in octave 4 | F in octave 4 | C in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,236.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-minor triad,3.25,240.0
Chord {F in octave 4 | B-flat in octave 3 | D in octave 4} Dotted Half,B-3-major triad,3.0,244.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-minor triad,10/3,312.0
Chord {F in octave 4 | C in octave 4 | D in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,316.0
Chord {C in octave 4 | G in octave 4 | E-flat in octave 4} Half,C4-minor triad,2.0,320.0
Chord {F in octave 4 | G in octave 3 | B-flat in octave 3} Dotted Half,G3-incomplete minor-seventh chord,3.0,324.0
Chord {E-flat in octave 4 | C in octave 4 | G in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor triad,11/3,328.0
Chord {D in octave 4 | F in octave 4 | C in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,332.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-minor triad,3.25,336.0
Chord {F in octave 4 | B-flat in octave 3 | D in octave 4} Dotted Half,B-3-major triad,3.0,340.0
Chord {C in octave 4 | E-flat in octave 4 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-minor triad,10/3,420.0
Chord {F in octave 4 | C in octave 4 | D in octave 4} Double Dotted Half,D4-incomplete minor-seventh chord,3.5,424.0
Chord {C in octave 4 | G in octave 4 | E-flat in octave 4} Half,C4-minor triad,2.0,428.0
