705.0
4/4
FullName,CommonName,Len,Offset
Chord {C-sharp in octave 4 | F in octave 3 | C-sharp in octave 3 | B-flat in octave 3} Dotted Eighth,B-3-minor triad,0.75,32.0
Chord {B-flat in octave 3 | F in octave 3} Whole tied to Eighth (4 1/2 total QL),B-3-interval class 5,4.5,33.5
Chord {B in octave 3 | E-flat in octave 4 | E in octave 3 | G-sharp in octave 3} Dotted Eighth,E-4-major seventh chord,0.75,40.0
Chord {A in octave 2 | E in octave 3 | C-sharp in octave 3} Dotted Eighth,A2-major triad,0.75,48.0
Chord {E in octave 3 | G-sharp in octave 3 | B in octave 2} Dotted Eighth,E3-major triad,0.75,51.0
Chord {F-sharp in octave 3 | E-flat in octave 3 | B in octave 2} Double Dotted Quarter,E-3-major triad,1.75,52.0
Chord {F-sharp in octave 3 | A in octave 3} Dotted Eighth,F#3-interval class 3,0.75,56.0
Chord {E in octave 3 | G-sharp in octave 3} Dotted Eighth,E3-interval class 4,0.75,57.5
Chord {C-sharp in octave 4 | A in octave 3 | E in octave 3} Eighth,A3-major triad,0.5,59.0
Chord {B in octave 3 | E in octave 3} Double Dotted Quarter,E3-interval class 5,1.75,60.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | F in octave 3} Dotted Eighth,B-3-minor triad,0.75,64.0
Chord {B-flat in octave 3 | F in octave 3} Double Dotted Half,B-3-interval class 5,3.5,65.5
Chord {B in octave 3 | G-sharp in octave 3 | E in octave 3} Dotted Eighth,E3-major triad,0.75,72.0
Chord {C-sharp in octave 4 | E-flat in octave 3 | B-flat in octave 3 | F-sharp in octave 3} Half tied to Eighth (2 1/2 total QL),C#4-minor seventh chord,2.5,73.5
Chord {A in octave 2 | E in octave 3 | C-sharp in octave 3} Dotted Eighth,A2-major triad,0.75,80.0
Chord {F-sharp in octave 3 | E-flat in octave 3} Dotted Eighth,F#3-interval class 3,0.75,81.5
Chord {G-sharp in octave 3 | B in octave 2 | E in octave 3} Dotted Eighth,E3-major triad,0.75,83.0
Chord {F-sharp in octave 3 | D in octave 3 | A in octave 3} Dotted Eighth,D3-major triad,0.75,88.0
Chord {A in octave 3 | E in octave 3} Dotted Eighth,A3-interval class 5,0.75,91.0
Chord {B in octave 3 | E in octave 3 | G-sharp in octave 3} Dotted Quarter,E3-major triad,1.5,92.0
Chord {C-sharp in octave 5 | B-flat in octave 4 | F in octave 4} Dotted Eighth,B-4-minor triad,0.75,96.0
Chord {B-flat in octave 4 | F in octave 4} Double Dotted Half,B-4-interval class 5,3.5,97.5
Chord {B-flat in octave 4 | G-sharp in octave 4} 16th,G#4-interval class 2,0.25,103.0
Chord {E-flat in octave 5 | B in octave 4 | G-sharp in octave 4} Eighth,E-5-minor triad,0.5,104.0
Chord {B-flat in octave 4 | E-flat in octave 4 | F-sharp in octave 4} Whole tied to 16th (4 1/4 total QL),E-4-minor triad,4.25,105.5
Chord {E in octave 4 | A in octave 3 | C-sharp in octave 4} Eighth,A3-major triad,0.5,112.0
Chord {E in octave 4 | G-sharp in octave 4 | B in octave 3} Dotted Eighth,E4-major triad,0.75,115.0
Chord {F-sharp in octave 4 | B in octave 3 | E-flat in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E-4-major triad,2.75,116.0
Chord {D in octave 4 | F-sharp in octave 4 | A in octave 4} Dotted Eighth,D4-major triad,0.75,120.0
Chord {E in octave 4 | B in octave 4 | G-sharp in octave 4} Dotted Eighth,E4-major triad,0.75,121.5
Chord {E in octave 4 | B in octave 4 | G-sharp in octave 4} Dotted Half,E4-major triad,3.0,124.0
Chord {C-sharp in octave 4 | F-sharp in octave 3 | B-flat in octave 3} Whole,B-3-major triad,4.0,41.5
Chord {E-flat in octave 3 | B in octave 2} Quarter,E-3-interval class 4,1.0,49.5
Chord {E-flat in octave 3 | B in octave 2} Half,E-3-interval class 4,2.0,84.0
Chord {E in octave 3 | G-sharp in octave 3} Dotted Eighth,E3-interval class 4,0.75,89.5
Chord {B in octave 3 | E-flat in octave 4} Dotted Eighth,E-4-interval class 4,0.75,113.5
Chord {A in octave 4 | E in octave 4} Dotted Eighth,A4-interval class 5,0.75,123.0
Chord {B-flat in octave 5 | C-sharp in octave 5} Breve Triplet (5 1/3 QL),C#5-interval class 3,16/3,128.0
Chord {D in octave 5 | F-sharp in octave 5 | A in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D5-major triad,7/3,136.0
Chord {B in octave 4 | E in octave 5} Half tied to 16th (2 1/4 total QL),E5-interval class 5,2.25,140.0
Chord {A in octave 4 | D in octave 5} Half,D5-interval class 5,2.0,152.0
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Half tied to Dotted Eighth (2 3/4 total QL),C#5-minor triad,2.75,160.0
Chord {F-sharp in octave 5 | D in octave 5} Half tied to Eighth (2 1/2 total QL),D5-interval class 4,2.5,164.0
Chord {E in octave 5 | C-sharp in octave 5} Dotted Half,C#5-interval class 3,3.0,172.0
Chord {A in octave 4 | D in octave 5} Whole Tuplet of 12/11ths (3 2/3 QL),D5-interval class 5,11/3,176.0
Chord {F-sharp in octave 5 | A in octave 4} Quarter Triplet (2/3 QL),F#5-interval class 3,2/3,180.0
Chord {B in octave 4 | E in octave 5} Quarter,E5-interval class 5,1.0,182.0
Chord {C-sharp in octave 6 | B-flat in octave 5} Whole tied to Dotted Eighth (4 3/4 total QL),C#6-interval class 3,4.75,193.5
Chord {E in octave 5 | C-sharp in octave 5} Quarter,C#5-interval class 3,1.0,200.0
Chord {B in octave 4 | F-sharp in octave 5 | E-flat in octave 5} Quarter,E-5-major triad,1.0,201.5
Chord {E in octave 5 | G-sharp in octave 5 | B in octave 4} Quarter,E5-major triad,1.0,203.0
Chord {F-sharp in octave 5 | E-flat in octave 5 | B in octave 4} Half tied to Dotted Eighth (2 3/4 total QL),E-5-major triad,2.75,204.0
Chord {A in octave 5 | F-sharp in octave 5 | D in octave 5} Dotted Eighth,D5-major triad,0.75,208.0
Chord {B in octave 5 | E in octave 5 | G-sharp in octave 5} Quarter,E5-major triad,1.0,209.5
Chord {E in octave 5 | A in octave 5} Dotted Eighth,A5-interval class 5,0.75,211.0
Chord {D in octave 5 | F-sharp in octave 5 | A in octave 4} Whole Tuplet of 12/7ths (2 1/3 QL),D5-major triad,7/3,224.0
Chord {B in octave 4 | E in octave 5} Half tied to 16th (2 1/4 total QL),E5-interval class 5,2.25,228.0
Chord {A in octave 4 | D in octave 5} Half,D5-interval class 5,2.0,240.0
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Half tied to Dotted Eighth (2 3/4 total QL),C#5-minor triad,2.75,248.0
