454.25
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | C-sharp in octave 3} 16th,C#3-interval class 2,0.25,8.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,10.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,12.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,14.0
Chord {D in octave 2 | B-flat in octave 2 | F in octave 4} 16th,B-2-major triad,0.25,44/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,15.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,16.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,18.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,20.0
Chord {D in octave 2 | G-sharp in octave 3} 16th,G#3-tritone,0.25,62/3
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | G-sharp in octave 3 | C-sharp in octave 3 | F in octave 4} 16th,G#3-combinatorial RI (RI9),0.25,21.0
Chord {B in octave 1 | D in octave 2 | B-flat in octave 2 | G-sharp in octave 3} 16th,G#3-harmonic minor tetrachord,0.25,22.0
Chord {D in octave 2 | G-sharp in octave 3} 16th,G#3-tritone,0.25,68/3
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | G-sharp in octave 3 | C-sharp in octave 3 | F in octave 4} 16th,G#3-combinatorial RI (RI9),0.25,23.0
Chord {D in octave 2 | F-sharp in octave 2 | G-sharp in octave 3 | C in octave 3} 16th,D2-Messiaen's truncated mode 6,0.25,71/3
Chord {B in octave 1 | C-sharp in octave 3} 16th,C#3-interval class 2,0.25,24.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,26.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,28.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,30.0
Chord {D in octave 2 | B-flat in octave 2 | F in octave 4} 16th,B-2-major triad,0.25,92/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,31.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,32.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,34.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,36.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,38.0
Chord {D in octave 2 | B-flat in octave 2 | F in octave 4} 16th,B-2-major triad,0.25,116/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,39.0
Chord {D in octave 2 | F-sharp in octave 2 | F in octave 4} 16th,D2-major-minor trichord,0.25,119/3
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,40.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,42.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,44.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,46.0
Chord {D in octave 2 | F in octave 4} 16th,D2-interval class 3,0.25,140/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,47.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,48.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,50.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,52.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,54.0
Chord {D in octave 2 | F in octave 4} 16th,D2-interval class 3,0.25,164/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,55.0
Chord {D in octave 2 | F-sharp in octave 2 | F in octave 4} 16th,D2-major-minor trichord,0.25,167/3
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,56.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,58.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,60.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,62.0
Chord {D in octave 2 | F in octave 4} 16th,D2-interval class 3,0.25,188/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,63.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,64.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,66.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,68.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,70.0
Chord {D in octave 2 | F in octave 4} 16th,D2-interval class 3,0.25,212/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,71.0
Chord {D in octave 2 | F-sharp in octave 2 | F in octave 4} 16th,D2-major-minor trichord,0.25,215/3
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,72.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,74.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,76.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,78.0
Chord {D in octave 2 | F in octave 4} 16th,D2-interval class 3,0.25,236/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,79.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,80.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,82.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,84.0
Chord {D in octave 2 | G-sharp in octave 3} 16th,G#3-tritone,0.25,254/3
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | G-sharp in octave 3 | C-sharp in octave 3 | F in octave 4} 16th,G#3-combinatorial RI (RI9),0.25,85.0
Chord {B in octave 1 | D in octave 2 | B-flat in octave 2 | G-sharp in octave 3 | F in octave 4} 16th,G#3-flat-ninth pentachord,0.25,86.0
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | C-sharp in octave 3} 16th,B1-major-second minor tetrachord,0.25,87.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,263/3
Chord {B in octave 1 | C-sharp in octave 3} 16th,C#3-interval class 2,0.25,88.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,90.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,92.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,94.0
Chord {D in octave 2 | B-flat in octave 2 | F in octave 4} 16th,B-2-major triad,0.25,284/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,95.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,96.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,98.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,100.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,102.0
Chord {D in octave 2 | F in octave 4} 16th,D2-interval class 3,0.25,308/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,103.0
Chord {D in octave 2 | F-sharp in octave 2 | F in octave 4} 16th,D2-major-minor trichord,0.25,311/3
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,104.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,106.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,108.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,110.0
Chord {D in octave 2 | F in octave 4} 16th,D2-interval class 3,0.25,332/3
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,111.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,112.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,114.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,116.0
Chord {D in octave 2 | G-sharp in octave 3} 16th,G#3-tritone,0.25,350/3
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | G-sharp in octave 3 | C-sharp in octave 3 | F in octave 4} 16th,G#3-combinatorial RI (RI9),0.25,117.0
Chord {B in octave 1 | D in octave 2 | B-flat in octave 2 | G-sharp in octave 3} 16th,G#3-harmonic minor tetrachord,0.25,118.0
Chord {D in octave 2 | G-sharp in octave 3} 16th,G#3-tritone,0.25,356/3
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | G-sharp in octave 3 | C-sharp in octave 3 | F in octave 4} 16th,G#3-combinatorial RI (RI9),0.25,119.0
Chord {D in octave 2 | F-sharp in octave 2 | G-sharp in octave 3 | C in octave 3} 16th,D2-Messiaen's truncated mode 6,0.25,359/3
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} 16th,C#3-phrygian trichord,0.25,120.0
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | C-sharp in octave 3 | F in octave 4} 16th,B1-Roma (Gypsy) pentachord,0.25,121.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,122.0
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | C-sharp in octave 3 | F in octave 4} 16th,B1-Roma (Gypsy) pentachord,0.25,123.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,124.0
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | C-sharp in octave 3 | F in octave 4} 16th,B1-Roma (Gypsy) pentachord,0.25,125.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,126.0
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | C-sharp in octave 3 | F in octave 4} 16th,B1-Roma (Gypsy) pentachord,0.25,127.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,128.0
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | C-sharp in octave 3 | F in octave 4} 16th,B1-Roma (Gypsy) pentachord,0.25,129.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,130.0
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | C-sharp in octave 3 | F in octave 4} 16th,B1-Roma (Gypsy) pentachord,0.25,131.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,132.0
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2 | C-sharp in octave 3 | F in octave 4} 16th,B1-Roma (Gypsy) pentachord,0.25,133.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,134.0
