420.0
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3} 16th,B1-interval class 5,0.25,8.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3} 16th,D2-incomplete major-seventh chord,0.25,9.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,29/3
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3} 16th,B1-interval class 5,0.25,10.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,32/3
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3 | E-flat in octave 2} 16th,D2-minor third tetracluster,0.25,11.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,35/3
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3} 16th,B1-interval class 5,0.25,12.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3} 16th,D2-incomplete major-seventh chord,0.25,13.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,41/3
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3} 16th,B1-interval class 5,0.25,14.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,44/3
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3 | E-flat in octave 2} 16th,D2-minor third tetracluster,0.25,15.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,47/3
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3} 16th,B1-interval class 5,0.25,16.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3} 16th,D2-incomplete major-seventh chord,0.25,17.0
Chord {B in octave 1 | D in octave 2 | F-sharp in octave 2} 16th,B1-minor triad,0.25,53/3
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3} 16th,B1-interval class 5,0.25,18.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,56/3
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3 | E-flat in octave 2} 16th,D2-minor third tetracluster,0.25,19.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,59/3
Chord {B in octave 1 | F-sharp in octave 2 | F-sharp in octave 3} 16th,B1-interval class 5,0.25,20.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | F-sharp in octave 3} 16th,D2-incomplete major-seventh chord,0.25,21.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,65/3
