491.8333333333333
4/4
FullName,CommonName,Len,Offset
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,4.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,36.0
Chord {D in octave 2 | C in octave 2} 16th,D2-interval class 2,0.25,51.5
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,52.0
Chord {B-flat in octave 2 | C in octave 2} 16th,C2-interval class 2,0.25,59.5
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,68.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,100.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,132.0
Chord {D in octave 2 | C in octave 2} 16th,D2-interval class 2,0.25,147.5
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,148.0
Chord {B-flat in octave 2 | C in octave 2} 16th,C2-interval class 2,0.25,155.5
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,164.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,196.0
Chord {B-flat in octave 2 | C in octave 2} 16th,C2-interval class 2,0.25,203.5
Chord {B-flat in octave 2 | C in octave 2} 16th,C2-interval class 2,0.25,211.5
Chord {D in octave 2 | C in octave 2} 16th,D2-interval class 2,0.25,227.5
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,228.0
Chord {C in octave 2 | C-sharp in octave 3} 16th,C2-interval class 1,0.25,244.0
Chord {B-flat in octave 2 | C in octave 2} 16th,C2-interval class 2,0.25,251.5
Chord {G in octave 2 | C in octave 2} 16th,C2-interval class 5,0.25,256.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,260.0
Chord {B-flat in octave 2 | C in octave 2} 16th,C2-interval class 2,0.25,275.5
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,292.0
Chord {C in octave 2 | B-flat in octave 2} 16th,C2-interval class 2,0.25,306.5
Chord {B-flat in octave 2 | C in octave 2} 16th,C2-interval class 2,0.25,307.5
Chord {B-flat in octave 2 | C in octave 2} 16th,C2-interval class 2,0.25,315.5
Chord {G in octave 2 | C in octave 2} 16th,C2-interval class 5,0.25,320.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,324.0
Chord {G in octave 2 | C in octave 2} 16th,C2-interval class 5,0.25,336.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,340.0
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,348.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,356.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,420.0
Chord {D in octave 2 | C in octave 2} 16th,D2-interval class 2,0.25,435.5
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,436.0
Chord {B-flat in octave 2 | C in octave 2} 16th,C2-interval class 2,0.25,443.5
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,452.0
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,484.0
Chord {F-sharp in octave 4 | A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-dominant seventh chord,0.25,5.0
Chord {G in octave 4 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 4} 16th,C#4-dominant seventh chord,0.25,6.5
Chord {D in octave 4 | C in octave 4 | A in octave 3 | F-sharp in octave 4} 16th,D4-dominant seventh chord,0.25,9.0
Chord {G in octave 4 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-dominant seventh chord,1.25,12.0
Chord {G in octave 4 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 4} 16th,C#4-dominant seventh chord,0.25,13.5
Chord {G in octave 4 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),C#4-dominant seventh chord,1/3,16.0
Chord {G in octave 4 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),C#4-dominant seventh chord,1/3,17.0
Chord {C in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Dotted Quarter,C4-major triad,1.5,18.5
Chord {D in octave 4 | C in octave 4 | A in octave 3 | F-sharp in octave 4} 16th,D4-dominant seventh chord,0.25,21.0
Chord {F-sharp in octave 4 | A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-dominant seventh chord,0.25,25.0
Chord {G in octave 4 | B-flat in octave 3 | C-sharp in octave 4 | E-flat in octave 4} 16th,C#4-dominant seventh chord,0.25,26.5
Chord {B-flat in octave 4 | C-sharp in octave 4 | E-flat in octave 4 | G in octave 4} Double Dotted Quarter,C#4-dominant seventh chord,1.75,28.0
Chord {E-flat in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | E-flat in octave 4 | G in octave 4} Eighth,C#4-dominant seventh chord,0.5,32.0
Chord {A in octave 4 | E-flat in octave 4 | A in octave 3} Half Triplet (1 1/3 QL),A4-tritone,4/3,34.5
Chord {C in octave 4 | G-sharp in octave 3 | G-sharp in octave 4} Eighth,C4-interval class 4,0.5,36.0
Chord {G in octave 4 | B in octave 4 | D in octave 4 | F in octave 4} 16th,G4-dominant seventh chord,0.25,37.0
Chord {G-sharp in octave 4 | C in octave 5 | E-flat in octave 4 | F-sharp in octave 4} 16th,C5-dominant seventh chord,0.25,38.5
Chord {F in octave 4 | D in octave 4 | B in octave 4 | G in octave 4} 16th,G4-dominant seventh chord,0.25,41.0
