535.9166666666666
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 4 | C in octave 4 | G in octave 3} Zero,C4-major triad,0.0,10.0
Chord {D in octave 5 | F in octave 4} Zero,D5-interval class 3,0.0,12.5
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,15.0
Chord {D in octave 5 | D in octave 6 | B in octave 3 | E-flat in octave 4} Eighth,E-4-major-minor trichord,0.5,22.0
Chord {E-flat in octave 4 | F in octave 3} Eighth Triplet (1/3 QL),F3-interval class 2,1/3,23.0
Chord {B-flat in octave 3 | D in octave 4 | C in octave 6 | C in octave 5} Eighth,B-3-whole-tone trichord,0.5,25.0
Chord {C in octave 6 | D in octave 4} 16th,D4-interval class 2,0.25,77/3
Chord {D in octave 4 | C in octave 6 | G in octave 5} Eighth Triplet (1/3 QL),C6-quartal trichord,1/3,26.0
Chord {C in octave 6 | G in octave 5 | C in octave 5 | D in octave 4} Zero,C6-quartal trichord,0.0,80/3
Chord {D in octave 5 | G in octave 4} Double Dotted Quarter,G4-interval class 5,1.75,28.0
Chord {D in octave 4 | C in octave 4} Dotted Quarter,D4-interval class 2,1.5,35.75
Chord {C in octave 4 | C-sharp in octave 4 | F in octave 4} Zero,F4-incomplete major-seventh chord,0.0,40.0
Chord {C-sharp in octave 6 | C in octave 4} Eighth Triplet (1/3 QL),C#6-interval class 1,1/3,125/3
Chord {F in octave 4 | C in octave 4} Zero,F4-interval class 5,0.0,42.75
Chord {B-flat in octave 3 | F-sharp in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),B-3-incomplete half-diminished seventh chord,1/3,43.75
Chord {E in octave 6 | D in octave 6} 16th,E6-interval class 2,0.25,44.25
Chord {F in octave 4 | C in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F4-interval class 5,5/3,45.75
Chord {D in octave 6 | E in octave 4} 16th,E4-interval class 2,0.25,48.75
Chord {G in octave 5 | F in octave 3 | B in octave 3} 16th,G5-incomplete dominant-seventh chord,0.25,50.75
Chord {B-flat in octave 3 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 3,1/3,52.0
Chord {G in octave 4 | B-flat in octave 3 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-major triad,1/3,53.0
Chord {G in octave 5 | G in octave 4 | E-flat in octave 4 | B-flat in octave 3 | D in octave 4} Zero,E-4-major seventh chord,0.0,53.75
Chord {G in octave 4 | B-flat in octave 3 | D in octave 4 | E-flat in octave 4 | D in octave 6} Eighth,E-4-major seventh chord,0.5,54.0
Chord {D in octave 6 | E-flat in octave 4 | G in octave 5 | G in octave 4 | D in octave 4} 16th,E-4-incomplete major-seventh chord,0.25,54.75
Chord {G in octave 4 | E-flat in octave 4 | D in octave 4} 16th,E-4-incomplete major-seventh chord,0.25,55.25
Chord {B-flat in octave 5 | E-flat in octave 4 | B-flat in octave 3 | D in octave 4} Quarter,E-4-incomplete major-seventh chord,1.0,55.75
Chord {E-flat in octave 4 | A in octave 5 | F-sharp in octave 5 | A in octave 3} Eighth Triplet (1/3 QL),F#5-diminished triad,1/3,58.0
Chord {D in octave 4 | B-flat in octave 4 | F in octave 4 | C in octave 4} Eighth,B-4-major-second major tetrachord,0.5,179/3
Chord {B-flat in octave 4 | F in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),B-4-quartal trichord,2/3,61.0
Chord {C in octave 4 | B-flat in octave 4 | F in octave 4} Quarter,B-4-quartal trichord,1.0,188/3
Chord {C in octave 4 | F in octave 4} 16th,F4-interval class 5,0.25,64.75
Chord {B-flat in octave 4 | F in octave 4 | G in octave 3} 16th,G3-incomplete minor-seventh chord,0.25,65.75
Chord {E-flat in octave 4 | C in octave 4} Zero,C4-interval class 3,0.0,203/3
Chord {F in octave 4 | C in octave 4} Quarter,F4-interval class 5,1.0,70.0
Chord {D in octave 4 | A in octave 3} Dotted Quarter,D4-interval class 5,1.5,215/3
