320.25
4/4
FullName,CommonName,Len,Offset
Chord {C-sharp in octave 3 | C in octave 2} 16th,C#3-interval class 1,0.25,4.0
Chord {F-sharp in octave 2 | E in octave 2} 16th,F#2-interval class 2,0.25,5.0
Chord {B in octave 2 | C in octave 3} Zero,C3-interval class 1,0.0,6.25
Chord {A in octave 2 | G-sharp in octave 2} Zero,A2-interval class 1,0.0,7.0
Chord {E in octave 3 | E in octave 2 | C in octave 2} 16th,C2-interval class 4,0.25,7.75
Chord {C in octave 3 | F in octave 3 | B-flat in octave 3 | E-flat in octave 4} 16th,C3-quartal tetramirror,0.25,8.0
Chord {G in octave 2 | G in octave 3 | C in octave 4 | F in octave 4} Zero,F4-quartal trichord,0.0,8.25
Chord {B-flat in octave 1 | F-sharp in octave 2} 16th,B-1-interval class 4,0.25,8.5
Chord {B-flat in octave 2 | E in octave 3 | A in octave 3 | D in octave 4} Zero,B-2-minor-second quartal tetrachord,0.0,8.75
Chord {A in octave 2 | G-sharp in octave 2} Zero,A2-interval class 1,0.0,9.0
Chord {F-sharp in octave 2 | E in octave 2} 16th,F#2-interval class 2,0.25,9.0
Chord {B-flat in octave 2 | F-sharp in octave 2} 16th,B-2-interval class 4,0.25,9.25
Chord {C in octave 2 | F in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F-sharp in octave 2} 16th,C2-Kumoi pentachord,0.25,9.5
Chord {G in octave 2 | F-sharp in octave 2} 16th,G2-interval class 1,0.25,9.75
Chord {F in octave 2 | G-sharp in octave 2} Zero,G#2-interval class 3,0.0,10.0
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,10.0
Chord {A in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,10.25
Chord {F in octave 2 | G-sharp in octave 2} Zero,G#2-interval class 3,0.0,11.0
Chord {B-flat in octave 2 | E in octave 3 | A in octave 3 | D in octave 4} Zero,B-2-minor-second quartal tetrachord,0.0,11.25
Chord {B-flat in octave 2 | E in octave 2} 16th,E2-tritone,0.25,11.25
Chord {G in octave 2 | F-sharp in octave 2} 16th,G2-interval class 1,0.25,11.5
Chord {B-flat in octave 2 | E in octave 2} 16th,E2-tritone,0.25,11.75
Chord {C in octave 3 | F in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F-sharp in octave 2 | C in octave 2} 16th,C3-Kumoi pentachord,0.25,12.0
Chord {G in octave 2 | G in octave 3 | C in octave 4 | F in octave 4} Zero,F4-quartal trichord,0.0,12.25
Chord {C in octave 2 | C in octave 2} 16th,C2-unison,0.25,12.25
Chord {B-flat in octave 1 | F-sharp in octave 2} 16th,B-1-interval class 4,0.25,12.5
Chord {B-flat in octave 2 | E in octave 3 | A in octave 3 | D in octave 4} Zero,B-2-minor-second quartal tetrachord,0.0,12.75
Chord {C in octave 2 | F-sharp in octave 2} 16th,F#2-tritone,0.25,12.75
Chord {A in octave 2 | G-sharp in octave 2} Zero,A2-interval class 1,0.0,13.0
Chord {F-sharp in octave 2 | E in octave 2} 16th,F#2-interval class 2,0.25,13.0
Chord {C in octave 2 | F in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F-sharp in octave 2} 16th,C2-Kumoi pentachord,0.25,13.5
Chord {G in octave 2 | F-sharp in octave 2} 16th,G2-interval class 1,0.25,13.75
Chord {F in octave 2 | G-sharp in octave 2} Zero,G#2-interval class 3,0.0,14.0
Chord {A in octave 2 | F-sharp in octave 2} 16th,F#2-interval class 3,0.25,14.25
Chord {F in octave 2 | G-sharp in octave 2} Zero,G#2-interval class 3,0.0,15.0
Chord {E in octave 3 | G in octave 4 | D in octave 4 | A in octave 3 | F-sharp in octave 2 | E in octave 2} 16th,D4-major pentachord,0.25,15.0
Chord {B-flat in octave 2 | E in octave 3 | A in octave 3 | D in octave 4} Zero,B-2-minor-second quartal tetrachord,0.0,15.25
Chord {B-flat in octave 2 | F-sharp in octave 2 | C in octave 2} 16th,B-2-incomplete half-diminished seventh chord,0.25,15.25
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,15.5
Chord {B-flat in octave 2 | E in octave 2 | C in octave 2} 16th,C2-incomplete dominant-seventh chord,0.25,15.75
Chord {C in octave 3 | F in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F-sharp in octave 2} 16th,C3-Kumoi pentachord,0.25,16.0
Chord {G in octave 2 | G in octave 3 | C in octave 4 | F in octave 4} Zero,F4-quartal trichord,0.0,16.25
Chord {B-flat in octave 1 | B-flat in octave 2} 16th,B-1-unison,0.25,16.5
Chord {B-flat in octave 2 | E in octave 3 | A in octave 3 | D in octave 4} Zero,B-2-minor-second quartal tetrachord,0.0,16.75
Chord {A in octave 2 | G-sharp in octave 2} Zero,A2-interval class 1,0.0,17.0
Chord {E in octave 2 | F-sharp in octave 2 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,17.0
Chord {C in octave 2 | F in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F-sharp in octave 2} 16th,C2-Kumoi pentachord,0.25,17.5
Chord {G in octave 2 | F-sharp in octave 2} 16th,G2-interval class 1,0.25,17.75
Chord {F in octave 2 | G-sharp in octave 2} Zero,G#2-interval class 3,0.0,18.0
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,18.0
Chord {A in octave 2 | G-sharp in octave 3 | C-sharp in octave 4 | F-sharp in octave 4 | F-sharp in octave 2} 16th,F#4-major-second minor tetrachord,0.25,18.25
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,18.5
Chord {F in octave 2 | G-sharp in octave 2} Zero,G#2-interval class 3,0.0,19.0
Chord {F-sharp in octave 2 | E in octave 2} 16th,F#2-interval class 2,0.25,19.0
Chord {B-flat in octave 2 | E in octave 3 | A in octave 3 | D in octave 4} Zero,B-2-minor-second quartal tetrachord,0.0,19.25
Chord {B-flat in octave 2 | F-sharp in octave 2} 16th,B-2-interval class 4,0.25,19.25
Chord {G in octave 2 | F-sharp in octave 2} 16th,G2-interval class 1,0.25,19.5
Chord {B-flat in octave 2 | E in octave 2} 16th,E2-tritone,0.25,19.75
Chord {C in octave 3 | F in octave 3 | B-flat in octave 3 | E-flat in octave 4 | B-flat in octave 2 | C in octave 2} 16th,C3-quartal tetramirror,0.25,20.0
Chord {G in octave 2 | G in octave 3 | C in octave 4 | F in octave 4} Zero,F4-quartal trichord,0.0,20.25
