796.75
3/4
FullName,CommonName,Len,Offset
Chord {D in octave 5 | E in octave 4 | B in octave 4 | B in octave 3} Eighth,E4-incomplete dominant-seventh chord,0.5,9.0
Chord {C in octave 4 | E in octave 4} Zero,C4-interval class 4,0.0,17.25
Chord {G in octave 2 | A in octave 3 | C in octave 4} Eighth,A3-incomplete minor-seventh chord,0.5,18.0
Chord {E-flat in octave 4 | F in octave 3} Quarter,F3-interval class 2,1.0,68/3
Chord {E in octave 5 | G in octave 4 | C in octave 5 | A in octave 4} Eighth,A4-minor seventh chord,0.5,27.0
Chord {C in octave 5 | G in octave 4} 16th,C5-interval class 5,0.25,28.0
Chord {A in octave 3 | G in octave 4} 16th,A3-interval class 2,0.25,29.0
Chord {D in octave 4 | C in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-incomplete minor-seventh chord,1.25,30.25
Chord {A in octave 3 | C in octave 4} 16th,A3-interval class 3,0.25,31.75
Chord {D in octave 5 | G-sharp in octave 4 | C in octave 4 | B in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),G#4-diminished minor-ninth chord,1/3,98/3
Chord {G-sharp in octave 4 | D in octave 5 | F in octave 4} 16th,G#4-diminished triad,0.25,33.25
Chord {D in octave 4 | F in octave 4 | B in octave 4 | G-sharp in octave 4} Zero,G#4-diminished seventh chord,0.0,33.75
Chord {E-flat in octave 2 | B-flat in octave 2} 16th,E-2-interval class 5,0.25,116/3
Chord {C-sharp in octave 4 | C in octave 4 | G in octave 3} Dotted Eighth,C#4-tritone-fourth,0.75,40.0
Chord {E in octave 4 | B in octave 3} Dotted Eighth,E4-interval class 5,0.75,45.25
Chord {C in octave 5 | E in octave 4} Double Dotted Quarter,C5-interval class 4,1.75,48.0
Chord {D in octave 4 | E in octave 4} Half,E4-interval class 2,2.0,54.0
Chord {F in octave 4 | C in octave 4 | A in octave 4} Quarter,F4-major triad,1.0,57.0
Chord {E in octave 3 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A4-interval class 5,5/3,60.0
Chord {E in octave 4 | D in octave 4 | C in octave 4} Zero,C4-whole-tone trichord,0.0,65.0
Chord {G in octave 4 | C in octave 5} 16th,C5-interval class 5,0.25,65.0
Chord {B in octave 5 | E in octave 5 | G-sharp in octave 5} Half Triplet (1 1/3 QL),E5-major triad,4/3,206/3
Chord {G in octave 3 | E in octave 4 | F in octave 3 | A in octave 3 | C in octave 4} Half Triplet (1 1/3 QL),F3-major-ninth chord,4/3,72.0
