390.6666666666667
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | E in octave 2 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-minor-second diminished tetrachord,0.0,12.0
Chord {E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,13.0
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,14.0
Chord {E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,15.0
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,16.0
Chord {B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,B-2-major triad,0.0,17.0
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,18.0
Chord {E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,19.0
Chord {E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,21.0
Chord {E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,23.0
Chord {E in octave 2 | B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-minor-second diminished tetrachord,0.0,24.0
Chord {E in octave 2 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-diminished triad,0.0,25.0
Chord {C in octave 2 | E in octave 2} Eighth Triplet (1/3 QL),C2-interval class 4,1/3,26.0
Chord {E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,27.0
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,28.0
Chord {B-flat in octave 1 | E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,29.0
Chord {B in octave 1 | B-flat in octave 2} Zero,B1-interval class 1,0.0,29.5
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,30.0
Chord {B-flat in octave 1 | E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,31.0
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,32.0
Chord {B-flat in octave 1 | E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,33.0
Chord {B in octave 1 | B-flat in octave 2} Zero,B1-interval class 1,0.0,33.5
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,34.0
Chord {B-flat in octave 1 | E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,35.0
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,36.0
Chord {B-flat in octave 1 | E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,37.0
Chord {B in octave 1 | B-flat in octave 2} Zero,B1-interval class 1,0.0,37.5
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,38.0
Chord {B-flat in octave 1 | E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,39.0
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,40.0
Chord {B-flat in octave 1 | E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,41.0
Chord {B in octave 1 | B-flat in octave 2} Zero,B1-interval class 1,0.0,41.5
Chord {B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,C#3-phrygian trichord,0.0,42.0
Chord {A in octave 3 | B in octave 1 | B-flat in octave 2 | C-sharp in octave 3} Zero,A3-major-second tetracluster,0.0,44.0
Chord {B-flat in octave 1 | E in octave 2 | B-flat in octave 2 | C-sharp in octave 3 | F-sharp in octave 3} Zero,C#3-dominant seventh chord,0.0,45.0
