396.0
4/4
FullName,CommonName,Len,Offset
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,68.0
Chord {F-sharp in octave 2 | C-sharp in octave 2} 16th,F#2-interval class 5,0.25,69.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,69.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,70.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,70.5
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,71.0
Chord {B in octave 1 | B-flat in octave 2} 16th,B1-interval class 1,0.25,71.5
Chord {B in octave 1 | F-sharp in octave 2 | C-sharp in octave 3} 16th,B1-quartal trichord,0.25,72.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,73.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,73.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,74.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,75.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,75.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,76.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,77.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,77.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,78.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,78.5
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,79.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,79.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,80.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,81.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,81.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,82.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,83.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,83.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,84.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,85.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,85.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,86.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,87.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,87.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,88.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,89.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,89.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,90.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,91.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,91.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,92.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,93.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,93.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,94.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,94.5
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,95.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,95.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,96.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,97.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,97.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,98.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,99.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,99.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,100.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,101.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,101.5
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,102.0
Chord {B in octave 1 | F-sharp in octave 2} 16th,B1-interval class 5,0.25,102.5
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,103.0
