400.0
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 3} Whole,A3-minor seventh chord,4.0,8.0
Chord {G-sharp in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 4} Half,G#3-minor seventh chord,2.0,12.0
Chord {B-flat in octave 3 | G in octave 3 | F in octave 4 | C-sharp in octave 4} Half,G3-half-diminished seventh chord,2.0,14.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor seventh chord,11/3,16.0
Chord {D in octave 4 | B in octave 3 | A in octave 3 | F in octave 3} Half,B3-half-diminished seventh chord,2.0,22.0
Chord {G in octave 3 | E-flat in octave 3 | D in octave 4 | B-flat in octave 3} Whole,E-3-major seventh chord,4.0,24.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 4} Half,D4-half-diminished seventh chord,2.0,28.0
Chord {F in octave 3 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E-4-half-diminished seventh chord,5/3,30.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Half tied to 16th (2 1/4 total QL),A4-minor seventh chord,2.25,101/3
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 4} Half,D4-half-diminished seventh chord,2.0,36.0
Chord {G in octave 4 | D in octave 3 | G in octave 3} Half,G4-interval class 5,2.0,38.0
Chord {G in octave 4 | E in octave 3 | C in octave 4 | A in octave 3} Whole,A3-minor seventh chord,4.0,40.0
Chord {G-sharp in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G#3-minor seventh chord,5/3,44.0
Chord {C-sharp in octave 4 | F in octave 4 | G in octave 3 | C in octave 5} Half tied to 16th (2 1/4 total QL),F4-minor-second quartal tetrachord,2.25,137/3
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 3} Whole,C4-minor seventh chord,4.0,48.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-half-diminished seventh chord,5/3,52.0
Chord {G in octave 3 | D in octave 3 | G in octave 4} Half tied to 16th (2 1/4 total QL),G3-interval class 5,2.25,53.75
Chord {G in octave 4 | E-flat in octave 3 | D in octave 4 | B-flat in octave 3} Whole,E-3-major seventh chord,4.0,56.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 3} Half,D4-half-diminished seventh chord,2.0,60.0
Chord {F in octave 3 | G-sharp in octave 4 | B in octave 3 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E-4-half-diminished seventh chord,5/3,62.0
Chord {G in octave 3 | E in octave 3 | C in octave 4 | A in octave 3} Half tied to 16th (2 1/4 total QL),A3-minor seventh chord,2.25,191/3
Chord {E in octave 4 | C in octave 4 | B in octave 4 | G in octave 3} Half,C4-major seventh chord,2.0,66.0
Chord {F in octave 4 | G in octave 4 | B-flat in octave 3 | D in octave 4} Half,G4-minor seventh chord,2.0,68.0
Chord {G in octave 4 | E in octave 4 | C-sharp in octave 5 | B-flat in octave 3} Half,C#5-diminished seventh chord,2.0,70.0
Chord {D in octave 4 | F in octave 4 | A in octave 3 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,72.0
Chord {A in octave 4 | D in octave 5} Quarter,D5-interval class 5,1.0,74.75
Chord {C in octave 4 | E-flat in octave 4 | B-flat in octave 3 | F-sharp in octave 4 | E-flat in octave 5 | E-flat in octave 6} Quarter tied to 16th (1 1/4 total QL),C4-half-diminished seventh chord,1.25,78.75
Chord {C in octave 4 | E-flat in octave 5 | F in octave 4 | G-sharp in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor seventh chord,11/3,80.0
Chord {B-flat in octave 3 | C-sharp in octave 5 | E in octave 4 | G-sharp in octave 4} Half,C#5-half-diminished seventh chord,2.0,257/3
Chord {F in octave 3 | G in octave 4 | B-flat in octave 3 | C-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G4-half-diminished seventh chord,5/3,92.0
Chord {C in octave 4 | A in octave 3 | F in octave 4 | D in octave 3} Whole,D3-minor seventh chord,4.0,96.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 4} Half,D4-half-diminished seventh chord,2.0,100.0
Chord {G-sharp in octave 4 | F in octave 3 | E-flat in octave 4 | B in octave 3} Half,E-4-half-diminished seventh chord,2.0,102.0
Chord {G in octave 4 | E in octave 3 | C in octave 4 | A in octave 3} Whole,A3-minor seventh chord,4.0,104.0
Chord {G-sharp in octave 3 | C in octave 5 | C-sharp in octave 4 | F in octave 4} Half,F4-major seventh chord,2.0,108.0
Chord {C in octave 5 | G in octave 3 | F in octave 4 | C-sharp in octave 4} Half,F4-minor-second quartal tetrachord,2.0,110.0
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 3} Whole,C4-minor seventh chord,4.0,112.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 4} Half,D4-half-diminished seventh chord,2.0,116.0
Chord {E-flat in octave 4 | B in octave 3 | G-sharp in octave 3 | F in octave 3} Half,E-4-half-diminished seventh chord,2.0,118.0
Chord {B-flat in octave 3 | C in octave 4 | E-flat in octave 3 | G in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor seventh chord,11/3,120.0
Chord {E-flat in octave 4 | B in octave 3 | G-sharp in octave 4 | F in octave 3} Half,E-4-half-diminished seventh chord,2.0,126.0
Chord {G in octave 3 | E in octave 3 | C in octave 4 | A in octave 3} Breve Tuplet of 24/23rds (7 2/3 QL),A3-minor seventh chord,23/3,128.0
Chord {G in octave 4 | E in octave 3 | C in octave 4 | A in octave 3} Whole tied to 16th (4 1/4 total QL),A3-minor seventh chord,4.25,407/3
Chord {C-sharp in octave 4 | F in octave 4 | G in octave 3 | C in octave 4} Half tied to 16th (2 1/4 total QL),F4-minor-second quartal tetrachord,2.25,425/3
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C4-minor seventh chord,11/3,144.0
Chord {G-sharp in octave 4 | F in octave 3 | D in octave 4 | C in octave 4} Half,D4-half-diminished seventh chord,2.0,467/3
Chord {F in octave 3 | G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Half,E-4-half-diminished seventh chord,2.0,473/3
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 4} Half,D4-half-diminished seventh chord,2.0,164.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),A3-minor seventh chord,11/3,168.0
Chord {F in octave 4 | C-sharp in octave 4 | B-flat in octave 4 | G-sharp in octave 3} Half tied to 16th (2 1/4 total QL),G#3-minor seventh chord,2.25,515/3
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 3} Whole,C4-minor seventh chord,4.0,527/3
Chord {G-sharp in octave 4 | F in octave 3 | D in octave 4 | C in octave 4} Half tied to 16th (2 1/4 total QL),D4-half-diminished seventh chord,2.25,539/3
Chord {D in octave 6 | D in octave 5 | F in octave 4 | G in octave 3 | D in octave 4 | B in octave 3} Quarter,G3-dominant seventh chord,1.0,182.75
Chord {C in octave 4 | D in octave 4 | F in octave 3 | G-sharp in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),D4-half-diminished seventh chord,5/3,188.0
Chord {D in octave 4 | G in octave 3 | F in octave 4 | B in octave 3} Half tied to 16th (2 1/4 total QL),G3-dominant seventh chord,2.25,569/3
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Half tied to 16th (2 1/4 total QL),C4-major seventh chord,2.25,581/3
Chord {F in octave 4 | A in octave 4 | B-flat in octave 3 | D in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B-3-major seventh chord,5/3,196.0
Chord {B-flat in octave 3 | C-sharp in octave 5 | E in octave 4 | G in octave 4} Half,C#5-diminished seventh chord,2.0,593/3
Chord {G-sharp in octave 4 | F in octave 4 | E-flat in octave 5 | C in octave 4} Whole,C4-minor seventh chord,4.0,208.0
Chord {F in octave 4 | G in octave 4 | B-flat in octave 3 | C-sharp in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),G4-half-diminished seventh chord,5/3,212.0
Chord {C in octave 4 | G in octave 3 | E in octave 4 | B-flat in octave 3} Half tied to 16th (2 1/4 total QL),C4-dominant seventh chord,2.25,641/3
Chord {C in octave 5 | G-sharp in octave 3 | F in octave 4 | E-flat in octave 4} Whole,C5-minor seventh chord,4.0,216.0
Chord {G-sharp in octave 4 | E in octave 4 | C-sharp in octave 4 | B-flat in octave 3} Half,C#4-half-diminished seventh chord,2.0,222.0
Chord {D in octave 4 | F in octave 4 | A in octave 3 | C in octave 5} Whole Tuplet of 12/11ths (3 2/3 QL),D4-minor seventh chord,11/3,224.0
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 3} Half tied to 16th (2 1/4 total QL),A3-minor seventh chord,2.25,233.75
Chord {G-sharp in octave 4 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G#4-minor seventh chord,5/3,236.0
Chord {B-flat in octave 3 | E-flat in octave 3 | C-sharp in octave 4 | G in octave 3} Half tied to 16th (2 1/4 total QL),C#4-dominant seventh chord,2.25,713/3
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 4} Whole,C4-minor seventh chord,4.0,240.0
Chord {B in octave 3 | D in octave 4 | G in octave 3 | F in octave 4 | D in octave 5 | D in octave 6} Quarter tied to 16th (1 1/4 total QL),G3-dominant seventh chord,1.25,246.75
Chord {G in octave 4 | E-flat in octave 4 | C in octave 4 | B-flat in octave 3} Whole,C4-minor seventh chord,4.0,248.0
Chord {C in octave 4 | D in octave 5 | F in octave 4 | G-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D5-half-diminished seventh chord,5/3,252.0
Chord {D in octave 4 | G in octave 3 | F in octave 4 | B in octave 3} Half tied to 16th (2 1/4 total QL),G3-dominant seventh chord,2.25,761/3
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 3} Dotted Whole,A3-minor seventh chord,6.0,257.75
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 3} Whole,A3-minor seventh chord,4.0,264.0
