489.5
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,4/3
Chord {A in octave 4 | B in octave 3 | F-sharp in octave 4} 16th,B3-incomplete dominant-seventh chord,0.25,4.0
Chord {E in octave 4 | B in octave 3} 16th,E4-interval class 5,0.25,6.25
Chord {G in octave 4 | D in octave 4 | E in octave 3} 16th,E3-incomplete minor-seventh chord,0.25,7.5
Chord {F-sharp in octave 4 | D in octave 4 | B in octave 3 | A in octave 4} Quarter Triplet (2/3 QL),B3-minor seventh chord,2/3,9.25
Chord {F-sharp in octave 4 | D in octave 4 | B in octave 3 | A in octave 4} 16th,B3-minor seventh chord,0.25,13.0
Chord {C in octave 4 | E in octave 3} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,17.25
Chord {A in octave 3 | C in octave 4 | E in octave 3} Eighth Triplet (1/3 QL),A3-minor triad,1/3,22.0
Chord {E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4} 16th,A3-minor seventh chord,0.25,25.5
Chord {E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4} 16th,A3-minor seventh chord,0.25,27.0
Chord {G in octave 3 | C in octave 3 | A in octave 3} Double Dotted Quarter,A3-incomplete minor-seventh chord,1.75,29.25
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} Dotted Quarter,A4-minor seventh chord,1.5,31.5
Chord {F-sharp in octave 4 | D in octave 4 | B in octave 3 | A in octave 4} Dotted Quarter,B3-minor seventh chord,1.5,33.5
Chord {D in octave 4 | G in octave 3 | B in octave 3} 16th,G3-major triad,0.25,35.5
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} 16th,A4-minor seventh chord,0.25,37.5
Chord {E in octave 4 | C in octave 4 | A in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-half-diminished seventh chord,1/3,39.5
Chord {A in octave 4 | F-sharp in octave 4 | B in octave 3} 16th,B3-incomplete dominant-seventh chord,0.25,50.25
Chord {A in octave 4 | B in octave 3 | F-sharp in octave 4} 16th,B3-incomplete dominant-seventh chord,0.25,52.0
Chord {B in octave 3 | F-sharp in octave 4 | A in octave 4} 16th,B3-incomplete dominant-seventh chord,0.25,54.25
Chord {F-sharp in octave 4 | B in octave 3 | A in octave 4} 16th,B3-incomplete dominant-seventh chord,0.25,56.0
Chord {A in octave 3 | C in octave 4 | E in octave 3} Eighth Triplet (1/3 QL),A3-minor triad,1/3,58.0
Chord {A in octave 3 | E in octave 3 | C in octave 4} 16th,A3-minor triad,0.25,178/3
Chord {C in octave 4 | E in octave 3} 16th,C4-interval class 4,0.25,184/3
Chord {G in octave 4 | A in octave 3 | E in octave 4} 16th,A3-incomplete dominant-seventh chord,0.25,64.0
Chord {E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4} Double Dotted Half,A3-minor seventh chord,3.5,65.5
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} 16th,A4-minor seventh chord,0.25,69.5
Chord {G in octave 4 | C in octave 4 | E in octave 4} 16th,C4-major triad,0.25,71.5
Chord {F-sharp in octave 4 | D in octave 4 | B in octave 3 | A in octave 4} Eighth Triplet (1/3 QL),B3-minor seventh chord,1/3,73.5
Chord {G in octave 3 | D in octave 3 | B in octave 3} Double Dotted Quarter,G3-major triad,1.75,75.25
Chord {E-flat in octave 4 | B in octave 3 | A in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-dominant seventh chord,1/3,79.5
Chord {B in octave 3 | D in octave 3} Eighth,B3-interval class 3,0.5,81.25
Chord {F-sharp in octave 4 | G in octave 3 | D in octave 4} 16th,G3-incomplete major-seventh chord,0.25,84.0
Chord {C in octave 4 | G in octave 3 | A in octave 3} 16th,A3-incomplete minor-seventh chord,0.25,85.5
Chord {G in octave 3 | A in octave 3 | C in octave 4} 16th,A3-incomplete minor-seventh chord,0.25,87.0
Chord {C in octave 4 | G in octave 3 | A in octave 3 | E in octave 3} Eighth,A3-minor seventh chord,0.5,88.5
Chord {A in octave 3 | E in octave 3 | C-sharp in octave 4} Eighth Triplet (1/3 QL),A3-major triad,1/3,90.0
Chord {A in octave 3 | E in octave 3 | C-sharp in octave 4} 16th,A3-major triad,0.25,274/3
Chord {E-flat in octave 4 | A in octave 3 | B in octave 3} 16th,A3-incomplete dominant-seventh chord,0.25,93.5
Chord {A in octave 3 | C in octave 4 | E-flat in octave 4} 16th,A3-diminished triad,0.25,95.0
Chord {E-flat in octave 4 | A in octave 3 | C in octave 4 | G in octave 3} Eighth,A3-half-diminished seventh chord,0.5,96.5
Chord {E in octave 4 | D in octave 4 | B in octave 3 | G in octave 4} 16th,E4-minor seventh chord,0.25,97.5
Chord {E in octave 4 | D in octave 4 | B in octave 3 | G in octave 4} 16th,E4-minor seventh chord,0.25,99.0
Chord {G in octave 3 | C in octave 3 | A in octave 3} Double Dotted Quarter,A3-incomplete minor-seventh chord,1.75,101.25
Chord {G in octave 4 | E in octave 4 | C-sharp in octave 4 | B in octave 4} 16th,C#4-half-diminished seventh chord,0.25,103.5
Chord {G in octave 4 | E in octave 4 | C in octave 4 | A in octave 4} 16th,A4-minor seventh chord,0.25,105.5
Chord {C in octave 4 | G in octave 3 | A in octave 3} 16th,A3-incomplete minor-seventh chord,0.25,109.5
