496.0
4/4
FullName,CommonName,Len,Offset
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,13.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,15.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,17.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,19.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,21.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,23.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,25.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,27.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,29.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,31.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,33.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,35.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,37.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,39.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,41.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,43.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,45.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,47.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,49.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,51.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,53.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,55.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,57.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,59.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,61.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,63.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,65.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,67.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,69.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,71.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,73.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,75.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,77.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,79.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,81.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,83.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,85.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,87.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,89.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,91.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,93.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,95.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,97.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,99.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,101.0
Chord {D in octave 2 | C in octave 3} 16th,D2-interval class 2,0.25,102.75
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2 | C in octave 3} 16th,D2-major third tetracluster,0.25,103.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,105.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,107.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,109.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,111.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,113.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,115.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,117.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,119.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,121.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,123.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,125.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,127.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,129.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,131.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,133.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,135.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,137.0
Chord {D in octave 2 | F-sharp in octave 2 | C-sharp in octave 2} 16th,D2-incomplete major-seventh chord,0.25,139.0
Chord {D in octave 2 | F-sharp in octave 2} 16th,D2-interval class 4,0.25,141.0
