404.0
4/4
FullName,CommonName,Len,Offset
Chord {F in octave 3 | A in octave 3 | C in octave 4} Double Dotted Quarter,F3-major triad,1.75,4.0
Chord {G in octave 3 | C in octave 4 | E in octave 4} Zero,C4-major triad,0.0,6.0
Chord {E in octave 4 | G in octave 3 | C in octave 4} 16th,C4-major triad,0.25,6.5
Chord {C in octave 4 | A in octave 3 | F in octave 4} Half tied to 16th (2 1/4 total QL),F4-major triad,2.25,7.5
Chord {C in octave 4 | F in octave 4} Eighth,F4-interval class 5,0.5,10.0
Chord {C in octave 4 | E in octave 4 | G in octave 3} 16th,C4-major triad,0.25,10.5
Chord {A in octave 3 | D in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),D4-minor triad,1.25,16.0
Chord {C in octave 4 | G in octave 3 | E in octave 4} 16th,C4-major triad,0.25,17.5
Chord {C in octave 4 | E in octave 4 | G in octave 3} 16th,C4-major triad,0.25,18.5
Chord {B-flat in octave 3 | A in octave 3 | D in octave 4 | F in octave 4} Double Dotted Whole,B-3-major seventh chord,7.0,19.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} Eighth,F3-major triad,0.5,28.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} Eighth,F3-major triad,0.5,30.0
Chord {F in octave 4 | G in octave 3 | B-flat in octave 3} Eighth,G3-incomplete minor-seventh chord,0.5,30.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,31.0
Chord {F in octave 3 | B-flat in octave 3 | C-sharp in octave 4} Eighth,B-3-minor triad,0.5,31.5
Chord {C-sharp in octave 4 | B-flat in octave 3} Eighth,C#4-interval class 3,0.5,34.0
Chord {C-sharp in octave 4 | F in octave 3 | B-flat in octave 3} 16th,B-3-minor triad,0.25,34.5
Chord {G in octave 3 | C in octave 4 | E-flat in octave 4} Eighth,C4-minor triad,0.5,35.5
Chord {G-sharp in octave 3 | C in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),C4-major triad,1/3,38.0
Chord {G-sharp in octave 3 | C in octave 4 | E-flat in octave 4} Zero,C4-major triad,0.0,38.5
Chord {B-flat in octave 3 | C in octave 4 | G in octave 3} Double Dotted Quarter,C4-incomplete dominant-seventh chord,1.75,39.5
Chord {C in octave 4 | E in octave 4} Half,C4-interval class 4,2.0,41.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} Dotted Eighth,F3-major triad,0.75,43.5
Chord {C in octave 4 | F in octave 3 | A in octave 3} 16th,F3-major triad,0.25,46.0
Chord {F in octave 3 | C in octave 4 | A in octave 3} 16th,F3-major triad,0.25,47.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | F in octave 3} Dotted Eighth,B-3-minor triad,0.75,47.5
Chord {C-sharp in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),C#4-interval class 3,1/3,50.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | F in octave 3} 16th,B-3-minor triad,0.25,50.5
Chord {G in octave 3 | C in octave 4 | E-flat in octave 4} Quarter,C4-minor triad,1.0,51.5
Chord {E-flat in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 3,1/3,54.0
Chord {G-sharp in octave 3 | C in octave 4 | E-flat in octave 4} 16th,C4-major triad,0.25,54.5
Chord {B-flat in octave 3 | C in octave 4 | G in octave 3} Double Dotted Quarter,C4-incomplete dominant-seventh chord,1.75,55.5
Chord {B-flat in octave 3 | C in octave 4 | G in octave 3 | E in octave 4} Half,C4-dominant seventh chord,2.0,57.5
Chord {C in octave 4 | E-flat in octave 4 | F in octave 4 | G-sharp in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-minor seventh chord,3.25,60.0
Chord {B-flat in octave 3 | C in octave 4 | E-flat in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-incomplete minor-seventh chord,10/3,64.0
Chord {G-sharp in octave 3 | E-flat in octave 4 | F in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),E-4-incomplete minor-seventh chord,3.25,68.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),G#3-minor seventh chord,3.25,72.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} Half,F3-major triad,2.0,76.0
Chord {C in octave 4 | E in octave 4 | G in octave 4} 16th,C4-major triad,0.25,78.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} Dotted Eighth,A3-minor triad,0.75,78.5
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Half tied to 16th (2 1/4 total QL),D4-minor seventh chord,2.25,79.5
Chord {C in octave 4 | E in octave 4 | G in octave 4} 16th,C4-major triad,0.25,82.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} Eighth,A3-minor triad,0.5,82.5
Chord {A in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Whole tied to Eighth (4 1/2 total QL),B-3-major seventh chord,4.5,83.5
Chord {G in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Half Triplet (1 1/3 QL),G3-minor seventh chord,4/3,88.0
Chord {B-flat in octave 3 | D in octave 4 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),G3-minor triad,1.25,89.5
Chord {G in octave 3 | E in octave 4} Quarter Triplet (2/3 QL),E4-interval class 3,2/3,91.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} Half,F3-major triad,2.0,92.0
Chord {C in octave 4 | E in octave 4 | G in octave 4} 16th,C4-major triad,0.25,94.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} Dotted Eighth,A3-minor triad,0.75,94.5
Chord {A in octave 3 | C in octave 4 | D in octave 4 | F in octave 4} Half tied to 16th (2 1/4 total QL),D4-minor seventh chord,2.25,95.5
Chord {C in octave 4 | E in octave 4 | G in octave 4} 16th,C4-major triad,0.25,98.0
Chord {A in octave 3 | C in octave 4 | E in octave 4} Eighth,A3-minor triad,0.5,98.5
Chord {A in octave 3 | B-flat in octave 3 | D in octave 4 | F in octave 4} Whole tied to Eighth (4 1/2 total QL),B-3-major seventh chord,4.5,99.5
Chord {A in octave 3 | B-flat in octave 3 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),B-3-incomplete major-seventh chord,1.25,104.0
Chord {C in octave 4 | G in octave 3 | A in octave 3 | E in octave 4} 16th,A3-minor seventh chord,0.25,105.5
Chord {G in octave 3 | A in octave 3 | C in octave 4 | E in octave 4} 16th,A3-minor seventh chord,0.25,106.5
Chord {B-flat in octave 3 | F in octave 4 | D in octave 4 | A in octave 3} Whole tied to Double Dotted Quarter (5 3/4 total QL),B-3-major seventh chord,5.75,107.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} Eighth,F3-major triad,0.5,116.0
Chord {F in octave 3 | A in octave 3 | C in octave 4} Eighth,F3-major triad,0.5,118.0
Chord {F in octave 4 | G in octave 3 | B-flat in octave 3} Eighth,G3-incomplete minor-seventh chord,0.5,118.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} 16th,F3-major triad,0.25,119.0
Chord {F in octave 3 | B-flat in octave 3 | C-sharp in octave 4} Eighth,B-3-minor triad,0.5,119.5
Chord {C-sharp in octave 4 | B-flat in octave 3} Eighth,C#4-interval class 3,0.5,122.0
Chord {C-sharp in octave 4 | F in octave 3 | B-flat in octave 3} 16th,B-3-minor triad,0.25,122.5
Chord {G in octave 3 | C in octave 4 | E-flat in octave 4} Eighth,C4-minor triad,0.5,123.5
Chord {G-sharp in octave 3 | C in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),C4-major triad,1/3,126.0
Chord {G-sharp in octave 3 | C in octave 4 | E-flat in octave 4} Zero,C4-major triad,0.0,126.5
Chord {B-flat in octave 3 | C in octave 4 | G in octave 3} Double Dotted Quarter,C4-incomplete dominant-seventh chord,1.75,127.5
Chord {C in octave 4 | E in octave 4} Half,C4-interval class 4,2.0,129.5
Chord {F in octave 3 | A in octave 3 | C in octave 4} Dotted Eighth,F3-major triad,0.75,131.5
Chord {C in octave 4 | F in octave 3 | A in octave 3} 16th,F3-major triad,0.25,134.0
Chord {F in octave 3 | C in octave 4 | A in octave 3} 16th,F3-major triad,0.25,135.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | F in octave 3} Dotted Eighth,B-3-minor triad,0.75,135.5
Chord {C-sharp in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),C#4-interval class 3,1/3,138.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | F in octave 3} 16th,B-3-minor triad,0.25,138.5
Chord {G in octave 3 | C in octave 4 | E-flat in octave 4} Half Triplet (1 1/3 QL),C4-minor triad,4/3,139.5
Chord {E-flat in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 3,1/3,142.0
Chord {G-sharp in octave 3 | C in octave 4 | E-flat in octave 4} 16th,C4-major triad,0.25,142.5
Chord {B-flat in octave 3 | C in octave 4 | G in octave 3} Double Dotted Quarter,C4-incomplete dominant-seventh chord,1.75,143.5
Chord {B-flat in octave 3 | C in octave 4 | G in octave 3 | E in octave 4} Half,C4-dominant seventh chord,2.0,145.5
Chord {C in octave 4 | E-flat in octave 4 | F in octave 4 | G-sharp in octave 4} Half tied to Quarter tied to 16th (3 1/4 total QL),C4-minor seventh chord,3.25,148.0
Chord {B-flat in octave 3 | C in octave 4 | E-flat in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-incomplete minor-seventh chord,10/3,152.0
