312.0
4/4
FullName,CommonName,Len,Offset
Chord {B-flat in octave 3 | D in octave 4} Dotted Half,B-3-interval class 4,3.0,37.0
Chord {C in octave 4 | F in octave 4} Dotted Half,F4-interval class 5,3.0,40.0
Chord {C in octave 4 | F-sharp in octave 4 | A in octave 4} Quarter,F#4-diminished triad,1.0,51.0
Chord {D in octave 4 | G in octave 4 | B-flat in octave 4} Quarter,G4-minor triad,1.0,52.0
Chord {D in octave 4 | G in octave 4 | B-flat in octave 4} Quarter,G4-minor triad,1.0,53.0
Chord {D in octave 4 | G in octave 4 | C in octave 5} Quarter,C5-quartal trichord,1.0,54.0
Chord {B-flat in octave 3 | D in octave 4 | A in octave 4} Quarter,B-3-incomplete major-seventh chord,1.0,55.0
Chord {A in octave 3 | D in octave 4 | F in octave 4} Eighth,D4-minor triad,0.5,56.0
Chord {F in octave 3 | A in octave 3 | D in octave 4} Half tied to Eighth (2 1/2 total QL),D4-minor triad,2.5,56.5
Chord {D in octave 4 | G in octave 4 | B-flat in octave 4} Dotted Quarter,G4-minor triad,1.5,60.0
Chord {D in octave 4 | G in octave 4 | B-flat in octave 4} Eighth,G4-minor triad,0.5,61.5
Chord {D in octave 4 | G in octave 4 | C in octave 5} Quarter,C5-quartal trichord,1.0,62.0
Chord {B-flat in octave 3 | D in octave 4 | A in octave 4} Quarter,B-3-incomplete major-seventh chord,1.0,63.0
Chord {A in octave 3 | D in octave 4 | F in octave 4} Dotted Half,D4-minor triad,3.0,64.0
Chord {A in octave 3 | D in octave 4 | F in octave 4} Quarter,D4-minor triad,1.0,67.0
Chord {B-flat in octave 3 | D in octave 4} Eighth,B-3-interval class 4,0.5,68.0
Chord {G-sharp in octave 3 | C in octave 4} Eighth,C4-interval class 4,0.5,68.5
Chord {G-sharp in octave 3 | C in octave 4} Dotted Half,C4-interval class 4,3.0,69.0
Chord {C in octave 4 | E-flat in octave 4 | F-sharp in octave 4} Half,F#4-diminished triad,2.0,72.0
Chord {C in octave 4 | E-flat in octave 4 | G-sharp in octave 4} Quarter,C4-major triad,1.0,74.0
Chord {B-flat in octave 3 | D in octave 4} Quarter,B-3-interval class 4,1.0,75.0
Chord {C in octave 4 | F in octave 4 | A in octave 4} Quarter,F4-major triad,1.0,80.0
