620.5
4/4
FullName,CommonName,Len,Offset
Chord {G in octave 5 | E-flat in octave 5 | B in octave 4 | C-sharp in octave 5 | E in octave 4 | B in octave 3 | F in octave 3} Eighth Triplet (1/3 QL),C#5-combinatorial I (I3),1/3,2.5
Chord {B in octave 5 | G in octave 5} Dotted Eighth,G5-interval class 4,0.75,3.5
Chord {B-flat in octave 4 | F-sharp in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),B-4-major triad,1/3,14.0
Chord {F in octave 4 | C in octave 4} 16th,F4-interval class 5,0.25,44/3
Chord {E in octave 4 | G-sharp in octave 4 | B in octave 3} 16th,E4-major triad,0.25,15.0
Chord {G in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),E5-interval class 3,1/3,20.0
Chord {G in octave 5 | C in octave 6} Eighth,C6-interval class 5,0.5,21.5
Chord {G-sharp in octave 5 | C in octave 5 | A in octave 4} 16th,A4-major-minor trichord,0.25,29.75
Chord {G in octave 5 | D in octave 5} 16th,G5-interval class 5,0.25,91/3
Chord {G in octave 4 | C-sharp in octave 5} Eighth Triplet (1/3 QL),C#5-tritone,1/3,33.0
Chord {A in octave 5 | C-sharp in octave 4} 16th,A5-interval class 4,0.25,34.0
Chord {E in octave 5 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 4,1/3,34.75
Chord {E in octave 5 | C in octave 6} Quarter Triplet (2/3 QL),C6-interval class 4,2/3,36.25
Chord {F in octave 2 | D in octave 5 | A in octave 3 | G in octave 4} Eighth,D5-perfect-fourth minor tetrachord,0.5,52.0
Chord {B in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,160/3
Chord {E in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,54.25
Chord {C in octave 4 | F in octave 4 | C-sharp in octave 4 | G in octave 6} Eighth,F4-minor-second quartal tetrachord,0.5,166/3
Chord {F-sharp in octave 5 | G in octave 3} Eighth,G3-interval class 1,0.5,170/3
Chord {C in octave 6 | D in octave 3} Eighth,D3-interval class 2,0.5,58.25
Chord {D in octave 6 | E in octave 4} 16th,E4-interval class 2,0.25,60.0
Chord {E-flat in octave 6 | E-flat in octave 5 | G-sharp in octave 5 | B in octave 5} Dotted Quarter,E-6-minor triad,1.5,60.5
Chord {G in octave 4 | E in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E4-incomplete minor-seventh chord,1/3,70.5
Chord {E in octave 5 | B in octave 4 | G in octave 4} 16th,E5-minor triad,0.25,73.5
Chord {E in octave 5 | B-flat in octave 5} 16th,E5-tritone,0.25,227/3
Chord {A in octave 6 | E in octave 6 | A in octave 5 | G in octave 3 | F-sharp in octave 4} Eighth Triplet (1/3 QL),F#4-minor tetramirror,1/3,87.75
Chord {G-sharp in octave 6 | E-flat in octave 6 | G-sharp in octave 5 | C in octave 4} Eighth Triplet (1/3 QL),C4-major triad,1/3,265/3
Chord {E in octave 4 | G in octave 6 | B in octave 3 | G in octave 5 | F in octave 3 | F-sharp in octave 6} 16th,E4-major-third pentacluster,0.25,89.0
Chord {F-sharp in octave 6 | C-sharp in octave 6 | F-sharp in octave 5 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-major triad,1/3,89.5
Chord {C-sharp in octave 4 | G-sharp in octave 3 | D in octave 3} Zero,C#4-tritone-fourth,0.0,90.5
Chord {E in octave 6 | A in octave 2 | B in octave 5} Eighth,A2-quartal trichord,0.5,91.0
Chord {E-flat in octave 3 | E-flat in octave 6 | B-flat in octave 5 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-3-interval class 5,1/3,92.25
Chord {E in octave 6 | A in octave 5 | D in octave 3 | C in octave 6} Eighth,A5-perfect-fourth minor tetrachord,0.5,278/3
Chord {E in octave 5 | B in octave 5 | G-sharp in octave 5} 16th,E5-major triad,0.25,96.0
Chord {G-sharp in octave 5 | B in octave 4} 16th,G#5-interval class 3,0.25,97.0
Chord {B in octave 3 | G in octave 4 | F in octave 3} Eighth Triplet (1/3 QL),G4-incomplete dominant-seventh chord,1/3,103.25
Chord {D in octave 4 | B-flat in octave 3} 16th,B-3-interval class 4,0.25,108.5
Chord {E-flat in octave 6 | E-flat in octave 5} Eighth Triplet (1/3 QL),E-6-unison,1/3,114.0
Chord {E in octave 6 | E in octave 5} 16th,E6-unison,0.25,114.5
Chord {F-sharp in octave 5 | F-sharp in octave 6} Eighth Triplet (1/3 QL),F#5-unison,1/3,115.25
Chord {A in octave 6 | A in octave 5} 16th,A6-unison,0.25,115.75
Chord {F-sharp in octave 1 | C in octave 7 | F-sharp in octave 2 | C in octave 6} 16th,F#1-tritone,0.25,350/3
Chord {C in octave 3 | F in octave 2} Eighth Triplet (1/3 QL),F2-interval class 5,1/3,119.5
Chord {G in octave 5 | A in octave 4 | C in octave 5 | E in octave 5} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,362/3
Chord {F in octave 5 | C in octave 5} 16th,F5-interval class 5,0.25,121.25
Chord {E in octave 5 | C in octave 4} Eighth,C4-interval class 4,0.5,121.75
Chord {C in octave 5 | A in octave 3} Eighth,A3-interval class 3,0.5,367/3
Chord {E-flat in octave 5 | C in octave 5 | G-sharp in octave 4} Eighth Triplet (1/3 QL),C5-major triad,1/3,123.0
Chord {A in octave 3 | G in octave 3} 16th,A3-interval class 2,0.25,376/3
Chord {B in octave 4 | E in octave 4} 16th,E4-interval class 5,0.25,130.0
Chord {D in octave 4 | B in octave 4} Eighth,B4-interval class 3,0.5,392/3
Chord {D in octave 5 | B-flat in octave 4} 16th,B-4-interval class 4,0.25,134.5
Chord {F in octave 5 | E in octave 4} Zero,F5-interval class 1,0.0,134.75
Chord {F in octave 5 | D in octave 5} Zero,D5-interval class 3,0.0,136.0
Chord {G in octave 5 | B-flat in octave 4 | G in octave 4 | C-sharp in octave 5 | F-sharp in octave 5} Eighth Triplet (1/3 QL),G5-major-diminished tetrachord,1/3,409/3
Chord {E in octave 5 | B-flat in octave 4 | C-sharp in octave 5} 16th,C#5-diminished triad,0.25,137.0
Chord {G in octave 5 | C in octave 5} 16th,C5-interval class 5,0.25,139.0
Chord {F in octave 5 | C in octave 5 | A in octave 4} 16th,F5-major triad,0.25,139.5
Chord {E in octave 5 | E in octave 4} Eighth Triplet (1/3 QL),E5-unison,1/3,140.0
Chord {C in octave 5 | A in octave 4} Zero,A4-interval class 3,0.0,140.5
Chord {E-flat in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-interval class 3,1/3,141.5
Chord {C in octave 5 | G-sharp in octave 4} Dotted Eighth,C5-interval class 4,0.75,142.5
Chord {E-flat in octave 5 | G-sharp in octave 4} Quarter,E-5-interval class 5,1.0,431/3
Chord {E in octave 5 | E-flat in octave 4} 16th,E5-interval class 1,0.25,145.0
Chord {G in octave 5 | F in octave 5} Eighth,G5-interval class 2,0.5,455/3
Chord {G in octave 4 | C in octave 4 | G-sharp in octave 3 | B-flat in octave 2} Eighth Triplet (1/3 QL),C4-phrygian tetrachord,1/3,155.25
Chord {B-flat in octave 4 | F in octave 4 | C in octave 4} Eighth,B-4-quartal trichord,0.5,156.25
Chord {B-flat in octave 4 | D in octave 4 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B-4-augmented triad,1/3,481/3
Chord {D in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 5,1/3,164.75
Chord {C-sharp in octave 6 | D in octave 5} Eighth Triplet (1/3 QL),D5-interval class 1,1/3,167.0
Chord {B in octave 5 | G in octave 5} 16th,G5-interval class 4,0.25,168.0
Chord {A in octave 5 | F-sharp in octave 3} Eighth,F#3-interval class 3,0.5,171.0
Chord {B-flat in octave 5 | E-flat in octave 5 | G in octave 5} Eighth,E-5-major triad,0.5,518/3
Chord {E-flat in octave 4 | B in octave 3} Dotted Eighth,E-4-interval class 4,0.75,174.75
Chord {G in octave 4 | F in octave 2} Eighth Triplet (1/3 QL),G4-interval class 2,1/3,184.0
Chord {B-flat in octave 4 | F-sharp in octave 4} Quarter,B-4-interval class 4,1.0,197.0
Chord {C-sharp in octave 5 | F in octave 4} Dotted Eighth,F4-interval class 4,0.75,644/3
Chord {B-flat in octave 5 | E in octave 5 | B-flat in octave 4 | F-sharp in octave 5} Eighth Triplet (1/3 QL),E5-incomplete dominant-seventh chord,1/3,217.25
Chord {A in octave 5 | E in octave 4 | E in octave 5 | A in octave 4} Zero,A5-interval class 5,0.0,218.25
Chord {C in octave 6 | C in octave 4} Zero,C6-unison,0.0,218.75
Chord {C in octave 6 | B-flat in octave 4 | G-sharp in octave 5 | E-flat in octave 5} Eighth,C6-major-second major tetrachord,0.5,229.0
Chord {B in octave 5 | D in octave 5} 16th,B5-interval class 3,0.25,689/3
Chord {F in octave 5 | C in octave 5} 16th,F5-interval class 5,0.25,230.5
Chord {G-sharp in octave 5 | E-flat in octave 5} Dotted Quarter,E-5-interval class 5,1.5,231.0
Chord {E in octave 5 | F in octave 5} Zero,F5-interval class 1,0.0,238.0
Chord {F in octave 5 | C-sharp in octave 5 | G-sharp in octave 4} 16th,F5-major triad,0.25,734/3
Chord {B-flat in octave 5 | G-sharp in octave 3} Eighth,G#3-interval class 2,0.5,247.25
Chord {B-flat in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 3,1/3,248.75
Chord {E-flat in octave 5 | B-flat in octave 4} Eighth,E-5-interval class 5,0.5,251.0
Chord {G-sharp in octave 5 | G-sharp in octave 4} Quarter,G#5-unison,1.0,760/3
Chord {F in octave 5 | F in octave 4} Quarter Triplet (2/3 QL),F5-unison,2/3,257.75
Chord {G in octave 5 | G in octave 4} 16th,G5-unison,0.25,258.75
Chord {B in octave 5 | B in octave 4 | B-flat in octave 5} Zero,B5-interval class 1,0.0,261.0
Chord {C in octave 6 | C in octave 5} Zero,C6-unison,0.0,784/3
Chord {C-sharp in octave 6 | C-sharp in octave 5} 16th,C#6-unison,0.25,785/3
Chord {E-flat in octave 6 | E-flat in octave 5} 16th,E-6-unison,0.25,262.0
Chord {C-sharp in octave 5 | C-sharp in octave 6} 16th,C#5-unison,0.25,262.5
Chord {D in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D4-interval class 3,1/3,264.0
Chord {C in octave 6 | G-sharp in octave 5} Eighth,C6-interval class 4,0.5,282.0
Chord {B in octave 5 | D in octave 5} 16th,B5-interval class 3,0.25,848/3
Chord {G-sharp in octave 5 | E in octave 5} Eighth,E5-interval class 4,0.5,285.75
Chord {G-sharp in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 4,1/3,286.5
Chord {G in octave 4 | E in octave 4} 16th,E4-interval class 3,0.25,314.0
Chord {G in octave 3 | G in octave 4 | E-flat in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-minor triad,1/3,314.75
Chord {G-sharp in octave 4 | C in octave 4} Eighth,C4-interval class 4,0.5,946/3
Chord {D in octave 4 | B in octave 2} Eighth,B2-interval class 3,0.5,326.0
Chord {E-flat in octave 4 | G-sharp in octave 3} Eighth,E-4-interval class 5,0.5,326.5
Chord {C in octave 5 | E in octave 4} Eighth,C5-interval class 4,0.5,997/3
Chord {B in octave 3 | E in octave 4} Eighth,E4-interval class 5,0.5,1000/3
Chord {E-flat in octave 4 | B-flat in octave 3} 16th,E-4-interval class 5,0.25,1003/3
Chord {B-flat in octave 4 | E-flat in octave 4 | G in octave 4} Eighth,E-4-major triad,0.5,336.5
Chord {E-flat in octave 4 | G-sharp in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-major triad,1/3,337.0
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 4} 16th,C4-major triad,0.25,1013/3
Chord {F-sharp in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),F#4-interval class 3,1/3,341.5
Chord {F-sharp in octave 4 | E-flat in octave 4} Eighth,F#4-interval class 3,0.5,342.75
Chord {F-sharp in octave 4 | E-flat in octave 4} Eighth Triplet (1/3 QL),F#4-interval class 3,1/3,343.5
Chord {G-sharp in octave 3 | G in octave 4} 16th,G#3-interval class 1,0.25,356.5
Chord {G-sharp in octave 4 | B-flat in octave 4} Zero,G#4-interval class 2,0.0,1072/3
Chord {G in octave 3 | D in octave 5} Eighth,G3-interval class 5,0.5,369.25
Chord {D in octave 2 | F-sharp in octave 2} Eighth,D2-interval class 4,0.5,376.0
Chord {E-flat in octave 4 | G in octave 3} Dotted Eighth,E-4-interval class 4,0.75,381.5
Chord {G in octave 4 | D in octave 4} Quarter Triplet (2/3 QL),G4-interval class 5,2/3,389.25
Chord {F-sharp in octave 5 | A in octave 4} 16th,F#5-interval class 3,0.25,391.0
Chord {C in octave 5 | G in octave 4} Dotted Quarter,C5-interval class 5,1.5,393.5
Chord {A in octave 3 | B in octave 2} Half Tuplet of 6/5ths (1 2/3 QL),B2-interval class 2,5/3,397.75
Chord {F in octave 4 | D in octave 5} Zero,D5-interval class 3,0.0,408.0
Chord {D in octave 4 | B-flat in octave 3 | G in octave 4} 16th,G4-minor triad,0.25,410.75
Chord {C in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),F4-interval class 5,1/3,1249/3
Chord {B-flat in octave 3 | E in octave 4 | C in octave 6} Eighth Triplet (1/3 QL),C6-incomplete dominant-seventh chord,1/3,424.75
Chord {C in octave 4 | E-flat in octave 4} Eighth,C4-interval class 3,0.5,1291/3
Chord {D in octave 5 | G in octave 4 | A in octave 4} Quarter,G4-quartal trichord,1.0,431.75
Chord {E-flat in octave 4 | A in octave 4} Eighth,A4-tritone,0.5,1300/3
Chord {E-flat in octave 4 | C-sharp in octave 4 | F-sharp in octave 3} Eighth,F#3-incomplete minor-seventh chord,0.5,434.75
Chord {G-sharp in octave 4 | C-sharp in octave 4} Quarter,C#4-interval class 5,1.0,436.25
Chord {E-flat in octave 4 | C in octave 4} Eighth,C4-interval class 3,0.5,437.5
Chord {B-flat in octave 2 | G-sharp in octave 3} Quarter,G#3-interval class 2,1.0,439.0
Chord {B-flat in octave 4 | F in octave 3} Dotted Eighth,B-4-interval class 5,0.75,1321/3
Chord {B in octave 3 | G in octave 4} Quarter,G4-interval class 4,1.0,441.25
Chord {G in octave 2 | E-flat in octave 4} Eighth Triplet (1/3 QL),E-4-interval class 4,1/3,443.25
