4/4
Chord {A in octave 3 | D in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),B3-incomplete minor-seventh chord,2/3,76/3
Chord {D in octave 1 | D in octave 2} Whole,D1-unison,4.0,60.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,65.0
Chord {E in octave 4 | B in octave 3} Whole,E4-interval class 5,4.0,72.0
Chord {A in octave 3 | A in octave 3} Whole,A3-unison,4.0,76.0
Chord {D in octave 4 | B in octave 3 | A in octave 3 | F-sharp in octave 3} Half,B3-minor seventh chord,2.0,82.0
Chord {F in octave 3 | E in octave 2} 16th,F3-interval class 1,0.25,84.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,84.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,84.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,84.75
Chord {E in octave 4 | C in octave 4 | G in octave 4 | D in octave 4 | A in octave 4} Quarter,A4-major pentatonic,1.0,85.0
Chord {G in octave 4 | D in octave 4 | C in octave 5 | A in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),A4-major pentatonic,2/3,86.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,87.25
Chord {C in octave 4 | D in octave 4} Eighth,D4-interval class 2,0.5,87.25
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,87.75
Chord {E in octave 2 | F in octave 3 | E-flat in octave 3} Zero,F3-chromatic trimirror,0.0,92.0
Chord {D in octave 2 | E in octave 4 | B in octave 3 | A in octave 3 | D in octave 3 | C in octave 4} Whole,A3-dorian pentachord,4.0,92.0
Chord {B in octave 3 | B in octave 3 | G in octave 3} Quarter,G3-interval class 4,1.0,98.0
Chord {D in octave 4 | D in octave 4 | F-sharp in octave 3 | A in octave 3 | B in octave 3 | G in octave 3} Quarter,G3-major-ninth chord,1.0,99.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,100.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,101.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,102.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,103.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,104.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,105.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,106.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,107.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,108.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,109.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,110.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,111.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,112.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,113.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,114.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,115.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,116.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,117.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,118.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,119.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,120.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,121.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,122.25
Chord {C in octave 2 | G in octave 2 | C in octave 2 | E in octave 4} Eighth,C2-major triad,0.5,123.5
Chord {E in octave 4 | D in octave 2 | E in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),E4-interval class 2,2/3,126.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,126.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,127.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,128.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,129.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,130.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,131.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,132.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,133.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,134.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,135.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,136.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,137.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,138.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,139.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,140.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,141.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,142.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,143.75
Chord {G in octave 2 | D in octave 3} Dotted Half,G2-interval class 5,3.0,159.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,163.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,164.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,169.0
Chord {B in octave 4 | A in octave 5} Zero,B4-interval class 2,0.0,170.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,170.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,171.0
Chord {C-sharp in octave 4 | D in octave 4 | A in octave 3} Half,D4-incomplete major-seventh chord,2.0,172.0
Chord {F-sharp in octave 3 | A in octave 3 | B in octave 1 | D in octave 4 | C-sharp in octave 4} Quarter,B1-minor-ninth chord,1.0,174.0
Chord {B-flat in octave 3 | C in octave 2 | G in octave 3} Whole,C2-incomplete dominant-seventh chord,4.0,175.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,179.0
Chord {D in octave 4 | A in octave 3 | C-sharp in octave 4} Half,D4-incomplete major-seventh chord,2.0,180.0
Chord {D in octave 4 | C-sharp in octave 4 | F-sharp in octave 3 | A in octave 3} Quarter,D4-major seventh chord,1.0,182.0
Chord {C in octave 4 | G in octave 3 | B in octave 3 | E in octave 4 | C in octave 2} Whole,C4-major seventh chord,4.0,183.0
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,191.0
Chord {G-sharp in octave 4 | F in octave 4 | C-sharp in octave 4 | E-flat in octave 2} Whole,C#4-major-second major tetrachord,4.0,191.0
Chord {F in octave 4 | C-sharp in octave 4 | C in octave 4 | G-sharp in octave 4 | F in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),F4-major seventh chord,1/3,202.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,202.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,203.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,204.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,205.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,206.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,207.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,208.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,209.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,210.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,211.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,212.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,213.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,214.5
Chord {E-flat in octave 5 | F in octave 4 | E-flat in octave 4} Quarter,F4-interval class 2,1.0,216.0
Chord {G-sharp in octave 5 | E-flat in octave 4 | G-sharp in octave 4} Quarter,E-4-interval class 5,1.0,217.0
Chord {G-sharp in octave 4 | C in octave 5 | G in octave 4 | C in octave 5 | C in octave 4} Quarter,C5-incomplete major-seventh chord,1.0,218.0
Chord {B-flat in octave 4 | C-sharp in octave 5} Dotted Half,C#5-interval class 3,3.0,219.0
Chord {B-flat in octave 4 | C-sharp in octave 5 | C-sharp in octave 5} Quarter,C#5-interval class 3,1.0,222.0
Chord {C in octave 5 | G-sharp in octave 4} Dotted Half,C5-interval class 4,3.0,223.0
Chord {C in octave 5 | G-sharp in octave 4} Quarter,C5-interval class 4,1.0,226.0
Chord {C-sharp in octave 5 | G-sharp in octave 4} Quarter,C#5-interval class 5,1.0,227.0
Chord {F in octave 5 | G in octave 4 | F in octave 5 | C-sharp in octave 4} Quarter,F5-incomplete half-diminished seventh chord,1.0,228.0
Chord {E-flat in octave 4 | B-flat in octave 5 | F in octave 4 | B-flat in octave 5} Quarter,E-4-quartal trichord,1.0,229.0
Chord {G-sharp in octave 4 | B-flat in octave 4 | G-sharp in octave 4 | C-sharp in octave 5 | C-sharp in octave 5} Quarter,C#5-incomplete minor-seventh chord,1.0,230.0
Chord {C in octave 5 | C in octave 5} Quarter,C5-unison,1.0,231.0
Chord {E-flat in octave 5 | E-flat in octave 5 | F in octave 4} Quarter,F4-interval class 2,1.0,232.0
Chord {G-sharp in octave 5 | G-sharp in octave 5} Quarter,G#5-unison,1.0,233.0
Chord {C in octave 5 | C in octave 5 | C in octave 5 | G in octave 4 | G-sharp in octave 4} Quarter,C5-incomplete major-seventh chord,1.0,234.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Quarter,C#5-interval class 5,1.0,235.0
Chord {F in octave 5 | G in octave 4 | F in octave 5} Quarter,G4-interval class 2,1.0,236.0
Chord {B-flat in octave 5 | B-flat in octave 5} Quarter,B-5-unison,1.0,237.0
Chord {G-sharp in octave 4 | C-sharp in octave 5 | C-sharp in octave 5 | C-sharp in octave 5 | B-flat in octave 4} Quarter,C#5-incomplete minor-seventh chord,1.0,238.0
Chord {F in octave 4 | E-flat in octave 5} Quarter,F4-interval class 2,1.0,240.0
Chord {G-sharp in octave 5 | E-flat in octave 4 | G-sharp in octave 5} Quarter,E-4-interval class 5,1.0,241.0
Chord {G in octave 4 | C in octave 5} Quarter,C5-interval class 5,1.0,242.0
Chord {F in octave 5 | F in octave 5 | G in octave 4 | C in octave 4} Quarter,F5-quartal trichord,1.0,244.0
Chord {B-flat in octave 5 | B-flat in octave 5} Quarter,B-5-unison,1.0,245.0
Chord {G-sharp in octave 4 | C-sharp in octave 5 | C-sharp in octave 5} Quarter,C#5-interval class 5,1.0,246.0
Chord {C in octave 5 | G in octave 4} Quarter,C5-interval class 5,1.0,247.0
Chord {G-sharp in octave 5 | E-flat in octave 4 | G-sharp in octave 5} Quarter,E-4-interval class 5,1.0,249.0
Chord {G-sharp in octave 2 | G-sharp in octave 3 | G in octave 4 | B-flat in octave 3 | C in octave 4} Half,C4-phrygian tetrachord,2.0,251.0
Chord {C in octave 4 | B-flat in octave 4} Half,C4-interval class 2,2.0,253.0
Chord {B-flat in octave 4 | B-flat in octave 4 | G-sharp in octave 4 | G-sharp in octave 5 | C-sharp in octave 5 | F in octave 4 | F in octave 5 | C-sharp in octave 4 | E-flat in octave 3} Whole,C#5-major pentatonic,4.0,259.0
Chord {E-flat in octave 5 | E-flat in octave 4 | E-flat in octave 6} Whole,E-5-unison,4.0,263.0
Chord {G-sharp in octave 4 | B-flat in octave 3 | C-sharp in octave 5 | F in octave 4 | E-flat in octave 2 | G in octave 4 | C-sharp in octave 4} Whole,C#5-dominant-eleventh,4.0,267.0
Chord {G-sharp in octave 1 | G in octave 4 | E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G-sharp in octave 3 | G-sharp in octave 2 | G in octave 4 | G in octave 4 | C in octave 5 | B-flat in octave 4 | E-flat in octave 4 | B-flat in octave 3} Quarter,C4-major-ninth chord,1.0,274.0
Chord {G in octave 3 | E in octave 3} Zero,E3-interval class 3,0.0,279.25
Chord {E in octave 4 | D in octave 2 | C in octave 4} Zero,C4-whole-tone trichord,0.0,279.25
Chord {E in octave 4 | D in octave 2} 16th,E4-interval class 2,0.25,279.5
Chord {D in octave 2 | E in octave 4} Zero,E4-interval class 2,0.0,279.75
Chord {D in octave 2 | E in octave 4} Zero,E4-interval class 2,0.0,280.0
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,280.0
Chord {D in octave 2 | E in octave 4} Zero,E4-interval class 2,0.0,280.25
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,841/3
Chord {E in octave 4 | D in octave 2} 16th,E4-interval class 2,0.25,280.5
Chord {B-flat in octave 3 | F in octave 3} 16th,B-3-interval class 5,0.25,287.0
Chord {F-sharp in octave 3 | D in octave 4 | B in octave 3} Dotted Whole,B3-minor triad,6.0,50.0
Chord {D in octave 4 | F-sharp in octave 3 | B in octave 3 | A in octave 3} Dotted Whole,B3-minor seventh chord,6.0,58.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,65.5
Chord {B in octave 4 | A in octave 4 | E in octave 4} Zero,A4-quartal trichord,0.0,65.75
Chord {D in octave 4 | B in octave 3 | F-sharp in octave 3 | G in octave 2} Half,G2-major seventh chord,2.0,66.0
Chord {F-sharp in octave 4 | F-sharp in octave 4} Eighth,F#4-unison,0.5,68.0
Chord {E in octave 4 | E in octave 4} Eighth,E4-unison,0.5,68.5
Chord {D in octave 4 | D in octave 4} Eighth,D4-unison,0.5,69.0
Chord {C in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-unison,1/3,69.5
Chord {B in octave 3 | A in octave 3 | G in octave 3 | F-sharp in octave 3} Quarter Triplet (2/3 QL),G3-phrygian tetrachord,2/3,70.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,70.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,71.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,71.25
Chord {B in octave 1 | B in octave 3 | A in octave 3 | F-sharp in octave 4 | D in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),B1-minor seventh chord,2/3,214/3
Chord {G in octave 4 | C in octave 2 | C in octave 4} Whole,C2-interval class 5,4.0,72.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,76.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,76.25
Chord {D in octave 2 | E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4 | D in octave 4} 16th,A3-major pentatonic,0.25,76.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,76.75
Chord {D in octave 2 | E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4 | D in octave 4} 16th,A3-major pentatonic,0.25,78.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,78.25
Chord {D in octave 2 | E in octave 4 | C in octave 4 | A in octave 3 | G in octave 4 | D in octave 4} Dotted Eighth,A3-major pentatonic,0.75,78.5
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,79.25
Chord {B in octave 3 | A in octave 3 | F-sharp in octave 4 | D in octave 4} 16th,B3-minor seventh chord,0.25,80.0
Chord {C in octave 4 | A in octave 3 | G in octave 3 | E in octave 4} 16th,A3-minor seventh chord,0.25,80.25
Chord {D in octave 4 | B in octave 3 | A in octave 3 | F-sharp in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),B3-minor seventh chord,10/3,80.5
Chord {E in octave 3 | D in octave 2 | D in octave 2 | C in octave 4 | A in octave 3 | G in octave 3} Whole,A3-major pentatonic,4.0,84.0
Chord {C in octave 4 | G in octave 4} Quarter,C4-interval class 5,1.0,95.0
Chord {A in octave 5 | A in octave 4 | E in octave 4} Zero,A5-interval class 5,0.0,96.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,102.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,103.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,104.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,105.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,106.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,107.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,108.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,109.75
Chord {A in octave 2 | E-flat in octave 1} Eighth,A2-tritone,0.5,111.5
Chord {A in octave 4 | C in octave 4} Half Triplet (1 1/3 QL),A4-interval class 3,4/3,112.0
Chord {D in octave 4 | B in octave 4} 16th,B4-interval class 3,0.25,340/3
Chord {A in octave 4 | C in octave 4} 16th,A4-interval class 3,0.25,341/3
Chord {B in octave 4 | D in octave 4} Dotted Half,B4-interval class 3,3.0,114.0
Chord {B in octave 4 | B in octave 4} Eighth,B4-unison,0.5,117.0
Chord {E in octave 4 | E in octave 5} Eighth,E4-unison,0.5,119.0
Chord {A in octave 4 | G in octave 4 | C in octave 5 | E in octave 4} Whole,A4-minor seventh chord,4.0,120.0
