228.0
4/4
FullName,CommonName,Len,Offset
Chord {E in octave 4 | G in octave 4} Whole,E4-interval class 3,4.0,68.0
Chord {A in octave 4 | F in octave 4} Whole,F4-interval class 4,4.0,72.0
Chord {G in octave 4 | E in octave 4} Whole,E4-interval class 3,4.0,76.0
Chord {A in octave 4 | F in octave 4} Whole,F4-interval class 4,4.0,80.0
Chord {G in octave 4 | E in octave 4} Whole,E4-interval class 3,4.0,84.0
Chord {A in octave 4 | F in octave 4} Whole,F4-interval class 4,4.0,88.0
Chord {E in octave 4 | G in octave 4} Whole,E4-interval class 3,4.0,92.0
Chord {F in octave 4 | A in octave 4} Half,F4-interval class 4,2.0,96.0
Chord {F in octave 4 | A in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,98.5
Chord {A in octave 4 | C in octave 5} Quarter,A4-interval class 3,1.0,99.0
Chord {C in octave 5 | A in octave 4 | F in octave 5} Whole,F5-major triad,4.0,100.0
Chord {F in octave 5 | D in octave 5 | A in octave 4} Whole,D5-minor triad,4.0,104.0
Chord {D in octave 5 | B in octave 4 | D in octave 4} Dotted Half,B4-interval class 3,3.0,108.0
Chord {E in octave 5 | E in octave 4 | C in octave 5} Quarter,C5-interval class 4,1.0,111.0
Chord {F in octave 5 | F in octave 4 | D in octave 5} Dotted Half,D5-interval class 3,3.0,112.0
Chord {A in octave 5 | F in octave 5} Quarter,F5-interval class 4,1.0,117.0
Chord {D in octave 6 | B in octave 5} Eighth,B5-interval class 3,0.5,127.5
Chord {E in octave 5 | G in octave 5} Double Dotted Quarter,E5-interval class 3,1.75,128.0
Chord {G-sharp in octave 5 | E in octave 5 | B in octave 5} Double Dotted Quarter,E5-major triad,1.75,130.0
Chord {D in octave 6 | B in octave 5} Eighth Triplet (1/3 QL),B5-interval class 3,1/3,135.5
Chord {E in octave 5 | G in octave 5} Half,E5-interval class 3,2.0,136.0
Chord {B in octave 5 | E in octave 6 | G-sharp in octave 5} Double Dotted Quarter,E6-major triad,1.75,138.0
Chord {C in octave 5 | A in octave 5 | C in octave 6} Half,A5-interval class 3,2.0,140.0
Chord {D in octave 5 | B in octave 5 | G in octave 5} Half,G5-major triad,2.0,142.0
Chord {E in octave 5 | G in octave 5 | C in octave 6} Triple Dotted Half (3 3/4 QL),C6-major triad,3.75,144.0
Chord {C in octave 4 | A in octave 3} Whole,A3-interval class 3,4.0,152.0
Chord {G in octave 3 | C in octave 4} Whole,C4-interval class 5,4.0,156.0
Chord {A in octave 3 | C in octave 4} Whole,A3-interval class 3,4.0,168.0
Chord {C in octave 4 | A in octave 3 | F in octave 4} Whole,F4-major triad,4.0,176.0
Chord {A in octave 4 | F in octave 5 | C in octave 5} Whole,F5-major triad,4.0,180.0
Chord {A in octave 4 | D in octave 5 | F in octave 5} Whole,D5-minor triad,4.0,184.0
Chord {B in octave 4 | D in octave 4 | D in octave 5} Dotted Half,B4-interval class 3,3.0,188.0
Chord {C in octave 5 | E in octave 4 | E in octave 5} Quarter,C5-interval class 4,1.0,191.0
Chord {F in octave 4 | D in octave 5 | F in octave 5} Dotted Half,D5-interval class 3,3.0,192.0
Chord {F in octave 5 | A in octave 5} Quarter,F5-interval class 4,1.0,197.0
