4/4
Chord {C-sharp in octave 4 | G in octave 3 | C in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C#4-tritone-fourth,11/3,10.0
Chord {B in octave 3 | F in octave 3} Dotted Eighth,B3-tritone,0.75,18.75
Chord {F in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-interval class 3,1/3,59/3
Chord {B in octave 3 | D in octave 4 | D in octave 3} 16th,B3-interval class 3,0.25,59/3
Chord {G-sharp in octave 3 | D in octave 3} 16th,G#3-tritone,0.25,59/3
Chord {E in octave 5 | D in octave 5} Quarter Triplet (2/3 QL),E5-interval class 2,2/3,21.75
Chord {B in octave 4 | G-sharp in octave 4 | F in octave 4} Eighth,G#4-diminished triad,0.5,21.75
Chord {E in octave 5 | G in octave 4 | A in octave 4} Quarter Triplet (2/3 QL),A4-incomplete dominant-seventh chord,2/3,22.75
Chord {C in octave 5 | C in octave 4 | A in octave 4} Eighth,A4-interval class 3,0.5,22.75
Chord {G in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),E4-interval class 3,2/3,24.0
Chord {B in octave 3 | E in octave 4} Quarter,E4-interval class 5,1.0,80/3
Chord {G-sharp in octave 3 | F in octave 2} Quarter Triplet (2/3 QL),G#3-interval class 3,2/3,85/3
Chord {D in octave 5 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 4,2/3,30.75
Chord {E-flat in octave 5 | G-sharp in octave 4 | B-flat in octave 2 | E-flat in octave 4} Dotted Eighth,E-5-quartal trichord,0.75,32.0
Chord {G-sharp in octave 3 | C in octave 5} Eighth,C5-interval class 4,0.5,32.0
Chord {F in octave 4 | F-sharp in octave 3 | D in octave 4} Eighth,D4-major-minor trichord,0.5,34.0
Chord {E-flat in octave 4 | C in octave 3} Quarter Triplet (2/3 QL),C3-interval class 3,2/3,35.0
Chord {G in octave 4 | B-flat in octave 3} Eighth,G4-interval class 3,0.5,35.0
Chord {E-flat in octave 4 | B-flat in octave 3 | C in octave 4} Eighth,C4-incomplete minor-seventh chord,0.5,37.0
Chord {G in octave 3 | E-flat in octave 4 | G in octave 4 | C in octave 4} 16th,C4-minor triad,0.25,37.75
Chord {C in octave 5 | G in octave 4 | A in octave 2 | G in octave 3} Eighth Triplet (1/3 QL),A2-incomplete minor-seventh chord,1/3,38.5
Chord {E in octave 5 | C in octave 5} Half,C5-interval class 4,2.0,40.25
Chord {F-sharp in octave 3 | C in octave 4} Half,F#3-tritone,2.0,40.25
Chord {F-sharp in octave 5 | D in octave 5 | A in octave 4} Dotted Eighth,D5-major triad,0.75,43.0
Chord {F-sharp in octave 3 | B in octave 3} Dotted Half,B3-interval class 5,3.0,43.0
Chord {C in octave 6 | C in octave 5} Eighth Triplet (1/3 QL),C6-unison,1/3,45.25
Chord {E in octave 5 | E in octave 6} Quarter,E5-unison,1.0,46.75
Chord {E in octave 6 | E in octave 5} Dotted Quarter,E6-unison,1.5,51.0
Chord {E in octave 6 | E in octave 5} Dotted Eighth,E6-unison,0.75,52.5
Chord {E-flat in octave 6 | G-sharp in octave 5} 16th,E-6-interval class 5,0.25,55.75
Chord {E-flat in octave 4 | G-sharp in octave 4} 16th,E-4-interval class 5,0.25,56.75
Chord {E-flat in octave 5 | B-flat in octave 4 | F-sharp in octave 5 | G-sharp in octave 5} 16th,E-5-perfect-fourth minor tetrachord,0.25,172/3
Chord {C-sharp in octave 6 | B-flat in octave 5 | F-sharp in octave 5 | E-flat in octave 6} 16th,C#6-minor seventh chord,0.25,58.0
Chord {G-sharp in octave 4 | F-sharp in octave 6 | G-sharp in octave 6 | B-flat in octave 6} 16th,G#4-whole-tone trichord,0.25,58.5
Chord {B-flat in octave 6 | C-sharp in octave 5 | C-sharp in octave 7 | E-flat in octave 7} 16th,C#5-incomplete dominant-seventh chord,0.25,59.25
Chord {E-flat in octave 5 | B-flat in octave 4} Dotted Eighth,E-5-interval class 5,0.75,212/3
Chord {E in octave 4 | G in octave 4} Eighth,E4-interval class 3,0.5,70.75
