4/4
Chord {A in octave 3 | C in octave 4 | E in octave 4 | G in octave 4} Quarter,A3-minor seventh chord,1.0,26/3
Chord {G in octave 4 | B in octave 4 | C in octave 4 | E in octave 5} Dotted Quarter,C4-major seventh chord,1.5,10.0
Chord {G in octave 4 | B-flat in octave 4 | C in octave 4 | E-flat in octave 5} Eighth,C4-minor seventh chord,0.5,12.0
Chord {G in octave 4 | B-flat in octave 4 | C in octave 4 | E-flat in octave 5} Quarter,C4-minor seventh chord,1.0,38/3
Chord {B in octave 3 | E-flat in octave 5 | F in octave 4 | G in octave 4} Quarter,E-5-augmented seventh chord,1.0,44/3
Chord {A in octave 3 | C in octave 4 | E in octave 4 | G in octave 4} Eighth,A3-minor seventh chord,0.5,16.0
Chord {A in octave 3 | C in octave 4 | E in octave 4 | G in octave 4} Quarter,A3-minor seventh chord,1.0,50/3
Chord {C-sharp in octave 4 | F in octave 5 | G in octave 4 | B-flat in octave 4} Dotted Eighth,G4-half-diminished seventh chord,0.75,18.0
Chord {C-sharp in octave 4 | F in octave 5 | G in octave 4 | B-flat in octave 4} Eighth Triplet (1/3 QL),G4-half-diminished seventh chord,1/3,19.0
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 4 | B in octave 4} Eighth,C4-minor-second quartal tetrachord,0.5,20.0
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 4 | B in octave 4} Quarter,C4-minor-second quartal tetrachord,1.0,21.0
Chord {B in octave 3 | E-flat in octave 5 | F in octave 4 | G-sharp in octave 4} Quarter,E-5-half-diminished seventh chord,1.0,68/3
Chord {A in octave 3 | C in octave 4 | E in octave 4 | G in octave 4} Dotted Eighth,A3-minor seventh chord,0.75,24.0
Chord {A in octave 3 | C in octave 4 | E in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),A3-minor seventh chord,1/3,25.0
Chord {G in octave 4 | A in octave 4 | C in octave 4 | E in octave 5} Quarter,A4-minor seventh chord,1.0,80/3
Chord {G in octave 4 | B-flat in octave 4 | C in octave 4 | E-flat in octave 5} Quarter,C4-minor seventh chord,1.0,86/3
Chord {B in octave 3 | E-flat in octave 5 | F in octave 4 | B-flat in octave 4} Eighth,E-5-minor-second quartal tetrachord,0.5,30.0
Chord {B in octave 3 | E-flat in octave 5 | F in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),E-5-minor-second quartal tetrachord,2/3,31.0
Chord {G in octave 4 | E in octave 4 | C in octave 5 | A in octave 3} Half,A3-minor seventh chord,2.0,95/3
Chord {A in octave 3 | C-sharp in octave 4 | E-flat in octave 4 | F-sharp in octave 4} Half,F#4-half-diminished seventh chord,2.0,101/3
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Dotted Quarter,C4-half-diminished seventh chord,1.5,36.0
Chord {F in octave 3 | A in octave 4 | B in octave 3 | E in octave 4} Quarter Triplet (2/3 QL),F3-minor-second quartal tetrachord,2/3,38.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | E in octave 3 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C#4-half-diminished seventh chord,2/3,39.0
Chord {D in octave 3 | F in octave 4 | A in octave 3 | C in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D3-minor seventh chord,5/3,40.0
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 4} Quarter,F3-major seventh chord,1.0,128/3
Chord {C in octave 4 | E-flat in octave 4 | F in octave 3 | G-sharp in octave 3} Double Dotted Quarter,C4-minor seventh chord,1.75,44.0
Chord {E in octave 3 | G-sharp in octave 4 | B-flat in octave 3 | C in octave 4} Quarter,C4-augmented seventh chord,1.0,140/3
Chord {D in octave 3 | F in octave 4 | A in octave 3 | C in octave 4} Quarter,D3-minor seventh chord,1.0,146/3
Chord {F-sharp in octave 3 | B-flat in octave 3 | C in octave 4 | F in octave 4} Eighth,B-3-minor-second quartal tetrachord,0.5,50.0
Chord {F in octave 3 | A in octave 4 | B in octave 3 | E in octave 4} Quarter,F3-minor-second quartal tetrachord,1.0,158/3
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 4} Double Dotted Quarter,E-4-minor-second quartal tetrachord,1.75,54.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Quarter,A3-minor seventh chord,1.0,56.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Half,A4-minor seventh chord,2.0,173/3
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 3} Half,C4-minor seventh chord,2.0,179/3
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E-4-minor-second quartal tetrachord,5/3,62.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 3} Quarter,A3-minor seventh chord,1.0,194/3
Chord {C in octave 4 | E-flat in octave 4 | F in octave 3 | G-sharp in octave 4} Quarter,C4-minor seventh chord,1.0,200/3
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-half-diminished seventh chord,5/3,68.0
Chord {F in octave 3 | A in octave 4 | B in octave 3 | D in octave 4} Dotted Eighth,B3-half-diminished seventh chord,0.75,209/3
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 3} Eighth,A3-minor seventh chord,0.5,72.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Quarter,A4-minor seventh chord,1.0,74.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Quarter,C4-minor seventh chord,1.0,76.0
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 4} Quarter,E-4-minor-second quartal tetrachord,1.0,236/3
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A3-minor seventh chord,5/3,80.0
Chord {C-sharp in octave 4 | F in octave 4 | G in octave 3 | C in octave 5} Half,F4-minor-second quartal tetrachord,2.0,245/3
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | B in octave 3} Quarter,C4-minor-second quartal tetrachord,1.0,254/3
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 3} Quarter,E-4-minor-second quartal tetrachord,1.0,86.0
Chord {G in octave 3 | E in octave 3 | C in octave 4 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),A3-minor seventh chord,1.25,263/3
