4/4
Chord {A in octave 5 | C in octave 5 | C in octave 3 | A in octave 3} Dotted Quarter,A5-interval class 3,1.5,0.0
Chord {E in octave 5 | C in octave 3 | F in octave 2} Half Triplet (1 1/3 QL),F2-incomplete major-seventh chord,4/3,0.0
Chord {C in octave 6 | E in octave 5 | A in octave 5 | C in octave 5} 16th,A5-minor triad,0.25,5/3
Chord {C in octave 3 | F in octave 2} 16th,F2-interval class 5,0.25,5/3
Chord {F-sharp in octave 2 | E-flat in octave 3} Whole Tuplet of 12/7ths (2 1/3 QL),F#2-interval class 3,7/3,4.0
Chord {A in octave 5 | E-flat in octave 5 | C in octave 5} Quarter,A5-diminished triad,1.0,4.0
Chord {C in octave 6 | F-sharp in octave 5 | E-flat in octave 5} 16th,F#5-diminished triad,0.25,6.0
Chord {G in octave 2 | B-flat in octave 3 | D in octave 5 | F in octave 5} Double Dotted Quarter,G2-minor seventh chord,1.75,9.0
Chord {B-flat in octave 3 | C in octave 6 | G in octave 2 | F in octave 5 | D in octave 3} 16th,G2-major pentatonic,0.25,11.0
Chord {D in octave 5 | D in octave 3} 16th,D5-unison,0.25,11.0
Chord {A in octave 5 | C in octave 3 | E in octave 5 | D in octave 5 | B-flat in octave 3} 16th,A5-phrygian pentachord,0.25,12.0
Chord {C in octave 3 | B-flat in octave 3 | G in octave 3 | E in octave 3 | C in octave 4} Eighth,C3-dominant seventh chord,0.5,14.0
Chord {D in octave 3 | B-flat in octave 3 | G in octave 3 | E in octave 3 | D in octave 4} Eighth,E3-half-diminished seventh chord,0.5,14.75
Chord {C in octave 4 | A in octave 3 | F in octave 4 | D in octave 4 | C in octave 5} Half,D4-minor seventh chord,2.0,47/3
Chord {C in octave 3 | A in octave 3 | F in octave 3 | D in octave 3 | C in octave 4} Eighth,D3-minor seventh chord,0.5,18.0
Chord {D in octave 3 | C in octave 4 | A in octave 3 | F in octave 3 | D in octave 4} Quarter Triplet (2/3 QL),D3-minor seventh chord,2/3,56/3
Chord {E-flat in octave 3 | C in octave 4 | A in octave 3 | E-flat in octave 4} Half tied to Eighth (2 1/2 total QL),A3-diminished triad,2.5,19.5
Chord {C in octave 3 | A in octave 3 | F-sharp in octave 3 | E-flat in octave 3 | C in octave 4} Eighth Triplet (1/3 QL),F#3-diminished seventh chord,1/3,22.5
Chord {C-sharp in octave 3 | A in octave 3 | F-sharp in octave 3 | E-flat in octave 3 | C-sharp in octave 4} Eighth,F#3-half-diminished seventh chord,0.5,23.0
Chord {D in octave 3 | B-flat in octave 3 | G in octave 3 | F in octave 3 | D in octave 4} Quarter,G3-minor seventh chord,1.0,71/3
Chord {G in octave 3 | F in octave 4 | D in octave 4 | B-flat in octave 3 | G in octave 4} Dotted Eighth,G3-minor seventh chord,0.75,25.0
Chord {B-flat in octave 3 | G in octave 4 | F in octave 4 | D in octave 4 | B-flat in octave 4} Dotted Eighth,G4-minor seventh chord,0.75,26.0
