4/4
Chord {F in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 5,2/3,11.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,12.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,14.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,15.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,15.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,16.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,17.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,17.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,17.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,18.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,18.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,19.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,19.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,20.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,20.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,21.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,21.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,22.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,23.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,24.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,24.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,25.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,25.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,25.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,26.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,26.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,27.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,27.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,27.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,28.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,30.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,31.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,31.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,32.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,33.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,33.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,33.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,34.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,34.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,35.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,35.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,36.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,36.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,37.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,37.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,38.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,39.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,40.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,40.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,41.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,41.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,41.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,42.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,42.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,43.0
Chord {C-sharp in octave 2 | G in octave 2} Eighth,C#2-tritone,0.5,43.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,43.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,43.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,44.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,46.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,47.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,47.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,48.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,49.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,49.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,49.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,50.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,50.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,51.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,51.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,52.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,52.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,53.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,53.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,54.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,55.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,56.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,56.5
